source_id,reference,evidence_type,scope,key_finding,critical_limit,p1_implication,access_status
P1E01,"Yang et al. (2021), Testing (Quizzing) Boosts Classroom Learning, DOI 10.1037/bul0000309",systematic review and meta-analysis,"classroom testing; 222 studies; 48,478 students","Quizzing improved classroom achievement on average; effects varied with feedback, repetition, format consistency, setting and design.","Heterogeneous interventions and outcomes; does not define one ideal quiz configuration.","Represent practice frequency, response format, feedback and repetition separately.",publisher abstract verified
P1E02,"Gonçalves, Muniz and Jaeger (2025), Retrieval Practice Versus Elaborative Encoding, DOI 10.1007/s10648-025-10076-6",systematic review and meta-analysis,"retrieval versus elaborative activities; 44 studies; 142 comparisons","Retrieval had a small overall advantage; the advantage was conditional on corrective feedback and differed by response format and comparator.","Does not make retrieval universally superior to all active learning; task and comparator heterogeneity remain.","Practice mechanism and feedback availability must be independent parameters; no universal retrieval-only default.",publisher page and project extraction verified
P1E03,"Pan and Rickard (2018), Transfer of Test-Enhanced Learning, DOI 10.1037/bul0000151",meta-analysis,"transfer from retrieval practice; 192 effects; 122 experiments","Transfer benefits depended on response congruency, elaborated retrieval and initial performance.","Transfer categories and tasks were heterogeneous.","Record practice response, target assessment response, item equivalence and transfer objective separately.",author manuscript and metadata verified
P1E04,"Eisenkraemer, Jaeger and Stein (2013), A Systematic Review of the Testing Effect in Learning, DOI 10.1590/1982-43272356201314",systematic review,"recall and recognition practice","Both recognition and recall can support retention; production often showed larger benefits and feedback can mitigate risks from incorrect options.","Earlier narrative corpus and confounding among response format and feedback.","Selected and constructed response must coexist; selected response requires feedback and distractor governance.",open full text verified
P1E05,"Breuer, Scherndl and Ortner (2023), Effects of Response Format, DOI 10.1098/rsos.220456",multilevel meta-analysis,"open versus closed achievement and aptitude assessment; 102 studies; 392 effects","Open and closed scores were correlated but not interchangeable; closed formats generally produced higher scores.","Primarily measurement evidence, not direct learning-effect evidence; item equivalence varied.","Do not compare mastery thresholds or scores across response formats without explicit calibration.",open full text verified
P1E06,"Sher et al. (2026), Very Short Answer Questions vs Multiple Choice Questions, DOI 10.1186/s12909-026-09359-5",systematic review and meta-analysis,"health-professions assessment; 3 studies; 6 cohorts","VSAQ scores were generally lower than MCQ and may reduce cueing; discrimination and reliability findings were promising.","Small, domain-specific corpus with extreme heterogeneity in the initial analysis.","Short constructed response is a distinct candidate; lower scores must not be interpreted as worse learning.",open full text verified
P1E07,"Mertens, Finn and Lindner (2022), Effects of Computer-Based Feedback, DOI 10.1037/edu0000764",network meta-analysis,"77 experiments; 163 effect sizes; KR, KCR, elaborated and answer-until-correct feedback","Elaborated feedback ranked most favorably for lower- and higher-order outcomes; correct-answer and answer-until-correct feedback were often beneficial; correctness-only was weaker.","Effects varied by prior knowledge, domain, test format and outcome.","Feedback result, correct response, elaboration and answer-until-correct must be separate values; correctness-only should not be the general formative default.",ERIC and institutional record verified
P1E08,"van der Kleij, Feskens and Eggen (2015), Effects of Feedback in a Computer-Based Learning Environment, DOI 10.3102/0034654314564881",meta-analysis,"40 studies; 70 effects; item-based computer feedback","Elaborated feedback showed larger average effects than correct-answer or correctness-only feedback.","Implementations and domains were heterogeneous; longer feedback is not automatically better.","Recommend concise actionable elaboration as the first formative profile while preserving other values.",detailed abstract and project extraction verified
P1E09,"Kandemir et al. (2026), Impact of Feedback Timing, DOI 10.1007/s10648-026-10117-8",meta-analysis,"51 studies; 160 effects; computer-assisted learning","Immediate versus delayed feedback had no average winner; educational level, domain and response-time constraints moderated results.","Few multi-day delays; moderator confounding limits causal interpretation.","Timing must be configurable with explicit delay unit and context; no universal immediate-or-delayed rule.",publisher abstract and methods summary verified
P1E10,"Chang and Li (2019), A Relative Effectiveness Assessment of an Immediate Feedback Assessment Technique",meta-analysis,"35 answer-until-correct studies","Answer-until-correct formats outperformed conventional multiple choice on average in the reviewed corpus.","Publication-bias and implementation variation; largely selected-response contexts.","AUC is a permitted retry-feedback sequence, not a universal practice rule.",ERIC EJ1215440 verified
