id,area,current_aralearn,proposal,status,rationale,open_question
AP01,hierarquia,"course>module>lesson>microsequence>card","Manter como primeira visão pedagógica; separar de composition/placement",preservar,"É reconhecível e útil no estudo","Módulo e lição são entidades obrigatórias ou views?"
AP02,microssequência,"Unidade local de planejamento, geração, reparo e navegação","Promover a lineage/revision reutilizável candidata",reformular,"É a fronteira operacional mais madura","Existe unidade reutilizável menor/maior?"
AP03,card,"Unidade de leitura/prática com ID e posição","Preservar como superfície e componente da revisão",preservar,"Experiência central do produto","Card pode ser reutilizado independentemente?"
AP04,contrato-v4,"JSON Schema fechado e versionado","Decompor em contracts de kernel, unit, composition e packages",reformular,"Evita payloads permissivos e mutações laterais","Quais contratos precisam ser independentes?"
AP05,resources,"18 resources no contrato v4","Preservar corpus; migrar para packages independentes",separar,"Repertório é valor do predecessor","Quais entram no baseline?"
AP06,registry,"Registro canônico de schemas/capacidades","Substituir arquivo central por manifests e registry genérico",separar,"Adicionar resource não deve tocar kernel","Build-time ou runtime registry?"
AP07,renderer,"Renderer integral em renderCardRuntime","Um renderer/acessibilidade/test kit por package",separar,"Reduz bundle e concentração","DOM, view model ou web component?"
AP08,practice,"Gap/choice integrados a resources por adapters","Criar package/contract próprio de practice",separar,"O que o estudante faz difere da representação","Quais response shapes comuns?"
AP09,validator,"Avaliação determinística local","Preservar e formalizar port sem rede",preservar,"Garante offline e testabilidade","Há validator conectado no futuro?"
AP10,feedback,"Feedback por opções/erros e reveal","Separar de validator e parametrizar",reformular,"Permite pesquisa e perfis diferentes","Qual granularidade de feedback?"
AP11,offline,"IndexedDB e troca atômica de revisão","Preservar princípio; comparar store e package model",alternativa-a-comparar,"Uso móvel é requisito durável","IndexedDB, Dexie, SQLite ou RxDB?"
AP12,sync,"Outbox/feed específico e LWW no estado pessoal","Colocar atrás de port; manter operações semânticas para autoria",reformular,"Backend deve ser substituível","Protocolo próprio, PowerSync ou RxDB?"
AP13,estado-pessoal,"Cursor, complete, review e comentário, sem tracking","Preservar como perfil AraLearn reference",preservar,"Privacidade e armazenamento mínimos","Perfil pessoal sem conta?"
