domain,current_aralearn_coverage,benchmark_systems,activities_or_representations_revealed,ARA_gap,status
Matemática,"formula, matrix and plane as mostly display/gap/choice",Numbas|STACK|MathLive|JSXGraph|Perseus,"semantic expression input; units; equivalence; proof steps; number line; interactive geometry; graph construction; partial credit",No complete separation of mathematical input validity correctness and feedback; no construction response,covered
Programação,"code display plus literal gap or choice",Pyodide|Papyros|Blockly|OpenDSA|Perseus,"editing; execution; tests; IO; debugging; traces; block construction; algorithm visualisation",No governed runtime capability or code-response document,covered
Química e biologia molecular,"formula and reaction represent symbolic notation",PhET Balancing Chemical Equations|Mol*,"symbolic/submicroscopic coordination; coefficient manipulation; molecular query; 3D structure and state",No molecular grammar or simulation model; reaction alone covers only symbolic level,covered
Física e sistemas dinâmicos,"table/chart/plane can display selected data",PhET family|JSXGraph|ipywidgets|Pyodide,"parameter manipulation; state evolution; measurement; graphical modelling; experiment probes",No explicit simulation contract distinguishing model controls observations and assessment,covered
Geografia e dados espaciais,"no canonical map resource",Leaflet|ipywidgets/ipyleaflet,"coordinates; layers; markers; paths; spatial selection; geographic comparison",Net-new geospatial grammar and offline basemap policy required,covered
Música,"no canonical notation resource",OpenSheetMusicDisplay,"MusicXML score model; staves; notes; rhythm; tablature; Braille score rendering",Net-new music notation grammar and response/validator model required,covered
Eletrônica digital e circuitos,"system_map and graph cannot model ports wires logic state adequately",CircuitVerse,"typed gates; ports; wires; circuit construction; simulation; truth behavior",Net-new circuit grammar and optional simulator/validator required,covered
Línguas e escrita,"linguistic_example aligns form reading IPA gloss translation; no production validator",LanguageTool|Recogito Text Annotator|MathLive speech precedent,"multilingual proofreading; locale-specific diagnostics; annotation; produced-text analysis",Need response documents for production annotation and rubric; proofreading must not be equated with competence,covered
Humanidades e ciências sociais,"annotated_text is author-defined and mostly gap/choice",Recogito Text Annotator|Leaflet|Mermaid,"source annotation; evidence spans; comments/tags; spatial history; argument diagrams",Need learner-authored annotation source comparison citation and argument-response models,covered
Ciência de dados e computação científica,"chart and table render fixed data",Pyodide|ipywidgets|JSXGraph,"data manipulation; executable analysis; parameter controls; dynamic plots; reproducible state",Need dataset provenance executable analysis and result-validation contracts,covered
Estruturas de dados e algoritmos,"graph/tree/code/flow represent selected structures",OpenDSA|Cytoscape.js|Blockly,"algorithm animation; manipulation; graph predicates; automatically assessed exercises",Need semantic learner operations and algorithm-state validators rather than label gaps,covered
Autoria e componentes transdomínio,"closed registry of 18 resource schemas",Perseus|H5P|XBlock|Numbas|ipywidgets,"typed widgets; versioned libraries; component manifests; custom parts; plugin/runtime separation",Need secure installed-capability registry without arbitrary course-supplied code,covered
