source_id,source_class,year,title,author_or_org,access_status,decision_contribution,limitation,url
ARA-P5-001,internal-implementation,2026,AraLearn authoring GPT system prompt,AraLearn,full text,"Defines distinct planning/build/audit/repair/reaudit/publish rounds, microsequence write unit, revisions, comments and explicit publication.",Implementation-specific and not automatically normative for ARA.,https://github.com/fabio-ara/AraLearn/blob/9bff37eee3ba80263084328dc5897d26c7ca3d5a/docs/downloads/authoring/aralearn-chatgpt-system-prompt.md
ARA-P5-002,internal-implementation,2026,AraLearn didactic model,AraLearn,full text,"Provides microsequence rationale, dependency continuity, worked examples, human curation and mobile/offline context.",Pedagogical rationale is not a universal domain model.,https://github.com/fabio-ara/AraLearn/blob/9bff37eee3ba80263084328dc5897d26c7ca3d5a/docs/modelo-didatico.md
ARA-P5-003,internal-implementation,2026,AraLearn non-punitive study state,AraLearn,full text,"Distinguishes functional state, situated observations and prohibited behavioural inferences.",Does not specify collaborative authorship lifecycle.,https://github.com/fabio-ara/AraLearn/blob/9bff37eee3ba80263084328dc5897d26c7ca3d5a/docs/estado-de-estudo-nao-punitivo.md
ARA-P5-004,internal-decision,2026,P1 synthesis,ARA,full text,"Handoff for response, attempts, feedback, consequences, accessibility precedence and output authority.",Covers study/practice rather than authoring lifecycle.,https://github.com/fabio-ara/ARA/blob/main/research/pt-BR/p1-sintese-pratica-resposta-tentativas-feedback-consequencias-01.md
ARA-P5-005,internal-decision,2026,P2 synthesis,ARA,full text,"Handoff for sequence, examples, scaffolding, snapshots and contextual placement.",Does not decide reusable-unit architecture.,https://github.com/fabio-ara/ARA/blob/main/research/pt-BR/p2-sintese-progressao-sequenciamento-revisao-scaffolding-01.md
ARA-P5-006,internal-decision,2026,P3 synthesis,ARA,full text,"Defines bounded AI assistance, human approval, provenance, contestability and dual channels.",Does not define institutional authoring workflow.,https://github.com/fabio-ara/ARA/blob/main/research/pt-BR/p3-sintese-autonomia-adaptacao-acessibilidade-IA-01.md
ARA-P5-007,internal-decision,2026,P4 synthesis,ARA,full text,"Defines protocol/condition snapshots, provenance, governance, rights and role-oriented analytics.",Does not define production review/publication policy.,https://github.com/fabio-ara/ARA/blob/main/research/pt-BR/p4-sintese-instrumentacao-condicoes-analytics-governanca-01.md
ARA-P5-008,official-guidance,2023,Guidance for generative AI in education and research,UNESCO,full text/official summary,"Supports human-centred validation, privacy protection, policy and pedagogical design for GenAI.",Global guidance; not a product workflow specification.,https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research
ARA-P5-009,official-standard,2019,Recommendation on Open Educational Resources,UNESCO,full text,"Supports reuse, adaptation, redistribution, quality assurance, accessibility, policy and sustainability.","Applies to openly licensed resources, not confidential or private content by default.",https://www.unesco.org/en/legal-affairs/recommendation-open-educational-resources-oer
ARA-P5-010,official-standard,2013,PROV-O: The PROV Ontology,W3C,full text,"Provides Entity/Activity/Agent, derivation, revision, specialization and bundles for interoperable provenance.",Too broad to adopt wholesale as the internal domain model.,https://www.w3.org/TR/prov-o/
ARA-P5-011,official-standard,2017,Web Annotation Data Model,W3C,full text,"Provides structured bodies, targets, selectors, motivations, canonical identity and provenance for situated annotations.",Web IRIs/JSON-LD may not fit the first implementation directly.,https://www.w3.org/TR/annotation-model/
ARA-P5-012,official-standard,2026,C2PA Technical Specification 2.4,C2PA,full text,Provides tamper-evident content provenance and attestations; useful as external provenance comparison.,"Optimized for media authenticity, not educational workflow semantics.",https://spec.c2pa.org/specifications/
ARA-P5-013,official-guidance,2026,C2PA Guiding Principles,C2PA,full text,Separates verifiable provenance assertions from value judgments and emphasizes user/organizational needs.,Does not establish educational quality or authorship rights.,https://c2pa.org/principles/
ARA-P5-014,official-standard,2022,Contributor Role Taxonomy (CRediT),NISO,full text,"Demonstrates transparent, structured contribution roles beyond a single author label.",Research-output roles need adaptation for educational production.,https://credit.niso.org/
ARA-P5-015,official-guidance,2026,Creative Commons licenses,Creative Commons,full text,"Defines reuse, adaptation, attribution, ShareAlike, NonCommercial and NoDerivatives constraints.",License selection/compatibility can require legal interpretation.,https://creativecommons.org/share-your-work/use-remix/cc-licenses/
ARA-P5-016,official-guidance,2026,Considerations for licensors and licensees,Creative Commons,full text,"Requires attention to scope, version, attribution, adaptations, third-party rights and non-revocability.",Guidance is not jurisdiction-specific legal advice.,https://creativecommons.org/share-your-work/licensing-considerations/version4/
ARA-P5-017,official-quality-framework,2026,Higher Education Course Design Rubric,Quality Matters,official overview,"Shows alignment across objectives, assessments, materials, activities, technology, support and accessibility, with essential standards.",Full rubric annotations are membership-controlled; design quality does not prove learning outcomes.,https://www.qualitymatters.org/qa-resources/rubric-standards/higher-ed-rubric
ARA-P5-018,official-quality-process,2026,Quality Matters course review process,Quality Matters,official overview,"Distinguishes self, internal and official reviews and uses multi-reviewer teams including SME/external reviewer roles.",Certification process is institutional and not a universal ARA workflow.,https://qualitymatters.org/qm-membership/faqs/how-course-review-works
ARA-P5-019,official-quality-framework,2026,OSCQR course review rubric and process,SUNY Online,full public documentation,"Provides formative, non-evaluative review, action plans, refresh cycles, accessibility and multiple reviewer models.",Rubric targets online course design and does not cover every ARA artifact type.,https://oscqr.suny.edu/
ARA-P5-020,official-workflow,2026,Approving a pull request with required reviews,GitHub,full documentation,"Demonstrates comment/approve/request-changes states, changed-file review and approval invalidation after changes.","Software review mechanics are analogies, not educational requirements.",https://docs.github.com/en/pull-requests/how-tos/review-pull-requests/approving-a-pull-request-with-required-reviews
ARA-P5-021,official-workflow,2026,About code owners,GitHub,full documentation,"Demonstrates scoped ownership, automatic reviewer requests and protected approval policies.",File ownership differs from pedagogical or institutional authority.,https://docs.github.com/en/repositories/managing-your-repositorys-settings-and-features/customizing-your-repository/about-code-owners
ARA-P5-022,implemented-system,2026,Open edX Content Libraries overview,Open edX,full documentation,"Shows centralized reusable content, cross-course use, publishing and library-specific roles.",Sync/update semantics may not meet ARA's immutable snapshot and offline requirements.,https://docs.openedx.org/en/latest/educators/concepts/instructional_design/content_libraries.html
ARA-P5-023,implemented-system,2026,Open edX course roles and permissions,Open edX,full documentation,"Separates editor, staff/publisher and auditor/read-only roles.",Role set is platform-specific and not sufficient for research governance.,https://docs.openedx.org/projects/openedx-authz/en/stable/concepts/core_roles_and_permissions/course_roles.html
ARA-P5-024,implemented-system,2026,Open edX library publishing statuses,Open edX,full documentation,"Provides draft, published and published-with-pending-edits states; only published content is reusable.",Does not define AI provenance or ARA's repair/re-audit lifecycle.,https://docs.openedx.org/en/release-teak/educators/how-tos/course_development/publish_library_content.html
ARA-P5-025,implemented-system,2026,H5P reuse content,H5P,full documentation,Shows import/export and copy/paste reuse of subcontent within supported containers.,Copy-based reuse has limited cross-site lineage and update propagation.,https://h5p.org/reuse-h5p-content
ARA-P5-026,implemented-system,2026,H5P best practices and library versions,H5P,full documentation,"Shows reusable libraries, dependencies, multiple versions and controlled updates.",Library versioning concerns code/content types more than pedagogical units.,https://h5p.org/documentation/for-developers/best-practices
