system_id,system_name,repository,pinned_commit_or_revision,paths_audited,family,license_status,source_role
SYS01,Khan Academy Perseus,Khan/perseus,64c06a5a6c6b3197ea5705dd8b415591e3489a06,"README.md; packages/perseus/src/basic-widgets.ts; packages/perseus/src/extra-widgets.ts; packages/perseus/src/widgets/AGENTS.md; packages/perseus-score/src/widgets/widget-registry.ts",exercise renderer/editor/scoring,MIT,official executable source and documentation
SYS02,H5P core and Drag Question,"h5p/h5p-php-library; h5p/h5p-drag-question","b515e00da7a0ceeb22eec621499e4ad94ed6e941; be90ef440070396beacbccb9d6b10f0c2ee7e2da","h5p.classes.php; LICENSE.txt; semantics.json",extensible interactive-content ecosystem,"core GPL-3.0; content-type license requires per-library verification",official executable source and content-type schema
SYS03,Numbas,numbas/Numbas,f9384c43e1419616a139333c5420f933d0aed7b4,"README.md; schema/exam_schema.10.0.json",browser-based assessment and authoring,Apache-2.0,official executable source and JSON schema
SYS04,STACK,maths/moodle-qtype_stack,eb701abec5aafa54b028c5089133d45a67cd455d,"doc/en/About/The_philosophy_of_STACK.md; COPYING.txt",computer-algebra assessment,GPL-3.0,official philosophy documentation and license
SYS05,Open edX XBlock,openedx/XBlock,0c3239d256ed465507df09d38637f10decf76fa6,README.rst,extensible courseware component architecture,Apache-2.0,official component architecture documentation
SYS06,MathLive,arnog/mathlive,d10bd8dd0f428b4d1c0b19293431cba8373566d6,README.md,structured mathematical input and rendering,MIT,official component documentation
SYS07,JSXGraph,jsxgraph/jsxgraph,4b97351634951e3e36277f35270dc37edb26bbae,README.md,interactive geometry and mathematical visualisation,MIT or LGPL-3.0-or-later,official library documentation
SYS08,Cytoscape.js,cytoscape/cytoscape.js,c668509bf965340ebf2a46d1ab0dcb3b4dd6fb0e,README.md,graph model analysis and interactive renderer,MIT,official library documentation
SYS09,Pyodide,pyodide/pyodide,9048e6309c6b027351673f2fc1856a6969ba7a9b,README.md,browser execution runtime,MPL-2.0,official runtime documentation
SYS10,Papyros,dodona-edu/papyros,831b58227e63a84313b841dcd46992c747165289,"README.md; LICENSE",educational browser code runner and debugger,MIT,official executable source documentation
SYS11,Blockly,RaspberryPiFoundation/blockly,761f15dd32ef9275c198cf5220bbbde9403b68b3,"README.md; LICENSE",block-structured construction environment,Apache-2.0,official library documentation
SYS12,Mermaid,mermaid-js/mermaid,19563d81ebbfd6cb7b97e285bafd986ed40df130,"README.md; LICENSE",declarative diagram grammar and renderer,MIT,official library documentation
SYS13,Jupyter Widgets,jupyter-widgets/ipywidgets,6d1293c64ff94ddc165d3f82cd7fb748a429716f,"README.md; LICENSE",stateful interactive widget framework,BSD-3-Clause,official framework documentation
SYS14,OpenDSA,OpenDSA/OpenDSA,707fb1bdffecf6cb3535ddd84ad786792b4e5b9a,README.md,integrated courseware visualisation and assessed exercises,MIT,official project documentation
SYS15,Mol*,molstar/molstar,26216e9b151ff260c84c709795020782ab2901f1,README.md,molecular structures data analysis and 3D representation,MIT,official model and plugin architecture documentation
SYS16,Leaflet,Leaflet/Leaflet,c96f31a7a350a07cfbc852cf88e6ca69af5f5ec9,README.md,interactive geospatial maps and plugin ecosystem,BSD-2-Clause,official library documentation
SYS17,OpenSheetMusicDisplay,opensheetmusicdisplay/opensheetmusicdisplay,bc58f4e0e68965e2968af9a5d84fe24e7b482bcd,README.md,MusicXML score model and browser renderer,BSD-3-Clause,official renderer and model documentation
SYS18,CircuitVerse,CircuitVerse/CircuitVerse,d52c6e79d4ad849620f86092cc3c819a583bcd6b,README.md,digital logic circuit construction and interactive courseware,MIT,official educational platform documentation
SYS19,Recogito Text Annotator,recogito/text-annotator-js,092be72b5fc6d670123b8f918998fe9c424050a1,README.md,text annotation and W3C-aligned annotation data model,BSD-3-Clause,official annotation model and API documentation
SYS20,LanguageTool,languagetool-org/languagetool,154bb6685d77f9d5a70b2f55bcf3b64b1b10501a,README.md,multilingual rule-based proofreading and language analysis,LGPL-2.1-or-later,official language-analysis engine documentation
SYS21,PhET Balancing Chemical Equations,phetsims/balancing-chemical-equations,b196a7d66dd2f6ed4c7b477fd93d7f447c4bf5a4,README.md,domain-specific educational simulation in chemistry,"simulation license requires per-repository review; PhET trademark and asset conditions separate",official simulation documentation and source
