id,area,title,classification,decision_needed
Q01,agentes-analytics,Inventário da configuração monolítica do AraLearn,investigar,"Separar base comum domínio tarefa contexto MCP knowledge e contratos"
Q02,agentes-analytics,AgentProfile e versões,propor,"Identidade composição lifecycle e resolução"
Q03,agentes-analytics,Papéis e subpapéis do agente,propor,"Responsabilidades autoridade e visibilidade"
Q04,agentes-analytics,Perfis de domínio,investigar,"Quando um perfil é justificável e como difere de parâmetro pedagógico"
Q05,agentes-analytics,Coleções de conhecimento versionadas,propor,"Proveniência licença validade índices acesso e atualização"
Q06,agentes-analytics,Templates de tarefa versionados,propor,"Argumentos exemplos testes histórico e rollback"
Q07,agentes-analytics,Fronteira prompts resources tools e contratos MCP,investigar,"Semântica provider-neutral e terminologia pública"
Q08,agentes-analytics,Políticas de contexto e escopo de escrita,propor,"Leitura integral indexada resumida e objetos mutáveis"
Q09,agentes-analytics,Snapshot efetivo da configuração do agente,propor,"Campos obrigatórios por operação"
Q10,agentes-analytics,Evals e corpus de regressão,investigar,"Casos rubricas repetição graders e critérios de ativação"
Q11,agentes-analytics,Administração em linguagem simples,propor,"Progressive disclosure teste comparação e ativação"
Q12,agentes-analytics,Lifecycle de configuração do agente,propor,"Rascunho avaliação recomendação ativação retirada e rollback"
Q13,agentes-analytics,Proveniência e diff da operação do agente,propor,"Conteúdo composição parâmetros configuração knowledge tools e efeitos"
Q14,agentes-analytics,Corpus versionado de observações,propor,"Alvo versão autor finalidade evidência e uso permitido"
Q15,agentes-analytics,Síntese argumentativa de observações,investigar,"Peso de evidência conflitos minorias e incerteza"
Q16,agentes-analytics,Ciclo observação finding reparo reauditoria,propor,"Estados autoridade diff e decisão humana"
Q17,agentes-analytics,Taxonomia de falhas do agente,investigar,"Prompt knowledge retrieval tool schema modelo resource parâmetro ou fonte"
Q18,agentes-analytics,Analytics de autoria agente e sistema,propor,"Perguntas medidas limites e separação de efeito educacional"
Q19,agentes-analytics,Encaminhamento de recomendações,propor,"Professor curador proprietário pesquisador ou desenvolvedor"
Q20,agentes-analytics,Workbench quantitativo de pesquisa,investigar,"Desenhos métodos código verificação e interpretação"
Q21,agentes-analytics,Workbench qualitativo,investigar,"Métodos codebooks reflexividade estabilidade e revisão humana"
Q22,agentes-analytics,Integração de métodos mistos,investigar,"Unidades temporalidade joint displays e meta-inferências"
Q23,agentes-analytics,ResearchAnalysisRun reproduzível,propor,"Protocolo dataset configuração código outputs e decisão"
Q24,agentes-analytics,GPT como pesquisador-assistente,propor,"Limites autoridade explicação pedagógica e revisão metodológica"
Q25,agentes-analytics,Direitos privacidade e governança analítica,propor,"Purpose consentimento minimização acesso retenção e provider boundary"
Q26,agentes-analytics,Ensaio de continuidade AraLearn para configuração modular,investigar,"Paridade funcional qualidade custo estabilidade e compreensão"
