primary_publication_id,canonical_key,first_author,year,year_suffix,title,doi,citation_label,metadata_status,notes
PP0001,ay:akhshik:2021::learnlanguagevocabularywithmobileapplicationacasestudyofquizlet,Akhshik,2021,,Learn language vocabulary with mobile application: a case study of Quizlet,,Akhshik 2021,full-citation-no-doi,
PP0002,ay:aksel:2021::vocabularylearningwithquizletinhighereducation,Aksel,2021,,Vocabulary learning with Quizlet in higher education,,Aksel 2021,full-citation-no-doi,
PP0003,doi:10.13189/ujer.2019.070409,Andarab,2019,,Learning vocabulary through collocating on Quizlet,10.13189/ujer.2019.070409,Andarab 2019,exact-doi-or-full-citation,
PP0004,ay:arslan:2020::theeffectsofusingquizletonvocabularyenhancementoftertiarylevelesplearners,Arslan,2020,,The effects of using Quizlet on vocabulary enhancement of tertiary level ESP learners,,Arslan 2020,full-citation-no-doi,
PP0005,doi:10.4995/eurocall.2018.7881,Ashcroft,2018,,Digital flashcard L2 vocabulary learning out-performs traditional flashcards at lower proficiency levels,10.4995/eurocall.2018.7881,Ashcroft 2018,exact-doi-or-full-citation,
PP0006,ay:atalan:2022::theuseofquizletinteachingvocabularyto9thgradeeflstudents,Atalan,2022,,The use of Quizlet in teaching vocabulary to 9th grade EFL students,,Atalan 2022,full-citation-no-doi,
PP0007,ay:barr:2016::checkingtheeffectivenessofquizletasatoolforvocabularylearning,Barr,2016,,Checking the effectiveness of Quizlet as a tool for vocabulary learning,,Barr 2016,full-citation-no-doi,
PP0008,doi:10.20535/2410-8286.197808,Chaikovska,2020,,The efficiency of Quizlet-based EFL vocabulary learning in preparing undergraduates for state English exam,10.20535/2410-8286.197808,Chaikovska 2020,exact-doi-or-full-citation,
PP0009,ay:cinar:2019::theeffectsofquizletonsecondaryschoolstudentsvocabularylearningandattitudestoward,Cinar,2019,,The effects of Quizlet on secondary school students vocabulary learning and attitudes towards English,,Cinar 2019,full-citation-no-doi,
PP0010,doi:10.20535/2410-8286.217990,Fursenko,2021,,Integrating Quizlet into aviation English course,10.20535/2410-8286.217990,Fursenko 2021,exact-doi-or-full-citation,
PP0011,doi:10.31436/asiatic.v15i1.2314,Ho,2021,,The effectiveness of Quizlet in improving EFL learners receptive vocabulary acquisition,10.31436/asiatic.v15i1.2314,Ho 2021,exact-doi-or-full-citation,
PP0012,doi:10.4995/eurocall.2018.10425,Korlu,2018,,Autonomy in vocabulary learning of Turkish EFL learners,10.4995/eurocall.2018.10425,Korlu 2018,exact-doi-or-full-citation,
PP0013,ay:kurtoglu:2021::vocabularyteachingthroughweb20toolsacomparisonofkahootandquizlet,Kurtoglu,2021,,Vocabulary teaching through web 2.0 tools: a comparison of Kahoot and Quizlet,,Kurtoglu 2021,full-citation-no-doi,
PP0014,doi:10.6918/ijosser.202205_5(5).0031,Lin,2022,,An empirical study of the effectiveness of Quizlet-based IELTS reading vocabulary acquisition,10.6918/IJOSSER.202205_5(5).0031,Lin 2022,exact-doi-or-full-citation,
PP0015,doi:10.1155/2022/8683671,Nguyen,2022,,Quizlet as a learning tool for enhancing L2 learners lexical retention: should it be used in class or at home?,10.1155/2022/8683671,Nguyen 2022,exact-doi-or-full-citation,
PP0016,doi:10.1501/dilder_0000000238,Ozer,2017,,The use of Quizlet flashcard software and its effects on vocabulary learning,10.1501/dilder_0000000238,Ozer 2017,exact-doi-or-full-citation,
PP0017,doi:10.24203/ajeel.v6i4.5446,Sanosi,2018,,The effect of Quizlet on vocabulary acquisition,10.24203/ajeel.v6i4.5446,Sanosi 2018,exact-doi-or-full-citation,
PP0018,ay:setiawan:2021::quizletapplicationeffectonseniorhighschoolstudentsvocabularyacquisition,Setiawan,2021,,Quizlet application effect on senior high school students vocabulary acquisition,,Setiawan 2021,full-citation-no-doi,
PP0019,ay:tanjung:2020::theeffectofthequizletapplicationonvocabularymastery,Tanjung,2020,,The effect of the Quizlet application on vocabulary mastery,,Tanjung 2020,full-citation-no-doi,
PP0020,ay:toy:2019::theeffectsofquizletonstudentsandeflteachersperceptionsonvocabularylearningandtea,Toy,2019,,The effects of Quizlet on students and EFL teachers perceptions on vocabulary learning and teaching process,,Toy 2019,full-citation-no-doi,
PP0021,ay:van:2020::usingquizlettoenhancevocabularyacquisitionofnonenglishmajorfreshmen,Van,2020,,Using Quizlet to enhance vocabulary acquisition of non-English major freshmen,,Van 2020,full-citation-no-doi,
PP0022,doi:10.37120/ijttl.2021.17.1.02,Wang,2021,,Effects of Quizlet-based learning activities on American high school students beliefs and confidence in learning Chinese,10.37120/ijttl.2021.17.1.02,Wang 2021,exact-doi-or-full-citation,
PP0023,ay:amabile:2021::,Amabile,2021,,,,Amabile 2021,author-year-only,Full bibliographic normalization pending.
