journey_id,actor,journey,profile
J01,Self-directed learner,"Add/import course, materialize offline, study, resume, mark/review, export/delete personal state",core
J02,Learner accessibility,"Set accessible preferences/accommodation, verify effective configuration, study without forced disclosure",core
J03,Personal author,"Create workspace, choose profile, plan/build microsequences, inspect, comment, audit, repair, publish privately",core
J04,GPT-assisted author,"Direct via chat, MCP reads bounded context, writes draft revision, ARA renders, user approves/rejects",core
J05,Course variant researcher,"Fork common scope, alter declared parameter layer, audit invariants/diffs, lock conditions",research
J06,Participant,"Review participant information, consent/refuse, receive condition, complete instruments, withdraw/export rights",research
J07,Teacher/tutor,"Assign approved course, inspect authorized progress/questions, respond to situated comments",formal
J08,Reviewer,"Receive frozen scope/rubric, create findings, request changes, verify resolution, approve next gate",team
J09,Institutional publisher,"Apply role/separation rules, licensing/accessibility/confidentiality checks, publish audience snapshot",institutional
J10,Open OER publisher,"Verify attribution/license/third-party assets, publish version, supersede/withdraw later",public
J11,Confidential workspace,"Restrict context/export/providers, self-host profile, audit access, revoke sharing",institutional
J12,Cross-course composer,"Search authorized microsequences, inspect context/provenance, reference or fork, define dependencies",authoring
J13,Offline conflict resolution,"Edit/study offline, sync, see structural conflict, choose keep/fork/reapply; no semantic auto-merge",core
J14,Administrator,Manage workspace members/policies/backups without handling DB/storage internals,institutional
J15,Catalogue learner,"Discover catalogue entry, add reference to library, materialize immutable version",public
