review_id,role,core_status,rationale,short_name
RA08,general retrieval transfer,anchor-pending-list,Unique focus on transfer and response congruency; retain as general transfer anchor despite unavailable report list.,Pan & Rickard 2018
RA10,applied classroom retrieval,anchor-pending-list,Applied school/classroom synthesis; complements rather than replaces transfer evidence.,Agarwal et al. 2021
RA03,health-professions implementation,anchor,Broad implementation and reporting map across health professions.,Trumble et al. 2024
RA07,medical spaced repetition quantitative,anchor-meta-subset,Quantitative medical synthesis; three exact publications overlap with the Anki review.,Maye & Hurley 2026
RA02,Quizlet quantitative vocabulary,anchor-with-list-discrepancy,Quantitative product synthesis; included-list discrepancy must remain visible.,Özdemir & Seçkin 2024
RA11,mathematics spacing/retrieval,anchor-pending-supplement,Domain-specific quantitative counterweight; primary list remains unavailable.,Murray et al. 2025
RA12,children and developmental boundary conditions,anchor-partial-mechanism-lists,"Broad child-memory review; testing and spacing subsets are mapped, other techniques remain partial.",Cadavid et al. 2025
RA05,Anki product-specific medical evidence,supplement,Product-specific evidence; not interchangeable with the broader medical spacing review.,Frappa et al. 2026
RA06,radiology domain evidence,supplement,Small domain-specific trial corpus with no exact publication overlap in the complete health subset.,Thompson & Hughes 2023
RA04,nursing field map,supplement-pending-full-text,Scoping/implementation role; list unavailable.,Van Hoof et al. 2023
RA09,recent Quizlet descriptive update,supplement,Recent descriptive update; three exact publications overlap with RA02 and two probable study families were identified.,Öcel & Su-Bergil 2025
RA01,higher-education active recall,supplement-pending-full-text,"Potentially useful cross-strategy review, but included-study list and quality details are unavailable.",Xu et al. 2024
