entity,family,definition,classification,invariant
Actor,identity,"Person, organization or bounded agent participating in a journey.",abstract,No authority implied by identity.
UserAccount,identity,Authenticated personal identity.,core,Account is not a global role.
Organization,identity,Institutional boundary owning workspaces/policies.,optional-core,Does not own personal workspaces.
AgentIdentity,identity,Versioned identification of a human or automated contributor.,core,Identity does not grant approval.
Workspace,governance,Bounded collaboration/security/policy context.,core,Roles and access are local.
WorkspaceMembership,governance,Actor-role-capability relation within a workspace.,core,Least privilege and explicit status.
RoleDefinition,governance,Named role with capabilities and constraints.,core,No universal super-admin requirement.
PolicySet,governance,Versioned workspace/institutional rules.,core,Rights and law retain precedence.
LearnerLibrary,organization,Personal collection of references and study assignments.,core,Private by default.
Folder,organization,Organizational container of references.,core,Moving does not alter target identity.
CourseReference,organization,Pointer to a course version or publication channel.,core,No hidden copy.
Collection,organization,Curated set of references for presentation/discovery.,optional-core,Not pedagogical hierarchy.
Programme,organization,Named learning programme relating courses and prerequisites.,optional-core,Does not merge course identities.
Catalogue,organization,Discoverable publication index.,optional-core,Separate from confidential workspaces.
CourseLineage,content,Stable identity across course versions.,core,Version changes do not replace lineage.
CourseVersion,content,Immutable pedagogically complete composition.,core,Contains versioned structure/config/provenance.
ModuleNode,composition,Course-local organizational node.,core,Exists within CourseVersion.
LessonNode,composition,Course-local organizational node below module.,core,Exists within CourseVersion.
MicrosequenceLineage,content,Stable identity of reusable authored microsequence.,core,Initial reusable unit; future versionable decision.
MicrosequenceRevision,content,Immutable version of microsequence content.,core,Semantic edit creates a new revision.
Placement,composition,Contextual occurrence of a microsequence revision in a course version.,core,Owns local order/role/overrides.
RelationEdge,composition,Typed versioned relation among concepts/placements/revisions/courses.,core,Free-text tags are not sufficient.
ConceptRef,composition,Stable or scoped reference to a taught/assessed concept or knowledge component.,core,Exposure is not mastery.
Card,content,Ordered immutable unit inside a microsequence revision.,core,Subclassed by instructional role.
TheoryCard,content,Card whose primary purpose is explanation/representation.,core,May include declarative resources.
PracticeCard,content,Card whose primary purpose is eliciting a learner response.,core,Practice semantics remain separate from resources.
ResourceType,capability,Versioned declarative content contract and renderer capability.,core,No course-supplied executable code.
ResourceInstance,content,Validated declarative data using one ResourceType.,core,Alternative/accessibility metadata required by contract.
PracticeDefinition,practice,Versioned definition of task and cognitive operation.,core,Not a ResourceInstance.
ResponseDefinition,practice,Allowed response form and representation.,core,Separate from validation.
ValidatorPolicy,practice,Deterministic or bounded validation semantics.,core,No authoritative AI by default.
FeedbackPolicy,practice,Content/timing/persistence of feedback.,core,Not equivalent to scoring/consequence.
SourceAnchor,provenance,Recoverable relation from claim/content to source locator.,core,Citation does not prove correctness.
LicenseRecord,licensing,Scope-specific license/rights/attribution record.,core,Third-party restrictions remain visible.
Asset,content,Binary or textual artifact referenced by content.,core,Immutable/versioned when published.
ConfigurationTaxonomy,configuration,Versioned accepted parameter catalogue.,core,`ara.configuration-taxonomy.v1` initial version.
ConfigurationProfile,configuration,Named versioned set of parameter values.,core,One base profile per resolution.
ConfigurationOverlay,configuration,Composable profile subset such as accessibility/offline/research.,core,Cannot remove rights baseline.
ConfigurationOverride,configuration,Scoped sparse parameter change with authority/provenance.,core,Must pass precedence/dependency validation.
EffectiveConfigurationSnapshot,configuration,Resolved immutable values/locks/capabilities/content/composition refs.,core,Required for consequential/research instances.
CapabilityDefinition,capability,Versioned description of functional capability and failure behavior.,core,Classified core/optional/connected/experimental/prohibited.
CapabilityManifest,capability,Availability/version/fallback state for a deployment/package/condition.,core,Absence is explicit.
PublicationChannel,publication,Moving pointer/audience channel to publication snapshots.,core,Channel can advance; snapshots remain immutable.
PublicationSnapshot,publication,Immutable audience-specific released course/package.,core,Published is not necessarily public.
