pubmed_id,eric_id,match_rule,doi
17034812,EJ746771,exact-doi,10.1016/j.jecp.2006.08.004
19083374,EJ807597,exact-doi,10.1016/j.jsp.2008.06.004
19109851,EJ957514,exact-doi,10.1002/ase.58
19448840,EJ827128,exact-doi,10.1111/j.1540-5826.2008.01272.x
19883131,EJ860923,exact-doi,10.1037/a0017341
20919785,EJ933787,exact-doi,10.1037/a0021204
21574747,EJ945342,exact-doi,10.1037/a0023436
21618444,EJ939958,exact-doi,10.1002/ase.227
21707204,EJ934616,exact-doi,10.1037/a0023956
21787105,EJ965468,exact-doi,10.1037/a0024828
22082095,EJ956134,exact-doi,10.1037/a0026252
22139774,EJ956464,exact-doi,10.1152/advan.00039.2011
22383406,EJ968834,exact-doi,10.1152/advan.00090.2011
22618856,EJ1036083,exact-doi,10.1007/s10459-012-9379-7
22774852,EJ1055965,exact-doi,10.1037/a0029199
23002327,EJ979464,exact-doi,10.1007/s11145-011-9342-7
23088546,EJ1055977,exact-doi,10.1037/a0030336
23565792,EJ1056002,exact-doi,10.1037/a0032425
23728136,EJ1013528,exact-doi,10.1152/advan.00174.2012
23815513,EJ1056025,exact-doi,10.1037/a0033569
24114395,EJ1033921,exact-doi,10.1002/jaba.74
24797442,EJ1049495,exact-doi,10.1037/xlm0000012
24797444,EJ1049520,exact-doi,10.1037/xlm0000019
25185226,EJ1038774,exact-doi,10.1187/cbe.13-11-0224
25621869,EJ1073862,exact-doi,10.1037/xlm0000101
26107853,EJ1070490,exact-doi,10.1352/1934-9556-53.3.196
26628657,EJ1084649,exact-doi,10.1152/advan.00041.2015
26690566,EJ1131785,exact-doi,10.1111/desc.12383
27684537,EJ1153039,exact-doi,10.1037/spq0000172
27860396,EJ1147022,exact-doi,10.1002/ase.1668
28080119,EJ1146054,exact-doi,10.1037/xlm0000379
28408408,EJ1139383,exact-doi,10.1187/cbe.16-06-0205
28604013,ED599268,exact-doi,10.1037/xap0000133
28661178,EJ1165880,exact-doi,10.1037/xlm0000423
29314722,EJ1190133,exact-doi,10.1002/ase.1766
29648873,EJ1191916,exact-doi,10.1037/xlm0000486
29698042,EJ1204204,exact-doi,10.1037/xlm0000576
30318606,EJ1235451,exact-doi,10.1111/bjep.12250
30810846,EJ1222433,exact-doi,10.1007/s10459-019-09881-w
30864058,EJ1257571,exact-doi,10.1007/s10803-019-03978-2
30920287,EJ1235211,exact-doi,10.1037/xlm0000708
30998073,EJ1237372,exact-doi,10.1037/xlm0000710
31025916,EJ1214538,exact-doi,10.1187/cbe.18-10-0202
31583117,EJ1432017,exact-doi,10.1038/s41539-019-0053-1
32108510,EJ1252271,exact-doi,10.1152/advan.00143.2019
32294307,EJ1260847,exact-doi,10.1002/bmb.21349
32966702,EJ1310242,exact-doi,10.1002/ase.2018
33244724,EJ1277946,exact-doi,10.1007/s10459-020-10011-0
34185581,EJ1307600,exact-doi,10.1044/2021_jslhr-20-00217
34255979,EJ1310768,exact-doi,10.1044/2021_jslhr-20-00543
34709944,EJ1334414,exact-doi,10.1152/advan.00118.2021
35320680,EJ1343801,exact-doi,10.1044/2021_lshss-21-00101
35410556,EJ1376574,exact-doi,10.1177/17446295221083148
35770202,EJ1441724,exact-doi,10.1021/acs.jchemed.1c01277
35859265,EJ1355781,exact-doi,10.1111/1460-6984.12758
36153374,EJ1349630,exact-doi,10.1186/s41235-022-00435-0
36210912,EJ1373719,exact-doi,10.1007/s10639-022-11371-3
37002242,EJ1431913,exact-doi,10.1038/s41539-023-00159-w
37328650,EJ1393617,exact-doi,10.1007/s10936-023-09983-y
37361855,EJ1400897,exact-doi,10.1007/s10639-023-11822-5
37429986,ED629242,exact-doi,10.3758/s13428-023-02164-8
37615780,EJ1423757,exact-doi,10.1007/s10459-023-10274-3
37929789,EJ1419199,exact-doi,10.1002/bmb.21799
38031724,EJ1419459,exact-doi,10.1152/advan.00138.2023
38226712,EJ1419200,exact-doi,10.1002/bmb.21809
38330211,EJ1452563,exact-doi,10.1093/deafed/enae005
38511215,EJ1429053,exact-doi,10.1152/advan.00096.2023
39541523,EJ1508288,exact-doi,10.1037/xlm0001401
39556402,EJ1507961,exact-doi,10.1037/xlm0001382
39639807,EJ1464067,exact-doi,10.1152/advan.00080.2024
39650695,EJ1451993,exact-doi,10.1186/s40723-024-00139-6
40473676,EJ1473239,exact-doi,10.1038/s41539-025-00322-5
40481711,EJ1475993,exact-doi,10.1002/ase.70051
40523864,EJ1477673,exact-doi,10.1044/2025_jslhr-24-00809
40704796,EJ1488483,exact-doi,10.1111/cdev.70018
40877275,EJ1482176,exact-doi,10.1038/s41539-025-00349-8
41021694,EJ1490847,exact-doi,10.1152/advan.00173.2025
41359278,EJ1498968,exact-doi,10.1186/s41235-025-00693-8
41486977,EJ1501641,exact-doi,10.1002/jad.70096
41531118,EJ1505367,exact-doi,10.1111/bjep.70058
42322471,EJ1511273,exact-doi,10.1007/s10936-026-10275-4
22219529,EJ964432,exact-normalized-title-and-year,10.1901/jaba.2011.44-781
