event_id,label,family,actor_classes,object_type,default_authorization,permitted_use,prohibited_inference
session.started,Session started,operational-study,learner|participant,courseInstance,optional,resume/start context only,not attention or engagement
session.ended,Session ended,operational-study,learner|participant,courseInstance,optional,explicit close or timeout,not time-on-task without active-window rule
study.resumed,Study resumed,study,learner|participant,coursePlacement,baseline-functional,resume continuity,not persistence or motivation
card.presented,Card presented,study,learner|participant,cardOccurrence,protocol-only,denominator for exposure when authorized,not reading or attention
practice.response_submitted,Response submitted,assessment-practice,learner|participant,practiceOccurrence,protocol/course-policy,response evidence,not mastery by itself
practice.feedback_shown,Feedback shown,study,system,practiceOccurrence,protocol/course-policy,treatment fidelity,not comprehension
practice.answer_revealed,Answer revealed,study,learner|system,practiceOccurrence,protocol/course-policy,condition fidelity,not learning
practice.hint_requested,Hint requested,study,learner,practiceOccurrence,protocol-only,support use,not struggle
progression.status_changed,Progression status changed,study,system|authorized-human,coursePlacement,baseline-functional,functional state/protocol fidelity,not mastery unless claim separately defined
review.scheduled,Study review scheduled,study-review,system|author|learner,studyReviewInstance,optional,schedule state,not memory strength
review.deferred,Study review deferred,study-review,learner|system,studyReviewInstance,opt-in/protocol,queue management,not disengagement
annotation.created,Situated annotation created,authoring,author|reviewer|learner,stableTarget,workspace-policy,qualitative evidence/workflow,not defect severity without coding
annotation.resolved,Annotation resolved,authoring,authorized-human,annotation,workspace-policy,workflow state,not correctness
artifact.revision_created,Artifact revision created,authoring,human|agent,artifactRevision,baseline-authoring,provenance,not quality
artifact.review_completed,Review completed,authoring-review,reviewer|agent,artifactRevision,workspace-policy,QA process,not educational effectiveness
artifact.published,Artifact published,publication,publisher,publicationSnapshot,baseline-authoring,publication provenance,not public visibility unless audience states it
configuration.snapshot_created,Effective configuration snapshot created,configuration,system,configurationSnapshot,research/formal,reproducibility,not implementation equivalence alone
condition.assigned,Participant assigned to condition,research,system|researcher,assignment,protocol-only,allocation record,not randomization unless method states it
instrument.administered,Instrument administered,research,system|researcher,instrumentInstance,protocol-only,instrument timing/fidelity,not valid score without scoring model
consent.status_changed,Consent status changed,rights,participant|authorized-researcher,consentRecord,protocol-only,rights state,never research outcome
withdrawal.requested,Withdrawal requested,rights,participant,participantRecord,protocol-only,rights state,never adverse behavior
sync.completed,Synchronization completed,operational,system,syncBatch,operational-only,health/conformance,not educational analytics
sync.conflict_detected,Synchronization conflict detected,operational,system,syncConflict,operational-only,data quality/operations,not learner behavior
capability.unavailable,Capability unavailable,operational,system,capabilityInstance,operational-only,availability/fidelity,not learner performance
