record_id,source_database,source_id,title,year,doi,authors,journal,corrected_evidence_type,access_status,extraction_depth,domain_population,corpus_or_sample,mechanism_or_intervention,comparison,outcomes,principal_findings,quantitative_summary,key_limitations,product_or_mechanism,overlap_cluster,next_action,evidence_group,synthesis_core
PMID:36760059,PubMed,36760059,Transitive inference and the testing effect: Retrieval practice impairs  transitive inference.,2023,10.1177/17470218231156732,"Mulligan, Neil W | Buchin, Zachary L | Powers, Annaliisa",Quarterly journal of experimental psychology (2006),empirical multi-experiment study with small internal meta-analysis,publisher abstract and supplementary material; main full text not openly retrieved,abstract-level,adult laboratory learning / transitive inference,3 experiments plus a small meta-analysis combined with prior experiments,retrieval practice of premise pairs,restudy of premise pairs,memory for premises; transitive inference,Retrieval practice improved neither the complex inference task nor its transfer; transitive inference was worse after retrieval practice than after restudy.,"Small combined meta-analysis reported a negative testing effect on transitive inference, d=-0.37.",Laboratory paradigm and narrow reasoning task; not a systematic review; result concerns element-interactive inference and should not be generalized to ordinary factual retention.,mechanism boundary condition,OV-RETRIEVAL-BOUNDARIES,Reclassify out of synthesis core; retain as a high-value contradictory empirical boundary condition.,empirical-or-product-evaluation,False
PMID:37016117,PubMed,37016117,Flashcards: The Preferred Online Game-Based Study Tool Self-Selected by Students  to Review Medical Histology Image Content.,2023,10.1007/978-3-031-26462-7_10,"Mishall, Priti L | Burton, William | Risley, Michael",Advances in experimental medicine and biology,descriptive longitudinal usage study / book chapter,abstract and institutional publication record; chapter full text not openly retrieved,abstract-level,first-year medical students studying histology images,usage data across four graduating classes (2018–2021) and four Quizlet study sets,self-selected Quizlet modes for image-based histology review,"relative use of Flashcards, Learn, Test, Match, Gravity and Speller modes",tool use/preference; not direct learning or retention,Use increased over the four-year period and the Flashcards mode was selected more often than other Quizlet modes.,Mean usage rose from 445 in 2018 to 849 in 2021; mode-use difference p<0.0001 by chi-square.,Usage preference is not evidence of learning; no randomized comparator; product mode selection may reflect familiarity or interface convenience.,product usage and preference,OV-QUIZLET-PRODUCT-STUDIES,Reclassify out of synthesis core; use for related-systems and preference questions only.,empirical-or-product-evaluation,False
PMID:38401988,PubMed,38401988,Rad Path in a Flash: Creation of the First AMSER Sponsored Digital Flashcard Deck  and a Review of Digital Flashcard Use among? Medical Students.,2024,10.1016/j.acra.2023.12.039,"Hartman, Matthew | Debiec, Nicholas | Kim, Esther | Syed, Hamid | Adhya, Julie | Giardino, Angela | Hill, Jeanne",Academic radiology,product-development study with pre/post confidence survey,publisher abstract and bibliographic record; full text not openly retrieved,abstract-level,medical students / radiology-pathology learning,185 general survey respondents; 31 pre/follow-up deck users,AMSER-sponsored Rad-Path Anki deck,pre/post confidence; no independent control,"use, perceived need, confidence and favorability","Digital flashcard use was common, students reported demand for a radiology deck, and confidence increased after using the deck.",87.6% had used digital flashcards; 33.5% for radiology; 67.6% would use a society-sponsored deck; 31 paired respondents for deck confidence.,Confidence and acceptance are not learning outcomes; small follow-up sample; no randomized control; possible volunteer and sponsorship effects.,product development and perception,OV-ANKI-MEDICAL,"Reclassify out of synthesis core; retain for governance, content quality and institutional sponsorship questions.",empirical-or-product-evaluation,False
PMID:36210912,PubMed,36210912,Attitudes of an international student cohort to the Quizlet study system employed  in an advanced clinical health care review course.,2023,10.1007/s10639-022-11371-3,"Zeitlin, Benjamin D | Sadhak, Nishanth D",Education and information technologies,descriptive cohort perception study,open full text (PMC/author copy),full-text initial extraction,international graduate dental students in pharmacology review,51 students from two consecutive classes,Quizlet electronic flashcards with spaced learning and self-testing,no causal comparison group,"ease of use, ease of study and acceptance",Students broadly accepted Quizlet and reported ease of use and study.,n=51; primarily perception outcomes.,No objective retention measure or experimental comparator; small professional-course cohort; conclusions concern usability rather than effectiveness.,product acceptance,OV-QUIZLET-PRODUCT-STUDIES,Reclassify out of synthesis core; retain as usability evidence.,empirical-or-product-evaluation,False
PMID:40723757,PubMed,40723757,The Use of Retrieval Practice in the Health Professions: A State-of-the-Art  Review.,2025,10.3390/bs15070974,"Serra, Michael J | Kaminske, Althea N | Nebel, Cynthia | Coppola, Kristen M","Behavioral sciences (Basel, Switzerland)",state-of-the-art narrative review,open full text (PMC/MDPI),full-text extraction,"medicine, nursing, dentistry and other health professions",historical and thematic review; no systematic included-study count,retrieval practice and its curricular/self-regulated adoption,not applicable as a systematic comparative synthesis,"historical adoption, applications, barriers and future directions","The review traces increasing adoption since the early 2000s, links growth to assessment-driven education and third-party resources, and highlights persistent barriers to learner uptake.",No pooled effect or exhaustive study count.,Narrative state-of-the-art method; selective evidence and chronology cannot establish effect size; strong claims rely partly on prior syntheses.,mechanism adoption and implementation,OV-HEALTH-PROFESSIONS-RP-SPACING,"Retain as implementation/history source, not as independent effectiveness evidence.",narrative-or-state-of-the-art-review,False
PMID:37611297,PubMed,37611297,Review of 3 Comprehensive Anki Flash Card Decks for Dermatology Residents.,2023,10.12788/cutis.0813,"Azhar, Aaminah F",Cutis,expert product/deck review,open full article webpage,full-text descriptive extraction,dermatology residents,three publicly available Anki deck families,"pre-made dermatology Anki decks with image, free-response and cloze formats","qualitative comparison of scope, card format, updating, tags, access and cost","coverage, usability, format and practical advantages/disadvantages","Decks differed substantially in size, coverage, card granularity, image use, update mechanisms and cost; long free-response slides and incomplete coverage were noted as limitations.","Deck sizes reported as approximately 13,833, 8,454 and 7,889 cards at the time of review.",Single-author expert assessment; no learner outcomes or formal quality rubric; decks and links change over time.,product/deck design evidence,OV-ANKI-MEDICAL,Reclassify out of synthesis core; retain for content-governance and card-design variables.,empirical-or-product-evaluation,False
PMID:38838277,PubMed,38838277,Retrieval Practice Improves Exam Performance as a Function of Review Question  Number and Format.,2025,10.1097/jte.0000000000000352,"Pitt, Jason | Huebner, Bethany","Journal, physical therapy education",controlled applied empirical study,free/author full text located,full-text initial extraction,88 second-year Doctor of Physical Therapy students,42 baseline and 46 intervention-cohort students; 160 exam questions,open-ended or 1–3 multiple-choice review questions,no review and alternative question formats/numbers,performance on later multiple-choice exam questions,"Both formats improved performance over no review; after controlling for item difficulty, more than one multiple-choice review question outperformed a single open-ended review question, with little additional gain from a third item.",Two MCQs improved adjusted performance by about 5.1 percentage points and three by about 4.9 points versus open-ended review; effect appeared to saturate after two MCQs.,One programme and examination format; practice/final-test congruence favors MCQ; cohort and item-level design limits generalization to transfer or long-term retention.,response-format and dose boundary study,OV-RESPONSE-FORMAT-APPLIED,Reclassify out of synthesis core; retain as direct parameter evidence.,empirical-or-product-evaluation,False
PMID:19350834,PubMed,19350834,The usefulness of retrieval practice and review-only practice for answering  conceptually related test questions.,2009,10.3200/genp.136.2.179-204,"Pilotti, Maura | Chodorow, Martin | Petrov, Radoslav",The Journal of general psychology,comparative empirical study,abstract and publisher record; full text not openly retrieved,abstract-level,higher-education students in simulated test preparation,sample size not reported in accessible abstract,retrieval practice with correctness checking versus question-and-answer review,review-only practice,"self-assessment, test performance and memory for conceptually related questions",Both retrieval and review-only practice improved self-assessment and performance on conceptually related questions; the abstract does not establish a unique retrieval advantage.,No effect size reported in accessible abstract.,Immediate last-minute preparation scenario; familiar domain; sample and detailed statistics unavailable; not a review.,mechanism comparison,OV-RETRIEVAL-BOUNDARIES,Reclassify out of synthesis core; retrieve full text only if needed for comparator taxonomy.,empirical-or-product-evaluation,False
PMID:29929801,PubMed,29929801,Testing enhances learning: A review of the literature.,2018,10.1016/j.profnurs.2017.08.008,"Binks, Sally",Journal of professional nursing : official journal of the American Association of  Colleges of Nursing,narrative literature review,publisher full-text sections accessible; no open reusable copy located,detailed narrative extraction,professional and nursing education with cognitive-psychology foundations,"narrative search of ERIC, PsycINFO, PubMed and CINAHL; no systematic included-study count","testing/retrieval practice, spacing and feedback",testing versus study/restudy across cited literature,"retention, recall, organization, self-regulated use","The review recommends answer production, repeated/expanding schedules and feedback and argues that testing remains underused.",No pooled effect.,Narrative selection and recommendation synthesis; does not quantify heterogeneity or risk of bias; older literature cutoff.,mechanism guidance,OV-GENERAL-RETRIEVAL-REVIEWS,"Retain as historical practice guidance, not as an independent quantitative synthesis.",narrative-or-state-of-the-art-review,False
PMID:29571266,PubMed,29571266,Retrieval activates related words more than presentation.,2018,10.1080/09658211.2018.1453934,"Hausman, Hannah | Rhodes, Matthew G","Memory (Hove, England)",three-experiment empirical study with internal mini-meta-analysis,publisher abstract/full-text link; extraction based on abstract,abstract-level,adult laboratory paired-associate learning,3 experiments,retrieval versus presentation/restudy under varying target accessibility,presentation/restudy,activation of semantic mediators,"Retrieval produced a small increase in mediator activation, but mediator activation was not reliably related to target accessibility.",Small positive internal meta-analytic effect; exact value not reported in accessible abstract.,Laboratory mechanism outcome rather than educational achievement; internal meta-analysis is not a systematic review; mediator account remained incomplete.,basic cognitive mechanism,OV-RETRIEVAL-BOUNDARIES,Reclassify out of synthesis core; retain as mechanistic evidence.,empirical-or-product-evaluation,False
ERIC:EJ1315575,ERIC,EJ1315575,Mobile-Assisted Vocabulary Learning: A Review of Anki,2021,,"Nguyen, Bich-Phuong Thi",Journal of Educational Technology,narrative product review,ERIC abstract and bibliographic record; full text not openly retrieved,abstract-level,English as a foreign language vocabulary learners,no systematic corpus or search method reported in accessible record,"Anki mobile flashcards, spaced repetition and flexible study",not systematically defined,lexical retention and retrieval; user implications,The article presents Anki as potentially useful for vocabulary retention while acknowledging shortcomings.,No pooled estimate or included-study count.,Narrative product-focused review; evidence-selection method unclear; broad effectiveness language cannot be independently appraised from abstract.,product-specific narrative evidence,OV-ANKI-LANGUAGE,Retain as related-system description; full text is low priority unless its cited corpus is needed.,narrative-or-state-of-the-art-review,False
