taxonomy_version,precedence_order,authority_layer,description,resolution_rule
ara.configuration-taxonomy.v1,1,hard-rights-and-legal-constraints,"Law, safety, ethics, baseline accessibility, confidentiality and licence restrictions","May prohibit an action or require an accommodation; cannot be bypassed by profile, author, protocol, institution, AI or technical convenience."
ara.configuration-taxonomy.v1,2,participant-rights-and-consent,"Consent, refusal, withdrawal, privacy and participant rights","Overrides research/institutional convenience; may invalidate collection, assignment or continued participation."
ara.configuration-taxonomy.v1,3,approved-research-protocol-locks,Approved protocol and condition locks,"Control values required for comparability, except where higher rights require deviation; deviations must be recorded."
ara.configuration-taxonomy.v1,4,institutional-and-publication-policy,"Institutional assessment, governance, confidentiality, catalogue and publication rules",Applies within lawful/ethical bounds; cannot silently change a locked condition.
ara.configuration-taxonomy.v1,5,qualified-review-and-approval-gates,"Required subject, pedagogical, accessibility, legal or privacy reviews and approvals",Controls readiness/publication for the reviewed scope and revision; no automatic self-approval.
ara.configuration-taxonomy.v1,6,workspace-course-author-policy,"Workspace owner, author, teacher or tutor configuration",Controls authored structure and allowed choices where not locked by higher authority.
ara.configuration-taxonomy.v1,7,learner-choice-and-accommodation-preference,Learner choices and protected accommodations within the permitted space,Applies at learner scope; protected accessibility needs may outrank ordinary course preferences.
ara.configuration-taxonomy.v1,8,base-profile-and-product-default,"Named profile, deployment profile and deterministic product defaults",Fills unspecified values; never overrides explicit higher-scope decisions.
ara.configuration-taxonomy.v1,9,validated-adaptive-rule,Validated adaptive rule explicitly authorized for a target and evidence basis,"May propose or apply values only within its granted scope, transparency, override, rollback and snapshot policy."
ara.configuration-taxonomy.v1,10,AI-recommendation,"AI suggestion, draft, critique or recommendation",Advisory by default; cannot promote its own output or override human/rights/protocol authority.
ara.configuration-taxonomy.v1,11,technical-capability-check,"Available capability, offline state and deployment support",Not an authority source. Unsupported values produce explicit error/unavailable state or an already-authorized fallback; no silent degradation.
