threat,boundary_or_control,executed_scenario,result,production_implication
course-supplied component code,course documents contain data only and adapter registry is installed code,no course code path exists,pass,retain invariant
learner infinite loop,worker timeout and termination,while true terminated within configured limit,pass,production runtime still needs stronger isolation
learner output flood,64-message output cap,worker throws after cap,pass,make output bytes and message count explicit in contract
protected test disclosure,protected tests injected only by Node host and tests paths are not served,response export inspected for protected identifiers,pass,client-only offline mode cannot perform truly protected validation
network access,browser worker removes common network APIs and Node context exposes no require,static demo made no external request,partial,API deletion and vm context are not security boundaries
filesystem access,no filesystem object is exposed to learner code,no file API path in reference runtime,partial,production isolation must enforce OS or browser-origin boundary
memory exhaustion,Node worker resourceLimits and measured browser heap,resource limits configured but not adversarially exhausted,partial,browser Worker lacks a hard per-worker memory quota
runtime escape,Node vm and browser Function execution,threat review identifies known class of escapes,fail-production,reject reference runtime for untrusted production execution
cross-site scripting,all learner and diagnostic output inserted with textContent,source code and annotations containing markup remain text,pass,retain sanitization and no arbitrary HTML
renderer geometry leakage,layout stored only in derivedState,exported graph JSON inspected for x y layout and rendererState,pass,retain canonical-state invariant
source substitution,SHA-256 digest and quote-context selector resolution,offset drift re-resolved while digest remained stable,pass,define immutable source versions and ambiguity failure
selector ambiguity,quote-context resolver returns ambiguous when top candidates tie,algorithm test and code inspection,pass,UI must require learner or reviewer resolution
