capability_id,description,class,profiles,release_horizon
study-baseline,"Offline course study, theory/practice, deterministic feedback, resume",core,all,first release
library-folders,"Personal library, folders and references",core,all,first release
configuration-resolution,"Profiles, overlays, sparse overrides, snapshots",core,all,first release subset
structured-resources,Versioned declarative resource types,core,all,first release registry
deterministic-practice,"Choice, gap and other approved locally validated practices",core,all,first release
authorship-ARA,"Visible draft rendering, targeted edits, comments, versions and diffs",core,authoring profiles,first release
authoring-MCP,"Bounded tool discovery, generation, audit and repair",connected-core,authoring profiles,first release with provider gateway
version-publication,"Revisions, approval, private/publication snapshots, rollback",core,authoring profiles,first release
portability,Import/export of versioned packages,core,all,first release
accessibility-localization,WCAG-oriented behavior and en/pt-BR/pt-PT separation,core,all,first release
sync,Optional synchronization of artifacts/state,optional-connected,managed/formal/institutional,release 2
collaboration,"Workspace membership, review and approvals",optional-core,team/institutional,release 2
research-protocols,"Protocols, conditions, participants and instruments",optional-core,research,release 3
research-events,Authorized event collection and exports,optional-connected,research,release 3
teaching-cohort,"Assignments, enrolment and authorized reporting",optional-core,formal teaching,release 3
public-catalogue,Open/public discovery and catalogue editorial flow,optional-core,public/open,release 3
advanced-diagrams,Complex graph/tree/flow renderers,optional-local,selected courses,after concrete need
code-execution,Sandboxed programming runtime,optional-local-or-connected,programming profile,deferred until ADR
AI-study-assistance,Hints/explanations/critique with fallback,optional-connected,AI-enabled,later
adaptive-models,"Learner models, schedulers, branching",research-experimental,research only,deferred
predictive-early-warning,Prediction and intervention,out-of-first-scope,none,deferred
marketplace,Commercial marketplace/reputation,out-of-scope,none,not planned v1
social-feed-gamification,"Feeds, public ranking, decorative gamification",out-of-scope,none,rejected unless future evidence
course-supplied-code,Arbitrary executable renderers/validators,prohibited,none,never in trusted baseline
