record_id,source_database,title,rule_screen_status,rule_screen_reason,screen_status,screen_reason,audit_note
ERIC:ED234752,ERIC,Microcomputer Software for Teaching German: An Evaluation.,maybe,M02-relevant-mechanism-mentioned-early,maybe,M08-historical-related-system,Historical evaluation includes flashcard software among multiple programs
ERIC:ED422186,ERIC,Children's Construction of the Operation of Addition.,maybe,M02-relevant-mechanism-mentioned-early,exclude,X04-topic-outside-review,Addition-concept construction study without target mechanism
ERIC:ED500232,ERIC,Instructional Patterns: Strategies for Maximizing Student Learning [with CD-ROM],maybe,M02-related-educational-intervention,exclude,X04-generic-resource-or-book,Generic instructional-patterns book; target mechanisms not central
ERIC:EJ097312,ERIC,Encoding and Retrieval Processes in Long-Term Retention,maybe,M02-relevant-mechanism-mentioned-early,maybe,M04-basic-cognitive-mechanism,Direct retrieval-practice and long-term-retention experiment; abstract too brief
ERIC:EJ1142140,ERIC,Efficiency in Second Language Vocabulary Learning,maybe,M02-relevant-mechanism-mentioned-early,include,I01-direct-applied-or-review,Spaced-repetition technique is central to L2 vocabulary learning
ERIC:EJ1221475,ERIC,Arabic Language-Learning Strategy Preferences among Undergraduate Students,maybe,M02-relevant-mechanism-mentioned-early,exclude,X04-learning-strategy-preferences-only,Preference survey without target mechanism or intervention
ERIC:EJ1261815,ERIC,Assessing Students' Use of Optional Online Lecture Reviews,maybe,M02-related-educational-intervention,include,I02-direct-applied-or-evidence-study,Online practice quizzes explicitly engage retrieval practice in a course
ERIC:EJ1360914,ERIC,Efficacy of a Novel Augmentative and Alternative Communication System in Promoting Requesting Skills in Young Children with Autism Spectrum Disorder in India: A Pilot Study,maybe,M02-related-educational-intervention,exclude,X01-clinical-or-communication-intervention-outside-scope,AAC requesting-skills intervention; no target learning mechanism
ERIC:EJ1457848,ERIC,Effective Learning with a Personal AI Tutor: A Case Study,maybe,M02-related-educational-intervention,include,I02-direct-applied-or-evidence-study,AI tutor explicitly implements retrieval practice and spaced repetition
ERIC:EJ1507056,ERIC,AI-Powered Auditory Training and Its Role in Strengthening Musical Memory: A Systematic Review in Higher Music Education,maybe,M02-related-educational-intervention,exclude,X04-adjacent-ai-domain-without-target-mechanism,AI auditory-training review is outside the target mechanisms of this search round
PMID:27805729,PubMed,A transcultural cognitive marker of Alzheimer's Disease.,maybe,M03-clinical-or-rehabilitation-adjacent,exclude,X01-clinical-diagnostic-marker-outside-scope,Alzheimer diagnostic marker rather than learning intervention
PMID:34658270,PubMed,Degree of learning and linear forgetting.,exclude,X04-incidental-term-or-topic-outside-review,maybe,M04-basic-cognitive-mechanism,Basic learning and forgetting study relevant to retention modeling
PMID:40121571,PubMed,[How much do medical students forget?].,exclude,X04-incidental-term-or-topic-outside-review,maybe,M07-retention-background,Medical-student forgetting is relevant background for retention outcomes
PMID:42112919,PubMed,Teaching medical students to learn effectively in the age of AI.,exclude,X04-incidental-term-or-topic-outside-review,maybe,M07-background-review-with-relevant-mechanism,Background on effective study and AI-generated practice questions
