source_id,author_org,title,year,front,access_status,decision_relevance,url
P4-01,SoLAR,Ethics and Learning Analytics: Charting the (Un)Charted,2017,ethics-governance,full-text,"learning analytics ethics require explicit responsibility, transparency, proportionality and attention to unintended consequences",https://www.solaresearch.org/publications/hla-17/hla17-chapter4/
P4-02,Pardo & Siemens,Ethical and privacy principles for learning analytics,2014,ethics-governance,secondary/full citation,"principles include transparency, student control, security, accountability and educational purpose",https://doi.org/10.1111/bjet.12152
P4-03,Drachsler & Greller,Privacy and analytics: DELICATE checklist,2016,ethics-governance,full citation,"privacy governance should be designed through purpose, consent, transparency, access and accountability",https://doi.org/10.1145/2883851.2883893
P4-04,Zeide,Unpacking Student Privacy,2017,privacy,full-text,"compliance alone is insufficient; proactive review, transparency and algorithmic accountability are required",https://www.solaresearch.org/publications/hla-17/hla17-chapter28/
P4-05,SoLAR,"Handbook of Learning Analytics, measurement chapter",2017,measurement,full-text,"measurement requires theory, validity, units and limits; data traces are not constructs by themselves",https://www.solaresearch.org/publications/hla-17/
P4-06,1EdTech,Caliper Analytics 1.2,2020,interoperability,official-spec,event profiles support cross-system activity representation but do not define constructs or ethics,https://www.1edtech.org/standards/caliper
P4-07,ADL,Experience API (xAPI) specification,2024,interoperability,official-spec,xAPI provides statements and profiles for learning experiences; semantics and governance remain implementation responsibilities,https://github.com/adlnet/xAPI-Spec
P4-08,W3C,PROV-O,2013,provenance,official-spec,"provenance can represent entities, activities, agents and derivations across research and content artifacts",https://www.w3.org/TR/prov-o/
P4-09,W3C,Data Privacy Vocabulary,2024,privacy-vocabulary,official-spec,"DPV offers terms for purposes, processing, legal bases, data categories, rights and risks",https://w3c.github.io/dpv/
P4-10,ANPD,Guia orientativo: tratamento de dados pessoais para fins acadêmicos e pesquisas,2024,legal-brazil,official-guidance,"research processing needs legal basis, good faith, transparency, safeguards and context-specific accountability",https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/guia-orientativo-tratamento-de-dados-pessoais-para-fins-academicos-e-para-a-realizacao-de-estudos-e-pesquisas
P4-11,European Union,GDPR Article 5 and Article 89,2016,legal-eu,official-law,"purpose limitation, minimisation, accuracy, storage limitation, security and research safeguards are required",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0679
P4-12,UNESCO,AI and education: protecting the rights of learners,2025,rights-governance,official-report,"digital education and AI governance should be rights-based, inclusive, transparent and accountable",https://www.unesco.org/en/articles/ai-and-education-protecting-rights-learners
P4-13,NIST,AI RMF 1.0,2023,ai-governance,official-framework,"AI risk management should govern, map, measure and manage risks across lifecycle and actors",https://airc.nist.gov/airmf-resources/airmf/
P4-14,NIST,Generative AI Profile,2024,ai-governance,official-framework,"GenAI requires documented risks, evaluation, provenance, incident handling and human oversight",https://doi.org/10.6028/NIST.AI.600-1
P4-15,Open University,Policy on ethical use of student data for learning analytics,2014/2017,institutional-policy,official-policy,"institutions should define purposes, responsibilities, transparency and learner protections",https://help.open.ac.uk/documents/policies/ethical-use-of-student-data
P4-16,Sclater,Code of practice for learning analytics,2016,institutional-policy,full-text,"codes should address responsibility, transparency, consent, access, validity, intervention and adverse impacts",https://doi.org/10.18608/jla.2016.31.6
P4-17,"Willis, Slade & Prinsloo",Ethical oversight typology,2016,ethics-governance,full citation,oversight models differ across institutions and require explicit allocation of responsibility,https://doi.org/10.1007/s11423-016-9463-4
P4-18,LAK22 review,Ethics/privacy issues and guidelines review,2022,ethics-governance,conference-abstract,"literature identifies recurring clusters of privacy, fairness, transparency and governance concerns",https://www.solaresearch.org/lak_toc/lak22.html
P4-19,LAK23,Toward Trustworthy Learning Analytics,2023,trustworthy-analytics,conference-proceedings,"trustworthy analytics requires attention to misuse, fairness, transparency, accountability and unintended consequences",https://www.solaresearch.org/core/lak23-companion-proceedings/
P4-20,AERA,Standards for Reporting on Empirical Social Science Research,2006,research-method,official-standard,"research reports must make design, sampling, measures, analysis and limitations transparent",https://www.aera.net/Publications/Standards-for-Research-Conduct
P4-21,APA,Standards for Educational and Psychological Testing,2014,measurement-validity,official-standard,score interpretations require validity evidence for intended uses and populations,https://www.testingstandards.net/
P4-22,CONSORT,CONSORT 2010 Statement,2010,experimental-reporting,official-guideline,"randomized trials require transparent allocation, flow, outcomes, harms and analysis reporting",https://www.consort-statement.org/
P4-23,TREND,TREND Statement,2004,quasi-experimental-reporting,official-guideline,nonrandomized intervention evaluations require transparent design and analytic reporting,https://www.cdc.gov/trendstatement/
P4-24,SPIRIT,SPIRIT 2013 Statement,2013,protocol-reporting,official-guideline,"protocols should predefine objectives, outcomes, allocation, data management, monitoring and analysis",https://www.spirit-statement.org/
P4-25,TIDieR,TIDieR checklist,2014,intervention-description,official-guideline,"interventions need sufficient detail for replication, including materials, procedures, tailoring and fidelity",https://www.equator-network.org/reporting-guidelines/tidier/
