source_repository,source_commit,path,role,authority_status
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,README.md,public capability summary,secondary-project-documentation
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,docs/aralearn-contract.md,public project and card contract,stable-project-documentation
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,docs/recursos-de-card.md,resource semantics authoring and interactions,stable-project-documentation
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,docs/modelo-didatico.md,didactic framing and microsequence principles,project-rationale
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,docs/fundamentacao-pedagogica-dos-resources.md,evidence and design rationale,project-rationale-not-effectiveness-evidence
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,src/resources/registry/index.js,normative resource schemas limits and validators,executable-source-authority
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,src/resources/registry/authoring.js,normative authoring operations selection and examples,executable-source-authority
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,src/core/resourceGaps.js,formal gap and structured-practice targets,executable-source-authority
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,src/domain/resources.js,domain list derived from registry,executable-source-authority
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,src/render/renderCardRuntime.js,HTML rendering and interaction behavior,executable-source-authority
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,tests/v4/disciplinary-scenarios.test.js,catalog consistency round-trip security and rendering validation,automated-test-evidence
fabio-ara/AraLearn,9bff37eee3ba80263084328dc5897d26c7ca3d5a,tests/fixtures/disciplinary-scenarios.fixture.js,real cross-domain contract scenarios,automated-test-fixture
