taxonomy_version,source_packages,rejection_id,rule,final_status
ara.configuration-taxonomy.v1,P1,monolithic-practice-contract,Reject a monolithic exercise/feedback mode that collapses independent dimensions.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1,universal-attempt-reveal-feedback-defaults,"Reject universal one-attempt, unlimited-attempt, always/never reveal, and universally immediate/delayed feedback rules.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1,correctness-only-formative-default,Reject correctness-only feedback as the universal formative default.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1|P2,structural-completion-as-learning,"Reject deriving score, mastery, rank or learning from structural completion.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1|P2|P3|P4,raw-trace-construct-inference,"Reject inferring attention, effort, ability, difficulty, struggle, expertise, engagement, disability or motivation directly from attempts, time, delay, interruption or navigation.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1|P5,public-ranking-default,"Reject public learner, author or reviewer ranking in the first active taxonomy.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P1|P3,probabilistic-AI-final-authority,"Reject probabilistic or generative assistance as sole authority for consequential scoring, approval or publication.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2,universal-mastery-threshold,Reject a universal mastery threshold or fixed number-correct rule.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2,universal-hard-prerequisite-gate,"Reject universal hard gates without remediation, override and appeal.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2|P3,undifferentiated-control,Reject a single learner-control setting or unlimited control as a universal default.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2,universal-spacing-interleaving,Reject universal interleaving or one universal spacing schedule across domains.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2,examples-only-progression,Reject worked-examples-only progression without independent practice.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2|P3,automatic-support-removal,Reject automatic scaffold fading or adaptation based on unvalidated estimates.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P2,unbounded-review-queue,Reject unbounded mandatory review queues and punitive deferral in personal study.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3,hidden-adaptation,"Reject hidden adaptation without visible target, reason, effective-state record, override and rollback.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3,accessibility-optional-or-forced-disclosure,Reject accessibility as a disableable option and reject forced public disability disclosure for ordinary access.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3,unverified-modality-equivalence,Reject assuming alternative modalities preserve the construct without review.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3|P5,AI-universal-teacher-editor-publisher,"Reject AI as universal teacher, final editor, publisher or consequential evaluator by default.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3|P5,AI-fluency-citation-as-verification,"Reject treating fluent, cited or AI-reviewed output as verified.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3|P5,unbounded-context-and-chat-retention,"Reject unbounded context retrieval and indefinite retention of prompts, chats or intermediate reasoning.",rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3,silent-provider-or-offline-fallback,Reject silent provider/model substitution or silent degradation to unavailable/lower-quality AI.,rejected-or-not-recommended
ara.configuration-taxonomy.v1,P3,mandatory-AI-baseline,Reject mandatory AI assistance in the baseline study path.,rejected-or-not-recommended
