review_id,record_id,short_name,title,family,declared_scope,declared_publications,recovered_publications,list_status,metric_eligibility,status_note,recovered_unique_publications_actual,recovered_incidence_rows_actual
RA01,PMID:38461899,Xu et al. 2024,Active recall strategies associated with academic achievement in young adults,higher-education-active-recall,systematic review; number of included studies not available in accessible abstract,,0,unavailable-full-text,not-eligible,Full included-study table is unavailable; no list was reconstructed from secondary citations.,0,0
RA02,PMID:38510305,Özdemir & Seçkin 2024,Quantifying cognitive and affective impacts of Quizlet on learning outcomes,quizlet-vocabulary,23 included studies,23.0,22,partial-internally-inconsistent,lower-bound-only,"The article states 23 included studies, but only 22 references are identifiable by the article’s own asterisk convention.",22,22
RA03,PMID:37615780,Trumble et al. 2024,Systematic review of distributed practice and retrieval practice in health professions education,health-professions-retrieval-spacing,56 articles / 63 experiments,56.0,56,complete-author-year-list,author-year-audit-only,All 56 author-year publication keys were recovered from the review table; full citation normalization remains incomplete.,56,56
RA04,PMID:36988487,Van Hoof et al. 2023,A Scoping Review of Retrieval Practice in Nursing Education,nursing-retrieval,25 research studies,25.0,0,unavailable-full-text,not-eligible,The included-study table was not available from the accessible abstract.,0,0
RA05,PMID:42183420,Frappa et al. 2026,Anki Use and Academic Performance in Medical Education,anki-medical,11 eligible studies,11.0,11,complete-exact-list,eligible,All 11 included publications were recovered with DOI or exact citation.,11,11
RA06,PMID:37683816,Thompson & Hughes 2023,"Spaced Learning, Interleaving, and Retrieval Practice in Radiology Education",radiology-retrieval-spacing,8 randomized or quasi-randomized studies,8.0,8,complete-table-list,eligible,All eight publication rows were recovered from the review table and reference list.,8,8
RA07,PMID:41601436,Maye & Hurley 2026,The Effectiveness of Spaced Repetition in Medical Education,medical-spaced-repetition,14 studies in review; 13 in meta-analysis,14.0,13,complete-meta-analysis-list-partial-review-list,eligible-meta-subset,The 13 meta-analyzed publications are complete; one systematic-review-only publication remains unidentified.,13,13
RA08,PMID:29733621,Pan & Rickard 2018,Transfer of test-enhanced learning,general-retrieval-transfer,67 reports / 122 experiments,67.0,0,list-not-retrieved-current-execution,not-eligible,The report-level dataset was not publicly enumerated in the accessed sources and was not reconstructed.,0,0
RA09,ERIC:EJ1491544,Öcel & Su-Bergil 2025,A Systematic Review of Quizlet in Vocabulary Acquisition,quizlet-vocabulary,25 journal studies,25.0,25,complete-table-list,eligible,All 25 table rows were recovered.,25,25
RA10,ERIC:EJ1319572,Agarwal et al. 2021,Retrieval Practice Consistently Benefits Student Learning,classroom-retrieval,50 experiments across 37 publications,37.0,0,list-not-retrieved-current-execution,not-eligible,"The accepted manuscript and OSF registration were verified, but the starred included-publication list was not retrievable in this execution.",0,0
RA11,ERIC:EJ1478558,Murray et al. 2025,Spacing and Retrieval Practice for Mathematics Learning,mathematics-spacing-retrieval,27 spacing studies and 7 retrieval studies,,0,supplement-not-retrieved-current-execution,not-eligible,"The accepted manuscript and OSF dataset were located, but included-study rows were not retrievable in the current environment.",0,0
RA12,ERIC:EJ1457655,Cadavid et al. 2025,Learning Techniques to Improve Memory in Children,children-memory-techniques,75 papers / 123 experiments; article reports 23 testing papers and 17 spacing papers,75.0,38,partial-complete-testing-and-spacing-subsets,subset-only,"The article reports 23 testing papers, but 22 identifiable publication keys were recovered from the testing table; 17 spacing keys were recovered; one publication appears in both, yielding 38 unique publications and 39 incidence rows. Other encoding-technique papers were not extracted.",38,39
