id,alternative,source_of_truth,database_impact,object_storage_impact,read_cost,write_cost,main_strength,main_risk,ara_fit
VA01,current-state-plus-log,current row plus operation log,"low payload but audit tables and indexes","low","current simple; restore difficult","low","simple CRUD","history may be insufficient for restoration","insufficient as primary"
VA02,full-snapshots-in-database,revision rows with complete JSON,"high rows indexes WAL backups parsing and RLS","low","simple SQL access","high database CPU and duplication","transactional simplicity","repeats large payloads and reproduces AraLearn pressure","limited"
VA03,full-snapshots-in-object-storage,immutable full JSON plus DB pointers,"small/medium metadata and references","high duplicated bytes and object count","simple one-object load","simple object write plus metadata transaction","easy restore and portability","storage growth and diff reads","good baseline"
VA04,content-addressed-manifests,immutable hashed blobs and hierarchical manifests,"medium graph refs digests indexes and GC metadata","efficient when objects repeat; many small objects","manifest traversal and selective loads","canonicalization hash lookup and atomic refs","deduplication and zero-copy derivation","complexity of integrity GC and debugging","principal hypothesis"
VA05,delta-patch-chains,base snapshot plus ordered patches,"low metadata and chain indexes","efficient bytes","cost grows with chain length","patch generation validation and compaction","space efficiency","fragile reconstruction migrations and random access","later optimization only"
VA06,full-event-sourcing,append-only event stream,"high event volume projections snapshots and concurrency metadata","variable","replay or materialized view","append-only but complex domain processing","intent and auditability","schema evolution eventual consistency and lock-in","selective operation log only"
VA07,native-bucket-versioning,provider object versions,"low product metadata but provider coupling","each version often a complete object","provider-specific retrieval","simple overwrite semantics","operational recovery","no pedagogical semantics and potentially high cost","secondary protection only"
VA08,temporal-database-rows,application/system-time row history,"high history rows constraints indexes and database storage","low","temporal SQL","database-centric writes","time-based relational history","poor fit for DAG multiple parents and large artifacts","metadata use only"
VA09,true-git-repository,Git object database and refs,"product DB still needed for permissions analytics and learning state","Git packfiles or filesystem backend","mature history and diff tools","requires Git service and repository operations","mature DAG and compaction","mismatch with mobile sync granular access and product queries","export and technical artifacts"
VA10,git-like-object-storage,metadata commits refs plus immutable objects,"medium commit graph refs transactions and projections","efficient changed-object writes","graph/manifests","medium/high service complexity","zero-copy derivation and scalable history","specialized layer and operational complexity","strong architectural reference"
