record_id,source_database,source_id,title,year,doi,authors,journal,corrected_evidence_type,access_status,extraction_depth,domain_population,corpus_or_sample,mechanism_or_intervention,comparison,outcomes,principal_findings,quantitative_summary,key_limitations,product_or_mechanism,overlap_cluster,next_action,evidence_group,synthesis_core
PMID:38461899,PubMed,38461899,Active recall strategies associated with academic achievement in young adults: A  systematic review.,2024,10.1016/j.jad.2024.03.010,"Xu, Joy | Wu, Alyssa | Filip, Cosmina | Patel, Zinal | Bernstein, Sarah R | Tanveer, Rameen | Syed, Hiba | Kotroczo, Tiffany",Journal of affective disorders,systematic review (qualitative synthesis),publisher abstract and bibliographic record; full text not openly retrieved,abstract-level,higher education / young adults,number of included studies not reported in the accessible abstract,flashcards; practice testing/retrieval practice; concept mapping,varied active-recall and study strategies,academic performance; information retention; self-efficacy,"Flashcard use was popular and correlated with higher grades/test scores; self-testing, retrieval practice and concept mapping were described as promising but underused; concept mapping was associated with confidence.",No pooled effect; qualitative synthesis in accessible abstract.,Heterogeneous studies; accessible abstract does not provide included-study table or sufficient detail to separate association from causal effects; corrigendum exists.,mixed mechanisms and tools,OV-ACTIVE-RECALL-HIGHER-ED,Request or obtain full text before using included-study counts or quality judgments.,formal-evidence-synthesis,True
PMID:38510305,PubMed,38510305,Quantifying cognitive and affective impacts of Quizlet on learning outcomes: a  systematic review and comprehensive meta-analysis.,2024,10.3389/fpsyg.2024.1349835,"Özdemir, Osman | Seçkin, Hümset",Frontiers in psychology,systematic review and meta-analysis,open full text (Frontiers/PMC),full-text initial extraction,foreign/second-language vocabulary learners,"23 included studies; 21 effects for achievement, 5 for retention, 2 for attitude",Quizlet-assisted vocabulary learning,"traditional instruction, alternative study conditions or control groups across included studies",vocabulary achievement; retention; learner attitude,Moderate average effects were reported for vocabulary achievement and retention and a small positive effect for attitude.,"Achievement g=0.628, 95% CI 0.370–0.885, I²=82.3%; retention g=0.743, 95% CI 0.241–1.245, I²=80.9%; attitude fixed-effect g=0.377, 95% CI 0.029–0.725, based on 2 studies.",High heterogeneity for achievement and retention; only two attitude studies; product features and instructional contexts varied; longitudinal and informal/self-directed evidence was limited.,product-specific evidence (Quizlet) containing multiple mechanisms,OV-QUIZLET-VOCAB,Retain as central product meta-analysis; map its primary studies against the 2025 Quizlet review to avoid double counting.,formal-evidence-synthesis,True
PMID:37615780,PubMed,37615780,Systematic review of distributed practice and retrieval practice in health  professions education.,2024,10.1007/s10459-023-10274-3,"Trumble, Emma | Lodge, Jason | Mandrusiak, Allison | Forbes, Roma",Advances in health sciences education : theory and practice,systematic review,open full text (PMC/publisher),full-text extraction,health professions education,"56 articles / 63 experiments from 1,818 records",distributed practice and/or retrieval practice,varied control and active comparison groups,academic grades and examination scores; implementation variables,"Most included experiments reported benefits of distributed or retrieval practice, but interventions, assessments and designs were heterogeneous.",43 of 63 experiments reported statistically significant benefits; mean MERSQI 12.23/18 and NOS-E 4.55/6.,"Heterogeneous interventions and outcomes; incomplete reporting of content, time on task, delays and assessment stakes; significance counts do not provide a pooled causal effect.",mechanism-level applied evidence,OV-HEALTH-PROFESSIONS-RP-SPACING,"Retain as central applied review; map primary studies against radiology, nursing and medical spaced-repetition reviews.",formal-evidence-synthesis,True
PMID:36988487,PubMed,36988487,A Scoping Review of Retrieval Practice (Test-Enhanced Learning) in Nursing  Education.,2023,10.1097/01.nep.0000000000001115,"Van Hoof, Thomas J | Leary, Catherine M | Banfi, Valori | Polifroni, E Carol",Nursing education perspectives,scoping review,abstract and bibliographic record; full text not openly retrieved,abstract-level,"nursing education, predominantly prelicensure",25 research studies; all but one at prelicensure level,retrieval practice / test-enhanced learning,not consistently specified across mapped studies,objective and subjective educational outcomes; terminology and reporting practices,"Research was predominantly quantitative, but terminology and reporting were inconsistent and many intervention characteristics were undocumented.",25 studies; no pooled effect reported.,Scoping review does not estimate effectiveness; full included-study table and detailed reporting fields were unavailable in the accessible abstract.,mechanism-level field mapping,OV-HEALTH-PROFESSIONS-RP-SPACING,Request full text because the intervention-characteristic map is directly relevant to ARA instrumentation.,formal-evidence-synthesis,True
PMID:42183420,PubMed,42183420,Anki Use and Academic Performance in Medical Education: A Systematic Review of  Evidence and Learning Theory.,2026,10.1007/s40670-026-02643-5,"Frappa, Nicholas | Chernov, Danil | Dillon, Morgan | Alben, Matthew G",Medical science educator,systematic review (qualitative synthesis),open full text (PMC/publisher),full-text extraction,undergraduate medical education,11 eligible studies,"Anki use integrating flashcards, retrieval practice and spaced repetition","nonusers, minimal users, frequency groups or structured interventions across studies",USMLE Step 1/Step 2 CK and university examinations,"Regular or high-frequency Anki use was positively associated with some Step 1 outcomes, while course-exam findings were mixed and the single Step 2 CK study was null.",Three studies showed consistent Step 1 associations; high-frequency users exceeded minimal users by 4–13 points in some studies.,"Evidence largely observational; inconsistent definitions of Anki use, deck quality, preparation duration and outcome measures; self-selection and study-habit confounding.",product-specific evidence (Anki),OV-ANKI-MEDICAL,Retain as central product review; do not treat association as causal effectiveness.,formal-evidence-synthesis,True
PMID:37683816,PubMed,37683816,"The Effectiveness of Spaced Learning, Interleaving, and Retrieval Practice in  Radiology Education: A Systematic Review.",2023,10.1016/j.jacr.2023.08.028,"Thompson, Cole P | Hughes, Marion A",Journal of the American College of Radiology : JACR,systematic review,open full text under publisher licence,full-text extraction,radiology and medical-imaging education,"8 randomized or quasi-randomized studies from 1,316 records","spaced learning, interleaving and retrieval practice",control conditions in randomized/quasi-randomized trials,immediate and delayed post-intervention examination scores,"Five of eight studies reported significant differences favoring an intervention on at least one immediate or delayed assessment, but the domain evidence base was small.","2 spacing studies, 2 interleaving studies, 6 retrieval studies; 2 studies combined spacing and retrieval.",Only eight eligible trials; single-reviewer data extraction; varied interventions and assessment timing; significance counts rather than pooled effect.,mechanism-level domain review,OV-HEALTH-PROFESSIONS-RP-SPACING,Retain as domain-specific synthesis and map its eight trials against broader health-professions reviews.,formal-evidence-synthesis,True
PMID:41601436,PubMed,41601436,The Effectiveness of Spaced Repetition in Medical Education: A Systematic Review  and Meta-Analysis.,2026,10.1111/tct.70353,"Maye, James Anthony | Hurley, Florence",The clinical teacher,systematic review and meta-analysis,open publisher full text,full-text extraction,undergraduate and postgraduate medical education,"14 studies in review; 13 in meta-analysis; 21,415 learners","spaced repetition delivered through flashcards, emailed MCQs, CME frameworks or classroom quizzes",standard or non-spaced study conditions,objective knowledge-test performance,"The pooled result favored spaced repetition, but the intervention category combined materially different delivery systems.","SMD=0.78, 95% CI 0.56–0.99, p<0.0001.",Clinical and educational heterogeneity; mixed intervention forms; limited long-term and continuing-education evidence; optimal schedule and delivery remain unresolved.,mechanism family containing products and course interventions,OV-HEALTH-PROFESSIONS-RP-SPACING,Retain as central quantitative synthesis; inspect primary-study overlap before combining with Trumble or Frappa.,formal-evidence-synthesis,True
PMID:29733621,PubMed,29733621,Transfer of test-enhanced learning: Meta-analytic review and synthesis.,2018,10.1037/bul0000151,"Pan, Steven C | Rickard, Timothy C",Psychological bulletin,systematic meta-analytic review,detailed abstract and author manuscript located,meta-analytic extraction,laboratory and educational transfer studies over more than 40 years,"192 effect sizes; 122 experiments; 67 reports; N=10,382",retrieval practice/testing,non-testing re-exposure,"transfer to changed formats, application, inference, diagnosis and new cues","Retrieval practice produced a moderate average transfer benefit, but positive transfer depended strongly on response congruency, elaborated retrieval and initial success.","d=0.40, 95% CI 0.31–0.50; bias adjustments substantially reduced intercept estimates when favorable moderators were absent.",Highly heterogeneous transfer categories; publication-bias models weakened unconditional estimates; laboratory evidence dominates several categories.,mechanism-level transfer synthesis,OV-GENERAL-RETRIEVAL-REVIEWS,Retain as central transfer synthesis; avoid interpreting d=0.40 as universal transfer.,formal-evidence-synthesis,True
ERIC:EJ1491544,ERIC,EJ1491544,A Systematic Review of Quizlet in Vocabulary Acquisition,2025,,Kübra Öcel | Ayfer Su-Bergil,i.e.: inquiry in education,systematic review (descriptive synthesis),open institutional full text,full-text initial extraction,English-language vocabulary acquisition,"25 journal studies from ERIC and Web of Science, described as published in the prior four years",Quizlet as a supplementary vocabulary-learning tool,varied designs and comparators across included studies,"vocabulary expansion, retention, motivation, engagement and attitudes",The review reports mostly positive vocabulary and affective findings across the included studies.,25 studies; no pooled effect.,Narrow database/time window; descriptive synthesis; likely substantial overlap with the 2024 Quizlet meta-analysis; positive conclusions combine learning and affective outcomes.,product-specific review,OV-QUIZLET-VOCAB,Retain but create primary-study overlap map against Özdemir and Seçkin before synthesis.,formal-evidence-synthesis,True
ERIC:EJ1319572,ERIC,EJ1319572,Retrieval Practice Consistently Benefits Student Learning: A Systematic Review of Applied Research in Schools and Classrooms,2021,10.1007/s10648-021-09595-9,"Agarwal, Pooja K. | Nunes, Ludmila D. | Blunt, Janell R.",Educational Psychology Review,systematic review with effect-size synthesis,open accepted manuscript and publisher metadata,full-text extraction,schools and classrooms across education levels/content areas,"50 experiments; 49 effect sizes; N=5,374",retrieval practice in authentic educational settings,"restudy, no retrieval or other classroom conditions",student learning on delayed/immediate classroom assessments,Retrieval practice was beneficial across many settings and formats; 57% of effects were medium or large.,49 effects; 57% medium/large; only 6% of experiments in non-WEIRD countries.,Not a pooled meta-analytic mean; applied studies varied; geographic concentration substantially limits transfer to Brazil/Portugal and other contexts.,mechanism-level applied synthesis,OV-GENERAL-RETRIEVAL-REVIEWS,Retain as central applied review and geographic-gap evidence.,formal-evidence-synthesis,True
ERIC:EJ1478558,ERIC,EJ1478558,A Meta-Analytic Review of the Effectiveness of Spacing and Retrieval Practice for Mathematics Learning,2025,10.1007/s10648-025-10035-1,Ewan Murray | Aidan J. Horner | Silke M. Göbel,Educational Psychology Review,systematic review and meta-analysis,open accepted manuscript,full-text/meta-analytic extraction,mathematics learning in isolated and course-embedded settings,spacing: 27 studies/53 effects; testing vs restudy: 7 studies/32 effects,spaced practice and retrieval practice,massed practice and restudy,mathematics learning and retention,Spacing showed a robust small-to-medium benefit; the smaller retrieval-practice evidence base did not show a robust overall effect.,Spacing g=0.28 overall; isolated g=0.43; course-embedded g=0.24. Testing vs restudy g=0.18 with 95% CI crossing zero.,Few retrieval studies; smaller effects than other domains; isolated-learning effects were larger but less robust; mathematics tasks and courses varied.,domain-specific mechanism synthesis,OV-MATH-CHILD-LEARNING,Retain as a major domain-specific counterweight to universal retrieval claims.,formal-evidence-synthesis,True
ERIC:EJ1457655,ERIC,EJ1457655,Learning Techniques to Improve Memory in Children: A Systematic Review,2025,10.1007/s10212-024-00936-0,Sara Cadavid | María Camila Cortés-Albornoz | Ana-María Gómez-Carvajal | Santiago David Mendoza-Ayús | Karlos Luna | María Daniela Olaya Galindo | Alberto Vélez-Van-Meerbeke | Claudia Talero-Gutiérrez,European Journal of Psychology of Education,systematic review,public author full text located,full-text extraction,children and adolescents aged 2–18,75 experimental papers; testing effect represented by 23 studies/44 experiments,"spacing, retrieval/testing and encoding-enrichment techniques","massed study, restudy or alternative encoding conditions depending on technique",episodic memory; ecological/educational relevance,"The reviewed techniques generally benefited memory across ages, but educationally authentic materials were uncommon except in testing-effect research.",75 papers; 23 testing-effect studies with 44 experiments; qualitative systematic synthesis.,Many laboratory tasks and episodic-memory outcomes; limited curriculum materials and school implementation; multiple techniques were grouped in one review.,developmental mechanism synthesis,OV-MATH-CHILD-LEARNING,Retain as developmental evidence and as support for testing ecological validity in schools.,formal-evidence-synthesis,True
