id,layer,option,current_relevance,advantages,risks,decision_status
T01,backend,Supabase,"Current AraLearn backend","PostgreSQL; RLS; Auth; Storage; Edge; known migrations and fixtures","Free quotas; operational lock-in; 500MB database; 1GB storage; provider-specific API/functions",candidate-first-adapter
T02,backend,Firebase,"Mobile/cloud alternative","Mature mobile SDKs; Auth; Firestore offline; hosting","Document model; operation pricing; weaker self-host/portability; deep remodel",compare-only-if-mobile-benefit
T03,backend,Appwrite,"Integrated cloud/self-host BaaS","Auth; database; storage; functions; sites; 2GB free storage","Free plan one DB/bucket and two functions; model/conformance unknown",candidate-spike
T04,backend,Nhost,"Postgres/Hasura alternative","Postgres; GraphQL; Auth; Storage; local Docker; self-host","Hasura permissions/metadata; operational stack; price recheck",candidate-spike
T05,backend,PocketBase,"Small self-host profile","Single binary; auth; files; realtime; low cost","Single-node SQLite; operator responsibility; institutional ceiling",candidate-personal-selfhost
T06,backend,Custom Postgres S3 OIDC,"Provider-neutral reference","Maximum portability and control","High implementation and operations; risk of building a BaaS",reference-not-first-default
T07,profile,Local-only,"No remote dependency","Lowest cost; privacy; full offline; no account","No multi-device/collaboration/recovery until later",candidate-personal-baseline
T08,local-store,IndexedDB direct,"Current AraLearn pattern","Native; zero dependency; proven","Verbose migrations/queries/reactivity",candidate-baseline
T09,local-store,Dexie,"IndexedDB wrapper","Transactions/schema/reactivity with small abstraction","Dependency; still IndexedDB semantics",candidate-spike
T10,local-store,RxDB,"Local-first JS database","Reactive; multi-tab; backend-neutral replication","Bundle/license/performance/model complexity",candidate-spike
T11,local-store,SQLite OPFS,"Relational local store","SQL; transactions; native-wrapper alignment","WASM/worker/browser compatibility and bundle",candidate-spike
T12,local-store,PGlite,"Postgres in browser","Relational semantics close to server","Memory/startup/maturity on modest phones",research-only
T13,sync,Ara-specific operation protocol,"Evolution of predecessor","Semantics under control; requestId/revision known","Hard conflict/partial-sync maintenance",candidate
T14,sync,PowerSync,"SQLite sync service","Offline reads/writes; checkpoints; partial sync","Extra service; cost/license; requires SQLite/API integration",candidate-spike
T15,sync,RxDB replication,"Client-centric replication","Backend-neutral pull/push/checkpoint","Conflict model and document orientation",candidate-spike
T16,sync,No generic sync initially,"Package download plus export/import","Cuts major risk and remote cost","Multi-device/collaboration deferred",candidate-first-scope
T17,hosting,GitHub Pages,"Current public deployment","Free static hosting; known pipeline","Static only; public repo; callbacks/cache constraints",candidate-demo
T18,hosting,Other static HTTPS,"Institutional/provider-neutral","Same artifact; flexible origin","MIME/cache/CSP/callback verification",candidate-profile
T19,app,PWA only,"Web canonical product","One codebase; installable; service worker/offline","Platform API limitations; store distribution optional",candidate-baseline
T20,app,Trusted Web Activity PWABuilder,"Minimal Android wrapper","Small APK; browser runtime; same PWA","Requires hosted web/Digital Asset Links; no direct web state access",candidate-wrapper
T21,app,Capacitor,"Native web container","Native plugins; SQLite/filesystem/notifications","Native projects/plugins/build complexity",only-if-native-need
T22,ui,Vanilla ESM Web Components,"Continuity with AraLearn","Low runtime overhead; standards","Manual orchestration; risk of large central files",candidate
T23,ui,React TypeScript,"Common component ecosystem","Types; tooling; lazy modules; testing","Framework overhead/churn; state concentration",candidate-spike
T24,ui,Vue or Svelte,"Alternative component frameworks","Potentially concise and small","New ecosystem; maintainability comparison needed",candidate-spike
T25,resource-loading,Build-time packages,"Official packages selected per build","Strong security; tree-shaking; predictable tests","New build for package changes",recommended-starting-model
T26,resource-loading,Lazy official packages,"Packages shipped and loaded on demand","Small initial bundle; broad catalog","Offline caching/version complexity",recommended-complement
T27,resource-loading,Signed runtime packages,"Installable ecosystem","Independent extension after deployment","Supply-chain sandbox compatibility support",defer
T28,artifacts,Content-addressed immutable objects,"Digest-based unit/assets","Deduplication; integrity; version clarity","GC/reference/lifecycle complexity",candidate
T29,artifacts,Whole-course JSON only,"Current AraLearn publication","Simple atomic artifact","Duplicates reusable units; coarse update/impact",reformulate
T30,artifacts,Course manifest plus unit revisions,"Proposed ARA composition","Reuse; granular versions; storage economy","Reference resolution/offline snapshots/version management",principal-hypothesis
