domain,resources,representative_activities,status,current_limit
Programação,code,complete expression; predict execution; correct syntax,implemented in fixture,No execution or sandbox
Cálculo e álgebra,formula,read symbolic derivative,implemented in fixture,No symbolic equivalence/proof checking
Química simbólica,formula|reaction,read indices; interpret reaction equation,implemented in fixture,No balancing inference or particle/macroscopic model
Estatística,table|chart,compute from tabular sample; interpret trend,implemented in fixture,Chart data points are not direct gap targets
Álgebra linear,matrix,locate matrix entry,implemented in fixture,No structured matrix production or algebra engine
Grafos e redes,graph,identify path from declared edges,implemented in fixture,No learner construction of graph
Geometria analítica,plane,interpret vector endpoint,implemented in fixture,No point/vector placement response
Processos e algoritmos,flow|sequence,follow branch; interpret ordered process,implemented in fixture,Flow practice model is complex; sequence has no direct reordering interaction
Biologia,tree,read taxonomic hierarchy,implemented in fixture,Only single-parent trees
Contabilidade e economia,relation_map,map accounts to groups,implemented in fixture,Only two-set relation
Línguas e sistemas de escrita,paragraph|choice|linguistic_example,preserve Unicode/RTL; align form reading IPA gloss translation,implemented in fixture,No audio or pronunciation response
Direito e administração,paragraph|choice|annotated_text,apply rule to complete case; relate segments to argumentative or normative functions,implemented in fixture,Open argument production is not assessed
Engenharia ambiental,composite|table|choice,coordinate measured data limits and decision,implemented in fixture,Composite complexity limited to 5 blocks
História,sequence|annotated_text,represent chronology; identify textual function or evidence,implemented in fixture,No source comparison response beyond gap/choice
Arquitetura de sistemas,system_map,preserve boundaries membership and connections,implemented in fixture,Node kinds are IT-centric
Aprendizagem profissional/procedimental,flow|sequence|table|choice,diagnose case and follow procedure,supported by contract and examples,No performance capture of real-world procedure
