id,analytics_family,question,required_evidence,allowed_output,prohibited_inference,status
AQ01,agent-quality,"Which agent profiles generate repeated structural failures?","Operations; profile snapshots; validation findings; model versions","Failure rates and bounded recommendations","Profile caused educational harm without study design",candidate
AQ02,agent-quality,"Do domain profiles improve output quality over the general profile?","Matched eval cases; blinded rubrics; repeated runs","Comparative performance with uncertainty","Universal superiority across domains",candidate
AQ03,retrieval,"Which queries fail to retrieve required domain evidence?","Query corpus; relevant-source judgements; retrieval traces","Coverage relevance and failure taxonomy","Retrieved source is pedagogically effective",candidate
AQ04,mcp-contract,"Are invalid outputs caused by prompts tools or JSON contracts?","Trace; validation errors; prompt and contract versions","Root-cause hypotheses and reproducible cases","One correlated component is the sole cause",candidate
AQ05,resource-quality,"Which resources concentrate observations and repairs?","Target versions; observation types; findings; repairs","Counts distributions and qualitative patterns","Resource is pedagogically inferior without controlled evidence",candidate
AQ06,participatory-curation,"Which observations are supported contradicted duplicated or unresolved?","Frozen observation corpus; evidence links; reviewer decisions","Argument-aware synthesis preserving disagreement","Majority opinion equals truth",candidate
AQ07,repair-effectiveness,"Do accepted repairs prevent recurrence?","Before/after versions; repeated audits; later observations","Regression and recurrence analysis","Repair improved learning without outcome data",candidate
AQ08,prompt-evaluation,"Which prompt/profile revision improves task-specific evals?","Versioned prompts; model; dataset; graders; repeated runs","Task-bounded recommendation and rollback evidence","Improvement persists across future model versions",candidate
AQ09,experiment,"Do course conditions differ on the prespecified primary outcome?","Protocol; assignments; locked versions; measure definition; dataset","Effect estimate uncertainty assumptions and sensitivity","Causality beyond the design",candidate
AQ10,experiment,"Are observed group differences explained by baseline imbalance attrition or exposure?","Baseline variables; missingness; fidelity; assignment data","Diagnostics adjusted estimates and limitations","Post hoc adjustment guarantees unbiased result",candidate
AQ11,qualitative,"How do participants describe difficulties and benefits?","Authorized corpus; coding protocol; quotes; analyst memos","Themes cases contradictions and evidence trail","Theme prevalence equals population frequency",candidate
AQ12,mixed-methods,"What qualitative evidence explains or challenges quantitative patterns?","Linked but governed datasets; joint display; integration protocol","Convergences divergences and explanations","One data strand automatically validates the other",candidate
AQ13,research-assistant,"Which analyses and conclusions are admissible under the protocol?","Question; design; variables; code; outputs; assumptions","Method explanation alternatives and bounded conclusion","LLM output is scientific authority",recommended
AQ14,governance,"Who can access raw data analyses and recommendations?","Purpose; consent; role; retention; deployment policy","Access decision and audit trail","Provider capability grants authority",candidate
