id,object,purpose,versioned,principal_relations,decision_status
AG01,AgentProfile,"Administrative identity for a reusable agent configuration",yes,"AgentProfileVersion; workspace; deployment; authority",candidate
AG02,AgentProfileVersion,"Immutable effective design inputs before final resolution",yes,"DomainProfileVersion; PromptTemplateVersion; KnowledgeCollectionSnapshot; ContextPolicyVersion; EvalSuiteVersion",candidate
AG03,DomainProfileVersion,"Domain terminology sources practices resources rubrics and failure patterns",yes,"AgentProfileVersion; ResourcePackage; KnowledgeCollectionSnapshot",candidate
AG04,KnowledgeCollectionSnapshot,"Frozen source and retrieval corpus with provenance and access policy",yes,"Source; index; embedding; licence; retention",candidate
AG05,PromptTemplateVersion,"Parameterized reusable task instruction with tests and history",yes,"AgentProfileVersion; MCP prompt; EvalSuiteVersion",candidate
AG06,ContextPolicyVersion,"Rules for integral indexed summarized and excluded context",yes,"AgentOperation; target; read scope; privacy policy",candidate
AG07,ToolCapabilityVersion,"Typed operation contract and permission semantics",yes,"MCP tool; application service; role; target",candidate
AG08,AgentResourceDescriptorVersion,"Discoverable context/resource descriptor separate from executable tools",yes,"MCP resource; knowledge collection; contract catalogue",candidate
AG09,EvalSuiteVersion,"Cases rubrics graders expected properties and regression criteria",yes,"AgentProfileVersion; model; dataset; trace",candidate
AG10,AgentConfigurationSnapshot,"Fully resolved configuration used by one operation",yes,"model; prompts; knowledge; tools; context; evals; parameters",recommended
AG11,AgentOperation,"Persisted planned running completed or failed agent action",yes,"target revision; write scope; read context; outputs; diff; decision",recommended
AG12,ObservationCorpusSnapshot,"Frozen set of situated contributions used for one synthesis",yes,"observations; target versions; contributors; use policy",candidate
AG13,ArgumentAssessment,"Structured analysis of support contradiction relevance and uncertainty",yes,"observation corpus; evidence; finding; reviewer",research-only
AG14,AgentQualityFinding,"Auditable issue concerning instruction retrieval tool contract model or output",yes,"agent snapshot; operation; rubric; repair",candidate
AG15,ResearchAnalysisRun,"Reproducible quantitative qualitative or mixed-method analysis execution",yes,"protocol; dataset; code; agent snapshot; outputs; human decision",recommended
AG16,AgentRoleProfile,"Role-specific responsibility without implying a separate GPT identity",yes,"planner; builder; auditor; repairer; analyst; curator",candidate
