id,reference,year,evidence_type,focus,corpus_or_sample,key_result,critical_limit,source_status,doi
RF01,"Eisenkraemer, Jaeger and Stein — A Systematic Review of the Testing Effect in Learning",2013,"systematic review","recall and recognition practice tests","studies published 2006–2012","Both recall and recognition tests can benefit retention; production formats generally showed larger benefits and feedback can reduce negative effects of incorrect options","Narrative synthesis of an earlier evidence period; format and feedback are often confounded","open full text","10.1590/1982-43272356201314"
RF02,"Pan and Rickard — Transfer of Test-Enhanced Learning",2018,"meta-analysis","transfer after retrieval practice","192 effects; 122 experiments; 67 reports; N=10382","Transfer relative to reexposure d=0.40; response congruency, elaborated retrieval and initial performance moderated effects","Broad laboratory and educational tasks; transfer categories are heterogeneous","abstract and author manuscript located","10.1037/bul0000151"
RF03,"Breuer, Scherndl and Ortner — Effects of Response Format",2023,"multilevel meta-analysis","open-ended versus closed-ended assessment","102 studies; 392 effects","Scores correlated r=0.67, but closed-ended scores were higher; pooled difference d_av=-0.65 under authors' coding","Primarily assessment measurement, not an intervention-effect review; item equivalence varied","open full text","10.1098/rsos.220456"
RF04,"Sher et al. — Very Short Answer Questions vs Multiple Choice Questions",2026,"systematic review and meta-analysis","VSAQ versus MCQ in health professions assessment","3 studies; 6 cohorts; n=1191","Initial SMD=-0.52 with I2=98%; excluding an outlier SMD=-0.86 favouring higher MCQ scores; VSAQ discrimination z=1.45 and reliability z=0.43; practice effects mixed","Very small study base, health professions only, extreme initial heterogeneity","open full text","10.1186/s12909-026-09359-5"
RF05,"van der Kleij, Feskens and Eggen — Effects of Feedback in Computer-Based Learning",2015,"meta-analysis","item-based feedback content","40 studies; 70 effects","Elaborated feedback effect 0.49, correct-answer feedback 0.32, correctness-only feedback 0.05; elaboration stronger for higher-order outcomes","Feedback implementations and domains heterogeneous; summary-level extraction in this round","detailed abstract and metadata","10.3102/0034654314564881"
RF06,"Kandemir et al. — Impact of Feedback Timing",2026,"meta-analysis","immediate versus delayed computer-assisted feedback","51 studies; 160 effects","Average timing effect g=0.03, 95% CI [-0.08,0.13]; educational level, domain and response-time constraints moderated effects","Few multi-day delays; moderators partly confounded; full article restricted","full abstract, methods summary and open data notice","10.1007/s10648-026-10117-8"
RF07,"Agarwal et al. — Retrieval Practice Versus Elaborative Encoding",2025,"systematic review and meta-analysis","retrieval versus elaborative study","44 studies; 142 comparisons","Small overall retrieval advantage g=0.14; free recall advantage g=0.23; retrieval advantage conditional on feedback g=0.50","Comparator tasks and material complexity varied; detailed full-text extraction pending","detailed abstract and metadata","10.1007/s10648-025-10076-6"
RF08,"Gao et al. — Automatic Assessment of Text-Based Responses",2023,"systematic review","automated assessment of open text in post-secondary education","838 screened; 93 included studies","Maps systems by input, output, motivation and outcome, showing broad technical approaches to automated scoring and feedback","Preprint status in current record; technical performance does not establish educational validity or fairness","open manuscript","10.48550/arXiv.2308.16151"
RF09,"van Wijk et al. — Battle of Question Formats",2024,"randomized within-subject study","VSAQ versus MCQ retrieval practice","n=45","Compared practice and final-test formats without feedback; later meta-analysis reports a non-significant recent practice-effect estimate","Small extracurricular health-course sample and no feedback","open PubMed/PMC record","10.1186/s12909-024-06538-0"
RF10,"Queiroz et al. — Cognitive Workload of VSAQ and MCQ",2026,"randomized eye-tracking experiment","cognitive workload by response format","medical education sample","Directly measures workload-related indicators rather than inferring cognitive demand only from scores","Domain-specific and assessment-focused; broader learning implications require replication","open PubMed/PMC record","10.1080/10872981.2026.2621434"
