id,area,title,classification,decision_needed
A01,auditoria,Inventário funcional verificável do AraLearn,investigar,"Escopo do produto-base"
A02,auditoria,Corpus de cursos e estados representativos,investigar,"Quais fixtures representam o uso real"
A03,auditoria,Matriz preservar reformular separar retirar,discutir,"Validar item a item com o proprietário"
A04,auditoria,Limites do produto,discutir,"Distinguir ARA de LMS e authoring suite geral"
A05,auditoria,Vocabulário público,discutir,"Termos compreensíveis por perfil"
A06,auditoria,Cenários de referência,discutir,"Quais cenários governam decisões"
B01,kernel,Identidades e versões,propor,"Modelo de lineage revision snapshot e digest"
B02,kernel,Hierarquia e composição,propor,"Entidades obrigatórias versus views"
B03,kernel,Contrato de microssequência,propor,"Granularidade e referências permitidas"
B04,kernel,Contrato de card,propor,"Fronteiras resource practice response validator feedback"
B05,kernel,Contrato de artifact package,propor,"Formato e dependências"
B06,kernel,Canonicalização e digest,propor,"Algoritmo e escopo de hash"
B07,kernel,Migrations de contrato,propor,"Compatibilidade e política de rejeição"
B08,kernel,Estados editoriais,propor,"Vocabulário e transições"
B09,kernel,Policy authority engine,propor,"Precedência e overrides"
B10,kernel,Error model,propor,"Códigos recuperação e exposição ao usuário"
C01,packages,Manifesto de package,propor,"Campos obrigatórios e compatibilidade"
C02,packages,Registry genérico,propor,"Build-time dynamic ou instalável"
C03,packages,Resource conformance kit,propor,"Testes comuns obrigatórios"
C04,packages,Practice contract,propor,"Response shapes e lifecycle"
C05,packages,Validator contract,propor,"Determinismo e extensões conectadas"
C06,packages,Feedback contract,propor,"Granularidade e política"
C07,packages,Migração dos resources-base,alternativa,"Quais entram no primeiro pacote"
C08,packages,Migração dos resources estruturais,alternativa,"Ordem e dependências"
C09,packages,Migração dos resources especializados,alternativa,"Escopo posterior"
C10,packages,Galeria de packages,propor,"Matriz visual e acessível"
C11,packages,Package budgets,propor,"Tamanho memória e limites"
C12,packages,Política de packages externos,adiar,"Oficiais compilados ou instaláveis"
C13,packages,Fallback e exportabilidade,propor,"Comportamento quando ausente"
D01,composição,Placement,propor,"Semântica da ocorrência contextual"
D02,composição,Grafo de relações tipadas,propor,"Vocabulário mínimo"
D03,composição,Validação do grafo,propor,"Ciclos escopo e versões"
D04,composição,Editor de dependências,propor,"Visual e lista acessível"
D05,composição,Reuse por referência,propor,"Atualização e permissão"
D06,composição,Copy fork adaptation translation,propor,"Provenance e efeitos distintos"
D07,composição,Impact analysis,propor,"Alcance de alteração retirada ou package"
D08,composição,Atualização de referência,propor,"Escolhas do autor"
D09,composição,Contexto para GPT,propor,"Seleção e orçamento"
D10,composição,Distratores fundamentados,investigar,"Uso de misconceptions sem inferir domínio"
D11,composição,Busca de unidades reutilizáveis,propor,"Índices e filtros"
D12,composição,Garbage collection sem perda,propor,"Referências retenção e hard delete"
E01,parametrização,Catálogo versionado,propor,"Evolução da taxonomia"
E02,parametrização,Perfis-base,discutir,"Perfis realmente necessários"
E03,parametrização,Overlays,propor,"Compatibilidade e precedência"
E04,parametrização,Overrides esparsos,propor,"Escopos permitidos"
E05,parametrização,Resolver configuração efetiva,propor,"Algoritmo e explicabilidade"
E06,parametrização,Formulários em linguagem comum,propor,"Progressive disclosure"
E07,parametrização,Diff de configuração,propor,"Consequências mostradas"
E08,parametrização,Parâmetros transformadores,propor,"Pipeline de derivação"
E09,parametrização,Condições bloqueadas,propor,"Direitos versus lock"
E10,parametrização,Validação de combinações,propor,"Conflitos e unsupported"
F01,offline,Comparativo do store local,investigar,"IndexedDB Dexie SQLite PGlite RxDB"
F02,offline,Materialização atômica,propor,"Instalação ativação e rollback"
F03,offline,Cache de assets,propor,"Deduplicação quotas e eviction"
F04,offline,Estado pessoal contextual,propor,"Chave e transferência entre contextos"
F05,offline,Rascunho local,propor,"Undo revisão e export"
F06,offline,Multi-tab,propor,"Coordenação de escrita"
F07,offline,Storage pressure,propor,"Budgets e limpeza"
F08,offline,Perfil local-only,discutir,"Uso sem conta"
F09,offline,Backup pessoal,propor,"Escopo e segurança"
F10,offline,Diagnóstico local,propor,"Camada avançada"
G01,infraestrutura,Ports de infraestrutura,propor,"Fronteiras do domínio"
G02,infraestrutura,Adapter Supabase de referência,alternativa,"Reuso versus desacoplamento"
G03,infraestrutura,Adapter alternativo de prova,investigar,"Appwrite Nhost PocketBase ou backend mínimo"
G04,infraestrutura,Artifact repository,propor,"Contrato provider-neutral"
G05,infraestrutura,Metadata repository,propor,"Queries e policies"
G06,infraestrutura,Sync protocol,investigar,"Próprio RxDB ou PowerSync"
G07,infraestrutura,Operation receipt,propor,"Campos e retenção"
G08,infraestrutura,Partial sync,propor,"Escopo por pessoa e workspace"
G09,infraestrutura,Quotas e budgets,propor,"Banco storage egress functions realtime"
G10,infraestrutura,Provider paused/degraded,propor,"Continuidade offline"
G11,infraestrutura,Export e exit strategy,propor,"Saída do fornecedor"
G12,infraestrutura,Perfil self-hosted,adiar,"Carga operacional e escopo institucional"
H01,identidade,Perfil sem conta,discutir,"Capacidades locais"
H02,identidade,Identity adapter,propor,"OIDC versus BaaS Auth"
H03,identidade,Biblioteca pessoal,propor,"Referências pastas e downloads"
H04,identidade,Workspaces,propor,"Tipos e isolamento"
H05,identidade,Papéis locais,propor,"Conjunto mínimo"
H06,identidade,Convites e transferência,propor,"Fluxos e segurança"
H07,identidade,Capabilities por papel,propor,"UI e backend"
H08,identidade,Visibilidade e audiência,propor,"Separar estado editorial"
H09,identidade,Exclusão de conta workspace,propor,"Impacto e retenção"
H10,identidade,Administração compreensível,propor,"Perguntas e consequências"
I01,estudo,Shell mobile-first,propor,"Navegação e estados globais"
I02,estudo,Biblioteca Continuar,propor,"Conteúdo e filtros"
I03,estudo,Course overview,propor,"Informações e ações"
I04,estudo,Leitor de card,propor,"Ação primária e contexto"
I05,estudo,Navegação de microssequência,propor,"Strip lista e retomada"
I06,estudo,Prática e feedback,propor,"Comandos e parâmetros"
I07,estudo,Rever,propor,"Fila não punitiva"
I08,estudo,Observação,propor,"Categoria visibilidade e retorno"
I09,estudo,Resume/version change,propor,"Mudanças e snapshots"
I10,estudo,Capability unavailable,propor,"Fallback e continuidade"
I11,estudo,Dados pessoais,propor,"Export e remoções distintas"
I12,estudo,Preferências de acessibilidade,propor,"Sem disclosure obrigatório"
J01,autoria,Workspace overview,propor,"Resumo e navegação"
J02,autoria,Planejamento de curso,propor,"Brief fontes e invariantes"
J03,autoria,Composition editor,propor,"Placements e relações"
J04,autoria,Microsequence editor,propor,"Metadata cards e versions"
J05,autoria,Card resource editor,propor,"Forms por package"
J06,autoria,Modo Ler Editar,propor,"Continuidade da superfície"
J07,autoria,Version history,propor,"Lineage ator e motivo"
J08,autoria,Semantic diff,propor,"Conteúdo estrutura configuração composição"
J09,autoria,Operações manuais determinísticas,propor,"Comandos e consequências"
J10,autoria,Source provenance manager,propor,"Anchors e autorização"
J11,autoria,Licence manager,propor,"Escopo e compatibilidade"
J12,autoria,Preview materialization,propor,"Partial private e capabilities"
K01,agente,Agent gateway,propor,"MCP ou protocolo equivalente"
K02,agente,Capability discovery,propor,"Catálogo compacto e contratos sob demanda"
K03,agente,Context builder,propor,"Seleção e orçamento"
K04,agente,Operation object,propor,"Estados e persistência"
K05,agente,Planner,propor,"Plano sem mutação"
K06,agente,Builder,propor,"Lotes pequenos"
K07,agente,Auditor,propor,"Read-only e findings"
K08,agente,Repairer e re-auditor,propor,"Escopo e regressão"
K09,agente,Atomic assistance,propor,"Card e microssequência adicional"
K10,agente,Provider adapters,alternativa,"OpenAI DeepSeek Gemini local custom"
K11,agente,Privacy data boundary,propor,"Contexto autorizado"
K12,agente,Cost context budget,propor,"Paginação schemas e anexos"
K13,agente,Human approval,propor,"Sem autoaprovação/publicação"
K14,agente,Failure recovery,propor,"Timeout stale invalid e retry"
L01,revisão,Annotation targets,propor,"Alvos estáveis"
L02,revisão,Categories and status,propor,"Vocabulário e lifecycle"
L03,revisão,Review types,propor,"Tipos e autoridade"
L04,revisão,Rubric and scope,propor,"Versão e independência"
L05,revisão,Repair authorization,propor,"Alvos e mudança lateral"
L06,revisão,Re-audit,propor,"Regressão e supersession"
L07,revisão,Approval,propor,"Autoridade proporcional"
L08,revisão,Publication,propor,"Audiências e snapshots"
L09,revisão,Withdrawal supersession,propor,"Novos acessos e sucessor"
L10,revisão,Deletion,propor,"Remover arquivar revogar hard delete"
M01,pesquisa,Protocol condition snapshot,propor,"Conteúdo configuração e capabilities"
M02,pesquisa,Variant derivation,propor,"Invariantes e diferenças"
M03,pesquisa,Participant rights,propor,"Consentimento recusa retirada retenção"
M04,pesquisa,Event authorization,propor,"Purpose binding"
M05,pesquisa,Instruments,propor,"Quantitativos qualitativos e mistos"
M06,pesquisa,Measures,propor,"Fórmula unidade janela e limites"
M07,pesquisa,Construct interpretation registry,propor,"Separação metodológica"
M08,pesquisa,Research export,propor,"Package e provenance"
M09,pesquisa,Learner analytics opt-in,discutir,"Utilidade sem compartilhamento automático"
M10,pesquisa,Teacher tutor views,propor,"Perguntas e agregados"
M11,pesquisa,Storage cost model,propor,"Protocolos representativos"
M12,pesquisa,Cross-deployment conformance,propor,"Equivalência antes de pooling"
N01,ux,Informação por tarefa,propor,"Áreas e progressive disclosure"
N02,ux,Design tokens mínimos,propor,"Sistema visual"
N03,ux,Component contracts,propor,"Padrões comuns"
N04,ux,Mobile desktop adaptation,propor,"Panes e equivalência"
N05,ux,State catalog,propor,"Estados transversais"
N06,ux,Keyboard touch,propor,"Alternativas a drag"
N07,ux,Assistive technology,propor,"Alternativas não visuais"
N08,ux,Localization,propor,"en pt-BR pt-PT"
N09,ux,Comprehension testing plan,propor,"Termos e consequências"
N10,ux,Wireframe review,discutir,"Aprovar/refazer desenhos"
O01,implantação,PWA baseline,alternativa,"Manifest service worker e cache"
O02,implantação,GitHub Pages profile,alternativa,"Demonstração estática"
O03,implantação,Other static host profile,alternativa,"Conformance de hosting"
O04,implantação,Android wrapper comparison,investigar,"PWA TWA PWABuilder Capacitor"
O05,implantação,Device benchmark fixture,propor,"Galaxy A07-class"
O06,implantação,Secrets configuration,propor,"Runtime public versus secrets"
O07,implantação,Diagnostics,propor,"Versões e health"
O08,implantação,Backup restore concepts,adiar,"Perfis conectados futuros"
P01,migração,AraLearn export inventory,investigar,"Escopo migrável"
P02,migração,Semantic mapper,propor,"Hierarchy para lineage placement"
P03,migração,Resource package mapper,propor,"v4 para packages"
P04,migração,Migration report,propor,"Valid repairable ambiguous unsupported"
P05,migração,Representative course walkthrough,investigar,"Cursos reais"
P06,migração,Visual parity review,discutir,"Continuidade percebida"
P07,migração,Storage simulation,investigar,"Quotas e crescimento"
P08,migração,LLM authoring trials,investigar,"Construção contexto auditoria reparo"
P09,migração,Usability studies,adiar,"Depois de protótipo discutido"
P10,migração,Decision log,propor,"Promoções e rejeições versionadas"
