id,front,year,status,reference,evidence_type,principal_finding,limitation,ara_implication,url,access_depth
AP001,agent-architecture,2026,official,"Model Context Protocol. Understanding MCP servers.",official-specification,"Separates tools, resources and prompts by semantics and control; prompts are reusable templates, resources provide context and tools execute typed actions.","Protocol semantics do not prescribe the ARA product model or prove educational value.","Model prompts, knowledge/resources and operations as distinct discoverable objects.",https://modelcontextprotocol.io/docs/learn/server-concepts,full
AP002,agent-architecture,2025,official,"Model Context Protocol. Server overview, revision 2025-06-18.",official-specification,"Defines prompts, resources and tools as first-class server primitives with different control models.","Specification-level evidence only.","Use MCP semantics as technical input while preserving provider-neutral domain concepts.",https://modelcontextprotocol.io/specification/2025-06-18/server/index,full
AP003,agent-architecture,2025,official,"Model Context Protocol. Resources.",official-specification,"Resources can be directly selected, searched, filtered or automatically included by application heuristics/model selection.","Does not solve retrieval quality, privacy or educational context selection.","Support versioned knowledge collections and explicit context policies.",https://modelcontextprotocol.io/specification/2025-11-25/server/resources,full
AP004,agent-architecture,2024,official,"Model Context Protocol. Prompts.",official-specification,"Prompt templates are discoverable, parameterized and user-controlled.","User-control model may require adaptation for ARA administrative profiles.","Represent domain/task templates as versioned objects rather than hard-coded monoliths.",https://modelcontextprotocol.io/specification/2024-11-05/server/prompts,full
AP005,prompting,2024,peer-reviewed-preprint,"Sahoo et al. A Systematic Survey of Prompt Engineering in Large Language Models: Techniques and Applications.",systematic-survey,"Prompting techniques are task-dependent and constitute a broad design space without changing model weights.","Rapidly evolving field; survey predates newer agent workflows.","Avoid one universal prompt; preserve profiles, tasks, examples and evaluation history.",https://arxiv.org/abs/2402.07927,abstract
AP006,prompting,2026,preprint,"Korn et al. Reporting LLM Prompting in Automated Software Engineering: A Guideline Based on Current Practices and Expectations.",empirical-guideline,"Analysis of nearly 300 papers and survey of 105 reviewers finds poor reporting of prompt design, version and justification, harming reproducibility.","Software-engineering context and preprint status.","Persist exact prompt/profile versions, rationale, models and threats to validity for ARA operations and studies.",https://arxiv.org/abs/2601.01954,abstract
AP007,reproducibility,2025,preprint,"Siddiq et al. Large Language Models for Software Engineering: A Reproducibility Crisis.",systematic-empirical-study,"Study of 640 papers reports persistent gaps in data, environment, model and versioning documentation.","Software-engineering research; preprint.","Treat prompt, knowledge, model, tools, environment and dataset as one reproducibility snapshot.",https://arxiv.org/abs/2512.00651,abstract
AP008,evaluation,2025,official,"OpenAI. How evals drive the next chapter of AI for businesses.",official-guidance,"Frames evaluation as specify, measure and improve using real-world cases.","Provider guidance, not peer-reviewed educational evidence.","Create task/domain eval suites and regression corpora before activating profile revisions.",https://openai.com/pt-BR/index/evals-drive-next-chapter-of-ai/,full
AP009,evaluation,2026,official,"OpenAI. A shared playbook for trustworthy third-party evaluations.",official-guidance,"Agent performance depends on model, tools, workflow and environment, not model identity alone.","Focused on frontier-model evaluation.","Evaluate complete ARA agent configurations and workflows, not only prompts or models.",https://openai.com/index/trustworthy-third-party-evaluations-foundations/,full
AP010,rag-domain,2025,peer-reviewed,"Li et al. Retrieval-augmented generation for educational application: A systematic survey.",systematic-review,"RAG can improve factual grounding and dynamic knowledge updates in education while introducing retrieval and knowledge-base quality concerns.","Heterogeneous applications; effectiveness cannot be inferred from architecture.","Use versioned knowledge collections, retrieval evaluation and provenance by domain.",https://scholars.hkmu.edu.hk/en/publications/retrieval-augmented-generation-for-educational-application-a-syst-2/,abstract
AP011,rag-domain,2024,preprint,"Sharma et al. Retrieval Augmented Generation for Domain-specific Question Answering.",empirical-framework,"Domain-specific retriever adaptation improves final generation and reduces hallucination in a product QA context.","Non-educational domain and in-house system.","Investigate domain retrieval profiles rather than separate monolithic GPTs.",https://arxiv.org/abs/2404.14760,abstract
AP012,rag-domain,2022,peer-reviewed-preprint,"Siriwardhana et al. Improving the Domain Adaptation of Retrieval Augmented Generation Models.",empirical-study,"Joint adaptation of retriever and generator improves domain-specific QA on multiple domains.","Requires training and may not transfer directly to API-based agents.","Separate domain knowledge/retrieval configuration from prompt templates and provider choice.",https://arxiv.org/abs/2210.02627,abstract
AP013,rag-education,2026,peer-reviewed,"Nguyen. Towards Personalized AI Education: Context-Aware Retrieval-Augmented Generation With Grade-Level LLM Adaptation.",empirical-study,"Context-aware retrieval and proficiency adaptation address heterogeneous learner needs.","Single application/domain; personalization claims require bounded transfer.","Profiles may combine domain, audience and pedagogical context without changing kernel semantics.",https://doi.org/10.1002/cae.70153,abstract
AP014,rag-evaluation,2025,peer-reviewed,"Hua et al. Proactive framework for evaluating retrieval-augmented generation-based learning assistants in engineering education.",evaluation-framework,"Historical learner questions and coverage measures can expose retrieval and response failure patterns.","Engineering education case and framework-specific metrics.","Build query corpora and evaluate retrieval separately from generated answer quality.",https://doi.org/10.1111/mice.70063,abstract
AP015,llm-education,2026,peer-reviewed,"Large language models in education: a systematic review of empirical applications, benefits, and challenges.",systematic-review,"Review of 88 empirical studies identifies benefits alongside over-reliance, fairness, privacy and technical reliability concerns.","Fast-moving evidence and heterogeneous designs.","Keep human authority, protocol-specific evaluation and explicit limitations.",https://doi.org/10.1016/j.caeai.2025.100529,abstract
AP016,genai-learning-analytics,2025,peer-reviewed,"Misiejuk et al. Mapping the Landscape of Generative Artificial Intelligence in Learning Analytics.",systematic-review,"Review of 41 papers finds GenAI mostly used for discourse coding, scoring and classification, with an emerging role across the LA cycle.","Young evidence base and limited mature deployments.","Separate analytic task, authority, validation and pedagogical interpretation.",https://eric.ed.gov/?id=EJ1465815,abstract
AP017,human-centred,2024,peer-reviewed,"Alfredo et al. Human-centred learning analytics and AI in education.",systematic-review,"Review of 108 papers finds limited end-user involvement and recommends balancing human control, automation, safety, reliability and trustworthiness.","Human-centred practice is inconsistently operationalized.","Make user contribution, contestation, approval and visibility first-class requirements.",https://doi.org/10.1016/j.caeai.2024.100215,full
AP018,participatory-design,2021,peer-reviewed,"Tuhkala. A systematic literature review of participatory design studies involving teachers.",systematic-review,"Participatory design can involve teachers in educational technology design but practices and outcomes vary.","Predates current GenAI systems and focuses on teachers.","Treat contributors as stakeholders with explicit roles; do not equate participation with majority voting.",https://doi.org/10.1111/ejed.12471,abstract
AP019,dashboards,2024,peer-reviewed,"Paulsen and Lindsay. Learning analytics dashboards are increasingly becoming about learning and not just analytics.",systematic-review,"Student-facing dashboards increasingly connect analytics to learning design rather than presenting data alone.","Dashboard-specific; does not validate every analytic intervention.","Organize ARA analytics by questions, decisions, explanations and limits rather than generic charts.",https://doi.org/10.1007/s10639-023-12401-4,full
AP020,qualitative-analysis,2025,peer-reviewed,"Goyanes, Lopezosa and Jordá. Thematic analysis of interview data with ChatGPT: designing and testing a reliable research protocol.",empirical-protocol,"Structured protocols can make LLM-assisted thematic analysis more transparent and testable.","One methodological setup; human interpretation remains necessary.","Version prompts, corpus, coding procedure, model and review rubric for qualitative analytics.",https://doi.org/10.1007/s11135-025-02199-3,full
AP021,qualitative-analysis,2025,peer-reviewed,"Evaluation of large language models within GenAI in qualitative research.",empirical-comparison,"GPT-4o supported rapid themes and checks but did not match experienced human thematic analysis due to hallucination, context and reflexivity limitations.","One health-research dataset and model configuration.","Use LLM as analyst assistant/check, preserve quotes, provenance, reflexivity and human decision.",https://doi.org/10.1038/s41598-025-18969-w,full
AP022,qualitative-analysis,2024,conference,"Parfenova, Denzler and Pfeffer. Automating Qualitative Data Analysis with Large Language Models.",research-proposal,"Maps limits of automated thematic coding and highlights researcher bias and methodological gaps.","Proposal rather than completed validation.","Maintain a focused evidence programme before claiming automated qualitative validity.",https://doi.org/10.18653/v1/2024.acl-srw.17,full
AP023,qualitative-analysis,2025,preprint,"Martinez Montes et al. Large Language Models in Thematic Analysis: Prompt Engineering, Evaluation, and Guidelines.",empirical-study,"Expert evaluation found LLM codes useful but noted fragmentation, missed latent interpretation and unclear theme boundaries.","Preprint and software-engineering dataset.","Expose multiple runs, code/theme boundaries, disagreements and human review.",https://arxiv.org/abs/2510.18456,abstract
AP024,qualitative-analysis,2024,preprint,"Leça et al. Applications and Implications of Large Language Models in Qualitative Analysis.",systematic-mapping,"Mapping of 21 studies reports efficiency benefits but variability, nuance, privacy and transparency limitations.","Preprint and focus on empirical software engineering.","Use structured guidelines, data boundaries and explicit analyst responsibility.",https://arxiv.org/abs/2412.06564,abstract
AP025,quantitative-reasoning,2024,peer-reviewed,"Liu et al. Are LLMs Capable of Data-based Statistical and Causal Reasoning?",benchmark-study,"QRData benchmark shows the strongest evaluated model at 58% and substantial difficulty combining data with statistical/causal knowledge.","Benchmark tasks do not cover full research workflows.","Never treat natural-language analysis as authoritative; execute and verify code, assumptions and calculations.",https://doi.org/10.18653/v1/2024.findings-acl.548,full
AP026,statistical-code,2025,preprint,"Song et al. StatLLM: A Dataset for Evaluating Large Language Models in Statistical Analysis.",benchmark-dataset,"Introduces human-scored statistical tasks and generated SAS code to evaluate correctness, executability and output accuracy.","Preprint; SAS-focused benchmark.","Create ARA research-analysis fixtures with verified code and outputs across planned methods.",https://arxiv.org/abs/2502.17657,abstract
AP027,reliability,2025,preprint,"Shyr et al. A statistical framework for evaluating repeatability and reproducibility of large language models.",methodological-framework,"Output consistency varies by dataset, model and prompting strategy; semantic repeatability and reproducibility require measurement.","Medical domain and preprint status.","Repeat material analyses and record run/model/configuration variability before relying on conclusions.",https://doi.org/10.1101/2025.08.06.25333170,abstract
AP028,mixed-methods,2026,preprint,"Gonzalez et al. LLM-assisted sentiment analysis for integrated computational and qualitative mixed methods education research.",educational-case-study,"Combines statistical comparison and qualitative examination of student reflections to explore subgroup differences.","Preprint, one longitudinal study and sentiment-specific workflow.","Support explicit mixed-method integration while preserving units, variables, evidence and human interpretation.",https://arxiv.org/abs/2605.27403,abstract
AP029,scientific-reasoning,2024,peer-reviewed,"Wang et al. SciBench: Evaluating College-Level Scientific Problem-Solving Abilities of Large Language Models.",benchmark-study,"Current LLMs perform poorly on complex college-level scientific problems despite prompting variants.","Problem-solving benchmark rather than research analysis.","Keep domain-specific evals and prohibit claims of general scientific authority.",https://proceedings.mlr.press/v235/wang24z.html,full
AP030,governance,2024,official,"Autio et al. NIST AI 600-1: Generative Artificial Intelligence Profile.",institutional-guidance,"Provides lifecycle risk-management actions for trustworthy GenAI design, use and evaluation.","Cross-sector guidance; requires contextualization for education and Brazilian/European settings.","Map risks, actors, measurements, provenance and incident handling to agent profiles and analytics.",https://doi.org/10.6028/NIST.AI.600-1,full
AP031,governance,2023,official,"UNESCO. Guidance for generative AI in education and research.",institutional-guidance,"Recommends human-centred, privacy-protecting and pedagogically validated uses of GenAI in education and research.","High-level guidance, not an implementation specification.","Preserve human agency, institutional review, data protection and AI literacy in all analytic modes.",https://www.unesco.org/en/articles/guidance-generative-ai-education-and-research,full
AP032,privacy,2024,peer-reviewed,"Amo-Filva et al. Exploring the landscape of learning analytics privacy in fog and edge computing.",systematic-review,"Edge/fog architectures can reduce centralization and support privacy, but require security and policy design.","Architecture-specific and not focused on LLM agents.","Keep local/segregated analytics and provider data boundaries as deployment concerns.",https://doi.org/10.1016/j.chb.2024.108303,abstract
AP033,ethics,2024,peer-reviewed,"Decoding AI ethics from users' lens in education: A systematic review.",systematic-review,"Review identifies gaps between formal AIED ethics frameworks and concerns experienced by users.","Only 17 empirical articles through mid-2023.","Collect and preserve user concerns as governance evidence rather than treating policy as sufficient.",https://doi.org/10.1016/j.heliyon.2024.e39357,full
AP034,interoperability,2026,official,"1EdTech. Caliper Analytics specification and metric profiles.",official-specification,"Provides event vocabularies for educational activities across assessment, annotation, feedback, reading and resource management.","Event interoperability does not define ARA measures, constructs or consent.","Use standards only as mappings after purpose, protocol and semantics are defined.",https://www.1edtech.org/standards/caliper,full
