id,family,reference_behavior,evidence_basis,aralearn_relationship,provisional_classification,parameter_or_decision_handoff,critical_note
REF01,educational_structure,"project→course→module→lesson→microsequence→card","successor vision; AraLearn contract audit",explicit-value,"reference-profile|structural-candidate","review hierarchy and invariants in #6","Empirical structure; not proof of superiority"
REF02,card_function,"ordered basic study and interaction unit",AraLearn audit,explicit-value,"reference-profile|structural-candidate","card function and scope","Do not equate card with flashcard"
REF03,microsequence,"local objective and ordered progression unit",successor vision,explicit-value,"reference-profile|structural-candidate","microsequence size; dependency; completion","Term and efficacy remain researchable"
REF04,theory_practice_separation,"theory and practice cards are structurally distinct",successor vision,explicit-value,"reference-profile|structural-candidate","separation policy; mixed-card alternatives","Preserve as starting point; compare only with explicit rationale"
REF05,mobile_study,"smartphone-first; one-handed; scrolling allowed; interruption recovery",successor vision,explicit-value,"reference-profile|structural-candidate","session length; card length; navigation; recovery","Mobile context is more than viewport size"
REF06,offline_study,"published course and state available for offline progression",successor vision; AraLearn architecture,explicit-value,"reference-profile|structural-candidate","offline capability grade; sync policy","Connected extensions require explicit absence semantics"
REF07,practice_consequence,"retry; clear; reveal; advance without accumulated punishment",successor vision; central evidence synthesis,explicit-value,"reference-profile|parameter-candidate","attempts; reveal; penalty; grade; required completion","Low consequence is one profile rather than universal default"
REF08,practice_modes,"none; gap; single/multiple choice; narrow flow practice",AraLearn resource audit,explicit-value,"reference-profile|core-capability-candidate","practice catalogue and response forms","Response richness is narrower than representation richness"
REF09,gap_validation,"literal or enumerated accepted variants",AraLearn resource audit,explicit-value,"reference-profile|parameter-candidate","matching policy; normalization; hints","No semantic equivalence in baseline"
REF10,choice_validation,"exact selected set for single or multiple choice",AraLearn resource audit,explicit-value,"reference-profile|parameter-candidate","selection mode; partial credit; distractor feedback","Recognition and exposure effects need separate treatment"
REF11,feedback,"after explanation; local option feedback; result after confirmation",AraLearn resource audit; feedback synthesis,explicit-value,"reference-profile|parameter-candidate","content; timing; persistence; retry link","Current contract does not separate every feedback dimension"
REF12,telemetry,"cursor; structural completion; review mark; situated observation only",successor vision,explicit-value,"reference-profile|parameter-candidate","event collection; retention; visibility; interpretation","Do not infer attention or mastery from functional state"
REF13,observations,"one situated observation per person and card with treatment states",successor vision,explicit-value,"reference-profile|core-capability-candidate","scope; category; history; workflow; visibility","Extendable to resources and larger structures"
REF14,structured_resources,"18 typed textual JSON resources with closed schemas",AraLearn resource audit,explicit-value,"reference-profile|structural-candidate","preserve/revise/extend decisions in #6","Implemented set is evidence, not universal ontology"
REF15,semantic_geometry_boundary,"AI provides semantic data; renderer computes geometry and style",AraLearn resource audit,explicit-value,"reference-profile|structural-candidate","canonical versus derived state","Advanced domains may require new grammars without free geometry"
REF16,composite,"2–5 inseparable blocks; no nested composite",AraLearn resource audit,explicit-value,"reference-profile|parameter-candidate","composition limits; coordination support","Composition can increase cognitive and MCP complexity"
REF17,mcp_authorship,"course-scale planning, reading, recombination, mutation and publication through bounded tools",successor vision,explicit-value,"reference-profile|core-capability-candidate","operation granularity; context retrieval; approval","MCP authorability is a product quality criterion"
REF18,contextual_repair,"small explicit target; read-only context; preview; fingerprint; confirmation",successor vision,explicit-value,"reference-profile|core-capability-candidate","repair scope; confirmation mode; provenance","Prefer localized repair over broad regeneration"
REF19,quality_cycle,"planning→decision→construction→decision→independent audit→repair→reaudit",successor vision,explicit-value,"reference-profile|parameter-candidate","review authority; repair approval; evidence retention","Methodological terminology remains open"
REF20,human_authority,"human confirms application and publication",successor vision,explicit-value,"reference-profile|structural-candidate","authority; delegation; institutional approval","Automation levels may vary but responsibility remains explicit"
REF21,publication,"private authoring and explicit immutable publication/catalogue paths",successor vision; AraLearn architecture,explicit-value,"reference-profile|core-capability-candidate","visibility; approval; retention; rollback; licensing","Publication is not academic validation"
REF22,source_provenance,"limited current support; future anchoring, contradiction and access required",successor vision,implementation-fixed,"parameter-candidate|core-capability-candidate","source mode; citation granularity; confidence semantics","Do not implement generic accuracy percentage without a defined metric"
REF23,localization,"BCP 47; interface/course/agent languages distinguished in vision",AraLearn audit; successor vision,explicit-value,"reference-profile|parameter-candidate","locale; variant; terminology; direction","pt-BR and pt-PT must remain distinct"
REF24,roles_capabilities,"self-directed user can accumulate study, author, review and admin capabilities",successor vision,implicit-value,"parameter-candidate|core-capability-candidate","capability sets; permissions; institutional profiles","Avoid rigid identity roles in the domain"
REF25,resource_limits,"mobile-oriented semantic and size limits in registry",AraLearn resource inventory,explicit-value,"reference-profile|parameter-candidate","limits by resource; device; accessibility","Limits require evidence and performance validation"
REF26,missing_structured_responses,"construction, ordering, plotting, execution and open argument mostly absent",AraLearn audit,absent,"core-capability-candidate|extension-candidate","classify by reuse, determinism and domain need","Absence is not automatic implementation requirement"
REF27,analytics_research,"minimal telemetry; no protocol objects in baseline",successor vision,absent,"core-capability-candidate|parameter-candidate","protocol; condition; consent; event vocabulary; export","Must separate event, measure, construct and interpretation"
REF28,deployment_profiles,"personal predecessor; managed and self-hosted profiles planned",successor vision,absent,"structural-candidate","profile capabilities and conformance","Profiles share product semantics but may differ in services"
