rule_id,rule,authority,gate,failure_behavior
purpose_binding,Every data element maps to current explicit purpose and protocol question,protocol owner + privacy authority,before authorization,block collection/use
event_minimization,Only listed events and properties are authorized,protocol owner,condition snapshot,reject extra event
consent,Consent state and version are recorded when consent is legal basis or ethical requirement,participant rights authority,before collection/use,no collection or isolate pending lawful basis
withdrawal,Prospective collection stops; deletion/retention follows declared policy and obligations,participant rights authority,on request,quarantine and process
identity_mode,"anonymous, pseudonymous or identified is declared by data class",protocol + institution,before enrollment,block unresolved identity mapping
retention,Each data class has duration or event-based rule,data controller/institution,protocol approval,no indefinite unspecified retention
access,"Role, purpose, scope and audit requirement are explicit",institution/workspace,before disclosure,deny by default
export,"Export purpose, fields, identifiers, format and recipient are declared",data authority,before export,generate redacted/aggregate package or deny
secondary_use,Requires compatible purpose and explicit approval/consent where applicable,data authority/ethics,before reuse,deny
pseudonymization,Key separation and re-identification authority are explicit,data controller,before storage,do not call anonymized
sensitive_data,"Accessibility, accommodation, identity and qualitative data receive restricted access",rights/privacy authority,always,minimize and segregate
operational_separation,Operational logs are not learning analytics by default,system/privacy authority,collection and query,separate stores/views/purposes
participant_visibility,"Participant-facing explanation covers data, purpose, access, retention and rights",protocol owner,before participation,block recruitment/collection
incident_response,"Research-data incidents have notification, containment and audit process",institution,before deployment,suspend affected flow
cross_deployment_equivalence,"Mappings include semantic version, lossiness and conformance evidence",protocol/architecture,before pooled analysis,do not merge incomparable data
