issue,release,title,dependencies,outcome
59,R0,Enable protected main and verify governance gate,PR58,"Repository protection and required governance check active"
60,R0,Bootstrap strict TypeScript monorepo and installable PWA shell,59,"Reproducible offline-capable shell and toolchain"
61,R0,Implement domain configuration and portable-package core,60,"Framework-independent executable domain/package baseline"
62,R1,Implement offline library and atomic course materialization,"60|61","Offline course acquisition, verification and local availability"
63,R1,Implement baseline resources practices and study card cycle,"61|62","Offline deterministic theory/practice card cycle"
64,R1,Complete contextual study state review resume and release evidence,"62|63","Usable personal offline-study R1 release"
65,R2,Implement private authoring workspace placements and version diffs,64,"Visible manual private course authorship and composition"
66,R2,Implement annotations audit repair approval and private publication,65,"Complete private editorial lifecycle"
67,R2,Implement bounded MCP authoring audit and repair gateway,"65|66","GPT/MCP plus ARA two-channel R2 release"
68,R3,Implement connected PostgreSQL artifact-storage and OIDC adapters,67,"Provider-independent connected service baseline"
69,R3,Implement sync outbox conflict resolution and connected study,"64|68","Reliable connected/offline synchronization without semantic auto-merge"
70,R3,Implement collaboration connected publication and operational controls,"68|69","Collaborative managed/self-hosted R3 release"
71,R4,Implement research protocols instruments and authorized evidence,70,"Governed research profile and portable evidence"
72,R4,Implement formal teaching and confidential institutional profiles,"70|71","Formal/institutional R4 release"
73,R5,Implement public/OER catalogue and controlled capability registry,"70|72","Public/open publication and trusted extensions"
74,R5,Complete AraLearn migration cross-profile conformance and ARA v1 evidence,"59-73","Audited migration, all profile conformance and ARA v1 closure"
