screen_status,screen_reason,records
exclude,X01-clinical-diagnostic-marker-outside-scope,1
exclude,X01-clinical-or-communication-intervention-outside-scope,1
exclude,X01-clinical-or-rehabilitation-not-educational,12
exclude,X02-basic-neuroscience-or-motor-memory-not-educational,7
exclude,X02-nonhuman-or-biological-mechanism,1
exclude,X03-assessment-unrelated-to-learning,4
exclude,X04-adjacent-ai-domain-without-target-mechanism,1
exclude,X04-generic-resource-or-book,1
exclude,X04-generic-resource-or-proceedings-with-incidental-relevance,9
exclude,X04-incidental-term-or-topic-outside-review,180
exclude,X04-learning-strategy-preferences-only,1
exclude,X04-topic-outside-review,1
exclude,X05-information-retrieval-or-search-methodology,10
exclude,X05-noneducational-use-of-memory-or-repetition-term,4
exclude,X06-publication-without-substantive-evidence,2
include,I01-direct-applied-or-review,554
include,I02-direct-applied-or-evidence-study,2
include,I02-direct-human-learning-mechanism,146
include,I04-core-mechanism-central-in-abstract,24
include,I04-review-with-direct-relevance,6
maybe,M01-insufficient-abstract,2
maybe,M01-insufficient-abstract-direct-title,15
maybe,M02-related-educational-intervention,119
maybe,M02-relevant-mechanism-mentioned-early,255
maybe,M03-clinical-or-rehabilitation-adjacent,25
maybe,M04-basic-cognitive-mechanism,2
maybe,M04-basic-cognitive-or-neuroscience-mechanism,23
maybe,M04-direct-but-context-unclear,14
maybe,M05-retrieval-induced-forgetting-adjacent,34
maybe,M07-background-review-with-relevant-mechanism,13
maybe,M07-retention-background,1
maybe,M08-historical-related-system,1
