id,area,title,classification,decision_needed
S01,grafo-acesso-autoria,Princípio de autoria sem medo,propor,"Preservar trabalho rápido e reversível sem confirmações recorrentes"
S02,grafo-acesso-autoria,Diário local no IndexedDB,propor,"Retenção autosave undo redo e fila offline"
S03,grafo-acesso-autoria,Política de checkpoints automáticos,investigar,"Eventos inatividade compactação e ruído histórico"
S04,grafo-acesso-autoria,Revisões duráveis sincronizadas,propor,"Gatilhos e atomicidade da revisão"
S05,grafo-acesso-autoria,Grafo acíclico de revisões,propor,"Pais derivações restaurações e combinações"
S06,grafo-acesso-autoria,Restauração não destrutiva,propor,"Nova revisão sem apagar caminhos posteriores"
S07,grafo-acesso-autoria,Grafo visível e navegável,propor,"Nós clicáveis conteúdo diff autoria operação e pesquisa"
S08,grafo-acesso-autoria,Camadas e filtros do grafo,propor,"Versões operações observações acesso e pesquisa"
S09,grafo-acesso-autoria,Manifesto de microssequência e objetos menores,investigar,"Granularidade entre microssequência card e resource"
S10,grafo-acesso-autoria,Análise vertical,propor,"Pacote longitudinal de contexto e proveniência"
S11,grafo-acesso-autoria,Análise horizontal,propor,"Corpus transversal de observações branches e participantes"
S12,grafo-acesso-autoria,Ciclo vertical horizontal,propor,"Padrão hipótese reparo e acompanhamento"
S13,grafo-acesso-autoria,Recuperação de contexto do histórico,investigar,"Seleção orçamento e justificativa do contexto enviado"
S14,grafo-acesso-autoria,Visibilidade binária por nó,propor,"Público e privado em níveis versionáveis"
S15,grafo-acesso-autoria,Lista de acesso de nó privado,propor,"Usuários grupos busca remoção e autoria"
S16,grafo-acesso-autoria,Atenuação monotônica por derivação,propor,"Descendente restringe e nunca amplia audiência"
S17,grafo-acesso-autoria,Audiência efetiva por interseção,investigar,"Cache projeção invalidação e custo de travessia"
S18,grafo-acesso-autoria,Revogação ancestral em cascata,propor,"Bloqueio de descendentes inclusive autor derivado"
S19,grafo-acesso-autoria,Nós bloqueados e reativação,investigar,"Metadata visível motivo retenção e reativação"
S20,grafo-acesso-autoria,Derivações colaborativas,propor,"Múltiplos descendentes sob teto herdado"
S21,grafo-acesso-autoria,Acesso e pesquisa reproduzível,investigar,"Snapshot de audiência grupos e versões"
S22,grafo-acesso-autoria,Lifecycle sem publicação final,propor,"Visibilidade atual fixada disponibilidade e trajetória"
S23,grafo-acesso-autoria,Escopo de artefatos armazenados,propor,"Excluir fontes externas por padrão e preservar proveniência interna"
S24,grafo-acesso-autoria,Backend compatível com grafo e Storage,investigar,"Artifact storage metadata transacional acesso sync e restore"
S25,grafo-acesso-autoria,Benchmark da stack de grafo,investigar,"Mermaid Cytoscape React Flow ELK Dagre UX e escala"
S26,grafo-acesso-autoria,Histórico operacional versus evidência de pesquisa,propor,"Protocolo finalidade e snapshot antes de uso acadêmico"
