id,front,status,source,finding,ara_relevance,limitation,url
DA001,hierarchical-visibility,official,GitLab project and group visibility,"Projects and subgroups cannot be more visible than their parent group.","Direct precedent for a visibility ceiling.","GitLab prevents making a parent private while public descendants exist; ARA proposes cascading effective restriction.",https://docs.gitlab.com/user/public_access/
DA002,guardrails,official,AWS Organizations service control policies,"Every parent must allow a permission; effective permissions are intersections of guardrails and grants.","Precedent for maximum inherited authority.","Applies to cloud accounts rather than derived educational artifacts.",https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_scps.html
DA003,guardrails,official,AWS IAM policy evaluation logic,"Effective access can be the intersection of identity policies and organizational control policies; explicit deny overrides.","Supports materialized effective-audience reasoning.","ARA has a much smaller public/private surface.",https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html
DA004,attenuation,standard,RFC 7521 assertion framework,"Requested and issued scope must be equal to or less than the originally granted scope.","Direct precedent for non-amplifying delegation.","Token scopes are temporary credentials, not provenance nodes.",https://www.rfc-editor.org/rfc/rfc7521.html
DA005,attenuation,standard,RFC 6749 OAuth 2.0,"Refresh requests cannot include scope not originally granted.","Widely adopted scope attenuation rule.","Does not define ancestor graphs or content derivation.",https://www.rfc-editor.org/rfc/rfc6749.html
DA006,attenuation,peer-reviewed,Macaroons,"Delegated credentials gain caveats that attenuate where, by whom and for what they can be used.","Strong conceptual match for descendants adding restrictions only.","Cryptographic bearer credentials are not required for the ARA model.",https://research.google/pubs/macaroons-cookies-with-contextual-caveats-for-decentralized-authorization-in-the-cloud/
DA007,information-flow,peer-reviewed,Protecting privacy using the Decentralized Label Model,"Owners attach policies to information and decentralized information-flow control preserves them through processing.","Precedent for owner restrictions following information.","ARA needs a simpler application-level model.",https://doi.org/10.1145/363516.363526
DA008,derived-data,peer-reviewed,A Policy Framework for Data Fusion and Derived Data Control,"Studies restrictions on access and use of information derived from multiple sources.","Directly relevant to multiple parents and policy composition.","Requires adaptation to versioned learning artifacts.",https://doi.org/10.1145/2875491.2875492
DA009,relationship-authorization,peer-reviewed,Zanzibar,"Uniform relationship and ACL data model at trillions of ACLs and millions of checks per second.","Shows relational authorization can scale.","ARA should not reproduce Zanzibar complexity prematurely.",https://research.google/pubs/zanzibar-googles-consistent-global-authorization-system/
DA010,relationship-authorization,official,OpenFGA modeling guides,"Documents public access, parent-child objects and multiple restrictions.","Practical modeling reference for users, groups and ancestors.","Implementation choice remains open.",https://openfga.dev/docs/modeling
DA011,provenance,standard,W3C PROV-O,"Represents derivation chains, generation activities and responsible agents.","Provides vocabulary for version provenance.","Needs ARA-specific specialization and UX terms.",https://www.w3.org/TR/prov-o/
DA012,version-dag,official,Git core data model,"Commits, trees and blobs are immutable objects; commits reference parent IDs and snapshots.","Primary precedent for immutable content-addressed revision DAGs.","ARA requires pedagogical semantics and access edges beyond Git.",https://git-scm.com/docs/gitdatamodel.html
DA013,version-dag,official,Git glossary,"Defines the commit graph as a directed acyclic graph formed by linked commits.","Supports visible version graph terminology.","Git vocabulary need not be exposed publicly.",https://git-scm.com/docs/gitglossary.html
DA014,object-storage-versioning,official,lakeFS concepts and model,"Manages pointers and metadata over underlying object stores with Git-like commits, branches and history.","Direct precedent for version semantics over object storage.","Data-lake system; not a BaaS or learning platform.",https://docs.lakefs.io/v1.81/understand/model/
DA015,object-storage-versioning,official,lakeFS FAQ,"Zero-copy branch creation is metadata-only; new versions appear only for changed objects.","Supports economical derivations without full copying.","ARA still needs fine-grained access and offline study.",https://docs.lakefs.io/understand/faq/
DA016,local-first,research-essay,Local-first software,"Advocates local work, offline capability, collaboration, ownership and long-term preservation.","Supports IndexedDB-first editing and later sync.","Does not prescribe checkpoint or access semantics.",https://www.inkandswitch.com/essay/local-first/
DA017,history-pattern,official,Microsoft Event Sourcing pattern,"Append-only events improve auditability but impose major complexity; selective adoption is recommended.","Supports operation log without requiring full event sourcing.","ARA should keep revisions as editorial source and events as provenance.",https://learn.microsoft.com/en-us/azure/architecture/patterns/event-sourcing
DA018,read-model,official,Microsoft Materialized View pattern,"Precomputed views support efficient queries over data that is expensive to derive repeatedly.","Supports effective-access and history projections for front-end.","Views add storage and consistency trade-offs.",https://learn.microsoft.com/en-us/azure/architecture/patterns/materialized-view
DA019,graph-ui,official,Mermaid flowchart interaction,"Nodes may call callbacks or open links.","Suitable for clickable small graphs and prototypes.","Rich interaction requires relaxed security setting and larger graphs need evaluation.",https://mermaid.js.org/syntax/flowchart.html
DA020,graph-ui,official,Cytoscape.js,"Full JavaScript graph visualization and analysis library with layouts, traversal, compound graphs and viewport operations.","Strong candidate for investigative graph browsing.","Requires custom UX and performance prototype.",https://js.cytoscape.org/
DA021,graph-ui,official,React Flow,"Interactive node-edge component with custom nodes, selection and viewport controls.","Strong candidate when nodes contain authoring controls.","Graph analysis and layout require complements.",https://reactflow.dev/
DA022,graph-layout,official,ELK.js,"Provides layered and other graph layout algorithms in JavaScript and Web Workers.","Useful for directional DAG layout with another renderer.","Not a renderer or complete UI.",https://github.com/kieler/elkjs
