id,action,actor,preconditions,result,forbidden_automatic_effect
AA01,create-draft-profile,"authorized administrator or curator","Purpose and owner defined","New draft AgentProfileVersion","No activation"
AA02,derive-profile-version,"authorized curator","Existing version and reason","New related draft version","No overwrite of active version"
AA03,attach-domain-profile,"authorized curator","Compatible domain profile version","Draft composition update","No hidden inheritance"
AA04,attach-knowledge-snapshot,"authorized knowledge curator","Access provenance and licence verified","Draft composition update","No data sent to provider yet"
AA05,attach-prompt-template,"authorized prompt curator","Task and arguments defined","Draft composition update","No production invocation"
AA06,select-tools-resources,"authorized technical curator","Capability and role policies defined","Draft allowed-capability set","No permission expansion beyond role"
AA07,run-eval-suite,"authorized evaluator","Frozen profile model dataset and rubric","Versioned eval run and traces","No activation based on one score"
AA08,compare-profile-versions,"authorized reviewer","Two compatible snapshots and cases","Diff and comparative evidence","No universal quality ranking"
AA09,recommend-activation,"authorized evaluator","Acceptance criteria and limitations recorded","Recommendation pending decision","No self-approval"
AA10,activate-profile-version,"owner or delegated administrator","Reviewed recommendation and rollback target","Version becomes active in declared scope","No retroactive change to past operations"
AA11,withdraw-profile-version,"owner or delegated administrator","Reason and replacement/limitations recorded","No new use in declared scope","No deletion of research records"
AA12,rollback-profile-version,"owner or delegated administrator","Prior compatible version and impact review","Previous version becomes active","No mutation of outputs already produced"
AA13,export-profile-package,"authorized actor","Visibility and licence checks passed","Portable package with manifest and evidence","No secrets or restricted knowledge leakage"
AA14,propose-resource-development,"teacher researcher or analyst","Repeated domain-task gap with evidence","Recommendation for owner/developers","No automatic package creation"
AA15,propose-prompt-or-knowledge-revision,"teacher researcher or analyst","Failure pattern classified and evidence linked","Draft recommendation","No automatic modification"
