budget_id,profile,metric,target,validation
Q01,personal-baseline,initial compressed app shell,<= 1.5 MiB excluding lazy optional capabilities,build artifact report
Q02,personal-baseline,cold interactive on Galaxy A07-class device,<= 5 s under declared network/device profile,physical-device benchmark
Q03,personal-baseline,card transition p95 after materialization,<= 100 ms,performance trace
Q04,personal-baseline,study working memory target,<= 180 MiB excluding browser overhead,physical-device sampling
Q05,personal-baseline,offline shell,all baseline routes/actions usable after install,offline journey test
Q06,course-package,baseline structured package warning,warning above 50 MiB and pre-download disclosure,package fixture
Q07,course-package,activation atomicity,previous valid version retained until verification completes,failure injection
Q08,sync,idempotent replay,duplicate request produces one applied operation,contract test
Q09,sync,conflict visibility,100% detected revision conflicts yield explicit state,conformance fixture
Q10,MCP,tool response bounds,summary/detail pagination and configured byte/entity limits,fixture/load test
Q11,managed-research,small study workload,100 participants × 10k authorized events,capacity rehearsal
Q12,managed-research,medium study workload,1000 participants × 50k authorized events,capacity model before claim
Q13,all,accessibility,WCAG 2.2 AA target for approved journeys,automated + manual audit
Q14,all,locale expansion,en/pt-BR/pt-PT critical flows without clipping or inaccessible truncation,visual/AT tests
Q15,self-hosted,backup restore,RPO/RTO declared per deployment and restore rehearsal passes,operational rehearsal
Q16,all,security,no critical/high unaccepted dependency or application findings at release gate,scans + threat review
Q17,all,portability,managed/self-hosted package conformance equivalent,conformance suite
Q18,all,availability failure,no silent fallback or data loss for capability/service failure,failure injection
