id,front,question,decision_owner,needed_evidence,blocks
OQ01,terminology,"Which public terms should replace prompt knowledge base profile and role without exposing technical jargon?","owner and UX research","Terminology tests with representative users","UX wording"
OQ02,composition,"Which fragments of instructions are inherited versus copied into AgentProfileVersion snapshots?","product and architecture","Example configurations and deterministic resolution tests","Agent configuration contract"
OQ03,domain,"When is a domain profile justified instead of course-specific guidance?","research and product","Cross-course failure patterns and eval comparisons","Domain profile acceptance"
OQ04,knowledge,"What constitutes a knowledge collection version when source content or derived indexes change?","architecture and research","Provenance and retrieval reproducibility cases","Knowledge snapshot model"
OQ05,retrieval,"How should integral indexed and summarized context be selected and budgeted?","architecture and agent evaluation","Representative authoring tasks and retrieval eval corpus","Context policy"
OQ06,mcp,"Which content belongs in MCP prompts resources tools or application-domain objects?","architecture","MCP conformance scenarios and provider-neutral comparison","Gateway design"
OQ07,evaluation,"Which eval cases and graders are sufficient to activate a profile revision?","agent evaluation and governance","AraLearn failure corpus blind rubrics repeated runs","Activation policy"
OQ08,participation,"How should argument quality be represented without disadvantaging less articulate contributors?","research ethics and UX","Participatory design study and reviewer protocol","Observation synthesis"
OQ09,participation,"How are contradictory observations preserved and displayed?","product and UX","Conflict scenarios and comprehension testing","Curatorial workflow"
OQ10,analytics,"Which operational data may be reused for product improvement versus research?","protocol owner and privacy governance","Purpose consent retention and legal review","Data governance"
OQ11,quantitative,"Which statistical methods enter the baseline research workbench?","methodological review","Priority experimental designs and verified fixtures","Analytics scope"
OQ12,qualitative,"Which qualitative methods can be responsibly assisted by LLMs in the baseline?","methodological review","Method-specific protocols and expert comparison","Qualitative analytics scope"
OQ13,mixed-methods,"How will integration between quantitative and qualitative strands be represented?","research framework","Representative joint displays and study designs","Mixed-methods model"
OQ14,reliability,"When do LLM analyses require repeated runs models or independent human coding?","methodological review","Stability studies by task and risk","Analysis quality gates"
OQ15,resources,"When should analytics recommend a new resource rather than a prompt or contract revision?","product owner and resource developers","Cross-course findings and domain-task gaps","Resource roadmap"
OQ16,roles,"Which subroles are product-visible and which remain internal contribution metadata?","owner and UX research","Journey and permission scenarios","Role model"
OQ17,implementation,"Can AraLearn-equivalent behavior be reproduced using composed profiles without quality loss?","migration research","Matched end-to-end authoring and audit trials","First implementation scope"
