source_id,reference,evidence_type,domain_or_scope,principal_finding_used,critical_limit,ARA_implication,source_status
LIT01,"Ainsworth, S. (2006). DeFT: A conceptual framework for learning with multiple representations. Learning and Instruction, 16(3), 183–198. DOI 10.1016/j.learninstruc.2006.03.001",conceptual framework,multiple external representations,"Benefits depend on design parameters, functions served and learner tasks; coordination is itself a cognitive demand.",Framework is not an effectiveness estimate and does not prescribe software architecture.,Representations must be selected by function and task; more resource types alone are not a quality criterion.,full framework/public author copy located
LIT02,"Rexigel et al. (2024). The More the Better? A Systematic Review and Meta-Analysis of the Benefits of More than Two External Representations in STEM Education. DOI 10.1007/s10648-024-09958-y",systematic review and meta-analysis,STEM multiple representations,"More than two representations can support performance under some conditions without necessarily increasing time, with effects moderated by support, redundancy and representational configuration.",The comparison does not validate any particular platform or imply that maximal representation count is optimal.,ARA needs coordination/scaffolding metadata and must test redundancy rather than treat variety as intrinsically beneficial.,open abstract and article page verified
LIT03,"Ma, W.; Adesope, O. O.; Nesbit, J. C.; Liu, Q. (2014). Intelligent Tutoring Systems and Learning Outcomes: A Meta-Analysis. DOI 10.1037/a0037123",meta-analysis,intelligent tutoring systems across domains,"ITS outperformed several non-ITS comparison conditions on average, while differences from individual human tutoring and small-group instruction were not significant in the reported synthesis.",ITS is a heterogeneous category and effect estimates depend on comparison conditions and outcome alignment.,ARA should not claim ITS status or effect merely from interactivity; learner modelling and instructional adaptation require explicit contracts and evaluation.,ERIC record and author manuscript located
LIT04,"Kulik, J. A.; Fletcher, J. D. (2016). Effectiveness of Intelligent Tutoring Systems: A Meta-Analytic Review. DOI 10.3102/0034654315581420",meta-analytic review,intelligent tutoring systems,"Median effects were positive, but evaluation results varied substantially with locally aligned versus standardized outcomes.",Outcome alignment can inflate apparent effectiveness and systems vary widely.,Research protocols must separate near-transfer measures from independent or standardized outcomes.,author manuscript/abstract located
LIT05,"Dermeval, D.; Paiva, R.; Bittencourt, I. I.; Vassileva, J.; Borges, D. (2018). Authoring Tools for Designing Intelligent Tutoring Systems: a Systematic Review of the Literature. DOI 10.1007/s40593-017-0157-9",systematic literature review,ITS authoring tools,"Authoring tools chiefly target domain and pedagogical models; non-programmer authoring benefits are reported but tools and technologies are diverse.",Only 33 studies were included and evidence on real-world authoring productivity and quality remains heterogeneous.,ARA must treat authoring models as first-class and test whether domain experts can author without programming.,open article and ERIC record verified
LIT06,"Chernikova, O. et al. (2020). Simulation-Based Learning in Higher Education: A Meta-Analysis. DOI 10.3102/0034654320933544",meta-analysis,simulation-based learning and complex skills,"Simulation can support complex-skill learning, with scaffolding type and technology among important design dimensions.",Simulation studies and tasks are heterogeneous; an interactive animation is not automatically a simulation.,A simulation capability needs model variables, learner decisions, scaffolding and outcome probes rather than a visual renderer alone.,open full text located
LIT07,"de Jong, T.; Linn, M. C.; Zacharia, Z. C. (2013). Physical and Virtual Laboratories in Science and Engineering Education. DOI 10.1126/science.1230579",research review,science and engineering laboratories,"Physical and virtual investigations have distinct and potentially complementary affordances.",Short selective review; does not justify replacing all physical practice with virtual environments.,ARA virtual-lab components must state which phenomena and practices they represent and what remains outside the environment.,abstract and institutional record verified
LIT08,"Çeken, B.; Taşkın, N. (2022). Multimedia learning principles in different learning environments: a systematic review. DOI 10.1186/s40561-022-00200-2",systematic review,multimedia learning principles,"Multimedia principles are context-sensitive and have been studied across different learning environments.",The multimedia label covers varied designs and does not imply that video is required.,ARA may coordinate verbal and graphical representations while remaining text/JSON-centred; video is not entailed by multimedia theory.,open full text verified
LIT09,"Alhadi, M.; Zhang, D.; Wang, T.; Maher, C. A. (2023). Digitalized Interactive Components in Computer-Based Assessment in Mathematics for K–12 Students. DOI 10.1080/07380569.2022.2116622",research synthesis,interactive computer-based mathematics assessment,"The small literature includes language assistance and response-construction supports rather than only conventional selected response.",Only ten studies were found and populations/constructs were unevenly represented.,Construction and accessibility supports should be investigated as assessment design features, not merely UI enhancements.,institutional abstract and bibliographic record verified
LIT10,"Tang, X.; Yin, Y.; Lin, Q.; Hadad, R.; Zhai, X. (2020). Assessing computational thinking: A systematic review of empirical studies. DOI 10.1016/j.compedu.2019.103798",systematic review,computational-thinking assessment,"Assessment types include programming/computing tasks, traditional assessments, portfolios and disposition surveys; validity evidence is uneven.",Computational thinking is contested and measures often cover different constructs.,ARA must not infer a single programming/CT construct from code execution events; tasks and evidence need construct definitions.,publisher abstract verified
LIT11,"Messer, M.; Brown, N. C. C.; Kölling, M.; Shi, M. (2023). Automated Grading and Feedback Tools for Programming Education: A Systematic Review. arXiv:2306.11722",systematic review preprint,programming assessment and feedback,"Unit tests and static analysis dominate; feedback is often limited to pass/fail, expected/actual output or reference-solution differences.",Preprint status and heterogeneous evaluation methods; broad tool corpus does not establish learning effects.,Execution is insufficient: ARA needs diagnostic feedback layers and should evaluate code quality dimensions separately from correctness.,public preprint located
LIT12,"Gao, R.; Merzdorf, H. E.; Anwar, S.; Hipwell, M. C.; Srinivasa, A. (2023). Automatic assessment of text-based responses in post-secondary education: A systematic review. arXiv:2308.16151",systematic review preprint,open-ended text assessment,"Automated text assessment spans many models, inputs and outcomes and may support rapid feedback at scale.",Accuracy, validity, transparency and domain transfer remain variable; model scoring is not deterministic equivalence.,Probabilistic assistance must be separated from authoritative grading and combined with rubrics, provenance and human review.,public preprint located
