resource,label,structure,exercise_modes,gap_targets,contextual_choice,semantic_limits,mobile_limits,decision,rationale,limitations
paragraph,Parágrafo,texto contínuo,none|gap,text,no,maxParagraphs=4; maxCharacters=1800,maxViewportHeights=2,preserve,"Núcleo textual necessário para definição, regra, contraste e síntese.","Não deve substituir estruturas tabulares, relacionais, hierárquicas ou notacionais."
choice,Escolha,alternativas comparáveis,choice,,native,minOptions=2; maxOptions=7,minTargetSizeCssPx=44; maxOptionsWithoutSectioning=7,preserve,Interação determinística para discriminação e decisão com distratores funcionais.,Predomina reconhecimento; exact-set scoring; alternativas incorretas expõem informação; depende da qualidade dos distratores.
composite,Composto,2–5 blocos inseparáveis; sem composite aninhado,none|gap|choice,targets of child blocks,one choice block when exercise=choice,minBlocks=2; maxBlocks=5,maxBlocks=5,preserve,Permite coordenação necessária entre representações sem introduzir geometria ou mídia arbitrária.,Pode gerar sobrecarga; precisa de validação estrita por kind; não serve apenas para ornamentação.
code,Código,"linguagem, linhas, indentação e texto do código",none|gap|choice,code,yes,maxLines=32; maxLineLength=120,horizontalScrollWhenRequired=true,preserve,"Preserva sintaxe, indentação e ordem textual necessárias a atividades de programação.","Não executa código, não testa saída e não oferece sandbox; validação de lacuna é literal/determinística."
table,Tabela,"colunas, linhas e metadados de alinhamento",none|gap|choice,rows cells,yes,maxColumns=7; maxRows=16,maxColumnsWithoutHorizontalScroll=3,preserve,Representa cruzamento linha–coluna e comparação sistemática.,Sem células mescladas ou hierarquia interna; tabelas largas dependem de rolagem.
flow,Fluxo,"sequência, decisão, ramos e laços estruturados",none|gap|choice,node text/condition; case condition; structured shape/text/edge-label practice,yes,maxNodes=24; maxDepth=6,preferredDirection=vertical; maxVisibleBranches=4,revise,Semântica de processo é indispensável e o contrato evita geometria persistida.,Possui dois modelos de prática (gaps e practice estruturado); layout e rótulos são complexos e exigem auditoria visual/acessível.
tree,Árvore,nós com parentId; uma raiz; variantes hierárquicas,none|gap|choice,nodes[].label,yes,maxNodes=32; maxDepth=7,defaultLayout=outline,preserve,"Preserva ancestralidade, níveis, decomposição e classificação.","Só modela hierarquia de pai único; não representa DAG, múltiplos pais ou ciclos."
graph,Grafo,"vértices e arestas com direção, rótulo e peso opcionais",none|gap|choice,vertex labels; edge labels; edge weights,yes,maxVertices=16; maxEdges=24,maxLegendEntries=8,revise,"Conectividade, caminho, direção e peso não podem ser reduzidos a texto ou árvore.",Geometria é calculada; cruzamentos e rótulos podem degradar legibilidade; não permite construir arestas como resposta.
relation_map,Mapa de relações,"dois conjuntos, itens, relações, pares e tabela auxiliar",none|gap|choice,item labels; relation labels; pairList; relationTable rows,yes,maxItemsPerSet=8; maxRelations=16,auxiliaryPairsAfterCrossingThreshold=8,preserve,"Distingue relações bipartidas, domínio, contradomínio, imagem e pares.",Limitado a dois conjuntos e relações declaradas; não substitui rede geral ou múltiplas relações n-árias.
matrix,Matriz,grade retangular ou sequência de matrizes,none|gap|choice,values; sequence[].values,yes,maxRows=4; maxColumns=5; maxSequenceItems=5,wrapSequence=true,preserve,"Preserva posição bidimensional, linhas, colunas, diagonais e transformações.",Não executa álgebra matricial nem aceita resposta estrutural de matriz fora de lacunas literais.
plane,Plano,"intervalos de eixos, pontos/vetores, soma, escala ou distância",none|gap|choice,result text only,yes,maxObjects=10,labelsMustNotOverlap=true,revise,Coordenadas e relações espaciais precisam de representação própria.,"Lacuna só em resultado textual; estudante não plota, move ou constrói objetos; modos principais são restritos."
formula,Fórmula,"AST fechada de folhas, linha, fração, raiz, índices, expoentes e cercas",none|gap|choice,expression leaf values; mirrored in accessibleText,yes,maxDepth=10; maxLeaves=64,wrapRows=true,preserve,Preserva estrutura matemática/química e oferece leitura acessível sem LaTeX livre.,Vocabulário AST é deliberadamente limitado; exige sincronização com accessibleText; não valida equivalência algébrica.
chart,Gráfico estatístico,bar|line|scatter|histogram|boxplot; eixos e séries,none|gap|choice,axis labels/units; series names,yes,maxSeries=6; maxPointsPerSeries=24,minPlotHeightCssPx=220; legendWraps=true,revise,"Tendência, dispersão e distribuição precisam de leitura visual própria.",Não permite lacuna em valores/pontos nem manipulação; apenas cinco tipos; boxplot é derivado de observações.
