measure_id,label,formula,unit,unit_of_analysis,window,missing_data_policy,permitted_use,prohibited_use
structural_completion_rate,Structural completion rate,completed required placements / eligible required placements,proportion,course instance or condition,defined observation window,exclude unavailable/non-assigned placements; report denominator,describe structural completion/fidelity,"learning, mastery or competence"
response_accuracy_first,First-response accuracy,correct first valid responses / eligible scored first responses,proportion,practice occurrence or participant,declared course/condition window,missing if no eligible response; no imputation by default,descriptive performance under specified item/policy,"ability, mastery or causal effect"
response_accuracy_final,Final-response accuracy,correct final valid responses / eligible scored final responses,proportion,practice occurrence or participant,declared window,distinguish reveal/feedback exposure,descriptive outcome under attempt/reveal policy,comparison across incompatible policies
attempt_count,Attempt count,count(valid submitted responses),count,practice occurrence,declared window,exclude parser/system retries,workflow and burden analysis,"effort, persistence or struggle"
feedback_exposure_rate,Feedback exposure rate,feedback-shown events / eligible completed practices,proportion,condition,declared window,report missing event authorization/fidelity,treatment fidelity,comprehension
review_completion_rate,Scheduled review completion,completed scheduled reviews / eligible scheduled reviews,proportion,participant/course,schedule horizon,report deferrals and unavailable periods separately,queue/fidelity description,retention or motivation
retention_score,Delayed outcome score,scoring rule(instrument responses),instrument-specific,participant,predeclared delayed window,follow instrument scoring; report missingness,retention outcome when instrument validated,retention from platform events
time_active,Active interaction time,sum(capped active intervals under declared idle rule),seconds/minutes,participant/session,declared active-window definition,never infer unobserved activity; sensitivity analysis,operational burden/exposure with limitations,"attention, engagement, effort"
hint_use_rate,Hint use,hint-requested eligible occurrences / eligible practice occurrences,proportion,participant/condition,declared window,only when event authorized,support-use description,difficulty or dependence
annotation_resolution_time,Annotation resolution latency,resolved_at-created_at,duration,annotation,workflow window,right-censor unresolved annotations,authoring workflow operations,review quality or author competence
artifact_revision_count,Artifact revision count,count distinct semantic revisions,count,artifact lineage,authoring period,exclude nominal renames if policy states,workflow/cost/provenance,quality
consent_coverage,Consent coverage,participants with active required consent / participants requiring consent,proportion,study,before data use,not outcome; rights report,governance audit,participation willingness
withdrawal_processing_latency,Withdrawal processing latency,processing_completed_at-requested_at,duration,withdrawal request,policy SLA,report incomplete separately,rights/operations compliance,participant satisfaction
missingness_rate,Missing outcome rate,missing eligible observations / eligible observations,proportion,outcome/condition,declared analysis window,classify reason when permissible,data-quality/analysis planning,random missingness
fidelity_deviation_count,Condition fidelity deviations,count verified deviations from locked condition,count,condition/participant,study window,"classify rights-required, technical, researcher, participant",interpretation and sensitivity analysis,participant noncompliance
storage_bytes_per_participant,Research storage burden,stored authorized research bytes / active participants,bytes,protocol/deployment,reporting window,"separate artifacts, events, instruments, attachments",capacity/cost planning,value of data
