id,year,front,source_type,title,doi,access,decision_use,limits
zimmerman-2002,2002,self-regulated-learning,conceptual review,Becoming a self-regulated learner: An overview,10.1207/S15430421TIP4102_2,abstract/metadata,"Separates forethought, performance and self-reflection; supports representing goal, planning, monitoring and reflection independently.",Not a product evaluation and does not prescribe digital parameter defaults.
panadero-2017,2017,self-regulated-learning,review,A Review of Self-regulated Learning: Six Models and Four Directions for Research,10.3389/fpsyg.2017.00422,full text,"SRL includes cognitive, metacognitive, motivational, behavioral and affective processes; prevents one monolithic self-regulation parameter.","Model comparison, not evidence that every subprocess should be implemented."
broadbent-poon-2015,2015,self-regulated-learning,systematic review,Self-regulated learning strategies & academic achievement in online higher education learning environments: A systematic review,10.1016/j.iheduc.2015.04.007,accepted manuscript/abstract,"Supports explicit planning, time/effort regulation, metacognition and critical thinking candidates while retaining context limits.",Correlational evidence dominates; higher education and pre-2015 online contexts.
dignath-buettner-langfeldt-2008,2008,self-regulated-learning,meta-analysis,How can primary school students learn self-regulated learning strategies most effectively?,10.1016/j.edurev.2008.02.003,abstract/metadata,Supports explicit SRL instruction and multiple strategy families rather than assuming learner control creates self-regulation.,School-age populations; intervention features do not directly map to software parameters.
dignath-buettner-2008,2008,self-regulated-learning,meta-analysis,Components of fostering self-regulated learning among students,10.1007/s11409-008-9029-x,abstract/author copy,"Supports decomposing cognitive, metacognitive and motivational support and retaining educational-level moderators.",Older interventions; no claim that prompts or dashboards alone reproduce interventions.
karich-burns-maki-2014,2014,learner-control,meta-analysis,Updated Meta-Analysis of Learner Control Within Educational Technology,10.3102/0034654314526064,abstract/metadata,Near-zero overall academic effect argues against unlimited control as a universal default and for separating control dimensions.,Heterogeneous and older educational technology; does not evaluate current LLM interfaces.
admiraal-et-al-2023,2023,learner-control,field experiments,Effects of Students’ Autonomy Support on their Self-Regulated Learning Strategies: Three Field Experiments in Secondary Education,10.46328/ijres.3343,full text,Supports autonomy-support as designed structure rather than abandonment and motivates shared-control profiles.,Secondary schools and intervention-specific measures.
kooi-et-al-2026,2026,learner-control,exploratory empirical study,Exploring shared control in upper primary school learners working with an adaptive learning technology,10.14786/flr.v13i3.1471,full text,Provides a current implemented example in which learners adjust difficulty while the system selects tasks; supports separating human and system authority.,"Recent, narrow population and domain; not evidence for general adaptive defaults."
aleven-et-al-2006,2006,help-seeking,model and design study,Toward Meta-cognitive Tutoring: A Model of Help Seeking with a Cognitive Tutor,10.3233/IRG-2006-16(2)02,abstract/full text via publisher,"Supports distinguishing availability of help, learner request, hint abuse, feedback on help-seeking and metacognitive goals.",Rule-based tutor and domain-specific model; should not become automatic surveillance of help behavior.
roll-et-al-2011,2011,help-seeking,empirical intervention,Improving students’ help-seeking skills using metacognitive feedback in an intelligent tutoring system,10.1016/j.learninstruc.2010.07.004,abstract/metadata,Supports optional metacognitive feedback and help-seeking instruction while separating learning support from punitive interpretation.,Specific ITS and population; automated feedback depends on validated behavioral model.
ma-et-al-2014,2014,adaptive-learning,meta-analysis,Intelligent Tutoring Systems and Learning Outcomes: A Meta-Analysis,10.1037/a0037123,abstract/author manuscript,"ITS can improve outcomes versus several controls but effects depend on comparisons; adaptation is a capability family, not a universal mechanism.",Pre-generative-AI ITS; broad heterogeneity and publication-era constraints.
wang-et-al-2026,2026,adaptive-learning,meta-analysis,A Meta-Analysis of Moderators of the Effects of Technology-Enhanced Adaptive Learning on Primary and Secondary Students' Learning Outcomes,10.1002/jcal.70168,full text/abstract,"Current evidence supports moderator-sensitive treatment of adaptive learning and separate cognitive, affective and behavioral outcomes.",School populations and studies from 2012–2021; does not validate any ARA adaptation algorithm.
