id,provider,component,plan_or_scope,current_facts,principal_implication,limitation,url,accessed
VS001,Supabase,platform,Free,"500 MB database; 1 GB file storage; 5 GB egress and cached egress; two active projects; projects may pause after one week of low activity","Useful for prototypes but cannot guarantee unattended availability or long-lived version retention","Quotas and policy can change; integrated platform coupling remains",https://supabase.com/pricing,2026-08-04
VS002,Supabase,platform,Pro,"From USD 25/month; first project included; 8 GB database disk; 100 GB file storage; 250 GB egress; daily backups retained 7 days","Removes inactivity pausing and may be adequate for a first connected deployment","Still provider-specific and database/storage growth must be measured",https://supabase.com/pricing,2026-08-04
VS003,Supabase,pausing,Free,"Low-activity Free projects may pause after a seven-day window; restoration is available for up to one year","Free tier is not a durable always-on guarantee","Restoration still requires owner intervention and has a time window",https://supabase.com/docs/guides/platform/free-project-pausing,2026-08-04
VS004,Supabase,storage,Free-and-paid,"Free includes 1 GB; Pro includes 100 GB; paid overage is USD 0.0213 per GB-month","Paid object storage is inexpensive relative to database storage and supports keeping payloads outside relational rows","Does not by itself provide provider-neutral artifact semantics",https://supabase.com/docs/guides/storage/pricing,2026-08-04
VS005,Cloudflare,R2,Free-and-paid,"10 GB-month free; 1 million Class A and 10 million Class B operations free monthly; Standard storage USD 0.015 per GB-month; no R2 egress charge","Strong candidate for immutable JSON/assets with S3-compatible access and low storage cost","Object storage only; auth, metadata, transactions and policy require other components",https://developers.cloudflare.com/r2/pricing/,2026-08-04
VS006,Cloudflare,R2,access,"Supports Workers API, S3-compatible APIs, CLI and dashboard","Could implement a provider-neutral ArtifactRepository adapter","Requires account billing setup and careful operation-count modelling",https://developers.cloudflare.com/r2/get-started/,2026-08-04
VS007,Cloudflare,D1,Free-and-paid,"SQLite semantics; Free includes 5 GB total storage, 5 million rows read/day and 100,000 rows written/day; paid bills rows and storage","Could support small metadata deployments with scale-to-zero and no egress fees","SQLite semantics and row-based billing need workload validation against ARA relations and policies",https://developers.cloudflare.com/d1/platform/pricing/,2026-08-04
VS008,Neon,PostgreSQL,Free,"0.5 GB storage per project; 100 CU-hours monthly per project; scale-to-zero after inactivity; short restore window","Provides many small Postgres projects and avoids permanent compute cost while inactive","Not a complete BaaS/object storage solution; free storage remains small",https://neon.com/pricing,2026-08-04
VS009,Neon,PostgreSQL,Launch,"Usage-based; USD 0.106 per CU-hour and USD 0.35 per GB-month; up to seven-day restore window","Candidate for portable managed Postgres when auth/object storage are separate","Cost is more variable and database storage is much more expensive than object storage",https://neon.com/pricing,2026-08-04
VS010,Appwrite,integrated-BaaS,Free,"2 GB storage; one database, one bucket and two functions per project; pauses after one week of inactivity","Integrated alternative with more free object storage than Supabase","Free limitations and pausing remain; database model requires validation",https://appwrite.io/pricing,2026-08-04
VS011,Appwrite,integrated-BaaS,Pro,"From USD 25/month; 150 GB storage; unlimited databases, buckets and functions; seven-day daily backups","Paid integrated alternative with substantial included storage","Migration from PostgreSQL/RLS and operational semantics would be substantial",https://appwrite.io/pricing,2026-08-04
