id,organization,source,url,source_type,use_status,decision_relevance
S01,ARA,Issue #4 final taxonomy,internal,Primary,Normative,"Parameter taxonomy, profiles, precedence, snapshots and prohibited inferences."
S02,AraLearn,Implemented authoring and study flows,internal,Primary,Operational evidence,"Minimal functional state, offline study, staged authoring and explicit publication."
S03,1EdTech,Caliper Analytics 1.2,https://www.1edtech.org/standards/caliper,Official specification,Mapped candidate,Event/profile vocabulary and conformance; not ARA domain.
S04,ADL,Experience API (xAPI) 2.0,https://github.com/adlnet/xAPI-Spec,Official specification,Mapped candidate,Statement/LRS interoperability; profiles required for shared semantics.
S05,W3C DPVCG,Data Privacy Vocabulary 2.x,https://w3id.org/dpv/,Community specification,Mapped candidate,"Purpose, processing, roles, retention, rights, risk and technical measures."
S06,W3C,PROV-O,https://www.w3.org/TR/prov-o/,Recommendation,Mapped candidate,Entity/activity/agent provenance for research packages.
S07,W3C,Web Annotation Data Model,https://www.w3.org/TR/annotation-model/,Recommendation,Mapped candidate,Qualitative comments and evidence anchors.
S08,OSF,Registries and preregistration,https://www.cos.io/initiatives/prereg,Institutional guidance,Method reference,Protocol registration and immutable registration snapshots.
S09,CONSORT,CONSORT 2010 and extensions,https://www.consort-statement.org/,Reporting guideline,Method reference,"Randomized-trial reporting, flow and allocation transparency."
S10,SPIRIT,SPIRIT statement,https://www.spirit-statement.org/,Reporting guideline,Method reference,Protocol content for interventional studies.
S11,APA/JARS,Journal Article Reporting Standards,https://apastyle.apa.org/jars,Reporting guideline,Method reference,"Quantitative, qualitative and mixed-method reporting."
S12,FAIR,FAIR principles,https://www.go-fair.org/fair-principles/,Community principles,Mapped candidate,"Findable, accessible, interoperable, reusable research outputs with governance limits."
S13,RO-Crate,RO-Crate specification,https://www.researchobject.org/ro-crate/,Community specification,Mapped candidate,Portable research-package manifests and provenance.
S14,DataCite,Metadata Schema,https://schema.datacite.org/,Official schema,Mapped candidate,Identifiers and citation metadata for exported research packages.
S15,ANPD,Tratamento de dados para fins acadêmicos e pesquisa,https://www.gov.br/anpd/,Regulatory guidance,Governance reference,"Purpose, safeguards, transparency and context-specific legal assessment."
S16,EU,GDPR Regulation 2016/679,https://eur-lex.europa.eu/eli/reg/2016/679/oj,Law,Governance reference,"Purpose limitation, minimization, rights, security and research safeguards."
S17,NIST,Privacy Framework 1.0,https://www.nist.gov/privacy-framework,Official framework,Governance reference,Identify-govern-control-communicate-protect privacy-risk functions.
S18,NIST,AI RMF 1.0,https://www.nist.gov/itl/ai-risk-management-framework,Official framework,Governance reference,Govern/map/measure/manage AI risks and human oversight.
S19,W3C,WCAG 2.2,https://www.w3.org/TR/WCAG22/,Recommendation,Accessibility reference,"Accessible instruments, dashboards and participant materials."
S20,IMS/1EdTech,QTI,https://www.1edtech.org/standards/qti,Official specification,Mapped candidate,Assessment item/test interchange; not a complete research model.
S21,DDI Alliance,DDI Lifecycle,https://ddialliance.org/Specification/DDI-Lifecycle/,Official specification,Mapped candidate,"Study, instrument, variable and data lifecycle metadata."
S22,IETF,RFC 3339,https://www.rfc-editor.org/rfc/rfc3339,Standard,Normative utility,Timestamps and timezone representation.
S23,IETF,RFC 8941/HTTP semantics,https://www.rfc-editor.org/,Standards,Utility reference,Transport metadata; does not define educational meaning.
S24,Open edX,Aspects/OARS architecture decisions,https://docs.openedx.org/projects/openedx-aspects/,Implemented system,Comparative evidence,"xAPI event transport, LRS and analytics separation."
