id,reason,accepted_direction,architectural_consequence,research_value
VR01,low-bureaucracy-authorship,"ordinary edits require no confirmation ceremony","local journal and automatic checkpoints","observe real authoring behavior without approval artifacts"
VR02,impulsive-editing-safety,"mistakes and changes of mind are reversible","durable immutable revisions and restore-as-new-revision","error trajectories remain analyzable"
VR03,provisional-knowledge,"no artifact is final by publication status","current refs and fixed-context snapshots replace final publication state","study evolution rather than final products only"
VR04,vertical-investigation,"GPT follows one lineage through time","revision DAG operation log semantic diffs and context retrieval","identify recurring faults regressions and repair effects"
VR05,horizontal-investigation,"GPT compares observations and branches across users","cross-lineage indexes frozen corpora and access-aware retrieval","detect convergences disagreements and alternatives"
VR06,vertical-horizontal-cycle,"horizontal patterns can trigger vertical diagnosis and later monitoring","links among findings operations revisions and observation corpora","supports iterative educational inquiry"
VR07,research-reproducibility,"experiments fix exact content and configurations","research snapshots and retention holds","reconstruct conditions and analysis provenance"
VR08,collaborative-derivation,"personal and group variants preserve origins without full copies","multiple-parent DAG manifests and shared artifacts","compare authoring paths and learner adaptations"
VR09,agent-configuration-evolution,"prompts profiles knowledge policies contracts and models change","versioned configuration artifacts and effective-operation snapshot","relate output quality to configuration changes"
VR10,offline-first-editing,"work continues without server availability","IndexedDB materialization journal and idempotent outbox","include offline conditions without data loss"
VR11,concurrent-change-preservation,"old-base edits cannot silently overwrite newer work","optimistic base revision and preserved divergence","study conflict and reconciliation patterns"
VR12,access-derivation,"audience restrictions follow required ancestors","access graph and materialized effective-audience projections","reproduce who could see which revision"
VR13,non-destructive-revocation,"blocked descendants remain in history","access state separated from artifact deletion","analyze effects without exposing inaccessible content"
VR14,storage-economy,"variants should reuse unchanged parts","content addressing manifests and deduplication benchmark","scale research corpora without full-course duplication"
VR15,database-cpu-protection,"large JSON should not dominate transactional workload","payload artifacts outside database; small relational metadata","separate content scale from relational query scale"
VR16,front-end-history,"researcher can navigate and inspect graph nodes","paginated graph read models previews and diff summaries","direct qualitative inspection of trajectories"
VR17,portability,"history cannot depend on one BaaS","provider-neutral manifests digests export and restore","replicate deployments and institutional studies"
VR18,selective-retention,"not every autosave deserves permanent retention","journal checkpoint durable revision and hold classes","avoid distorting research with meaningless micro-events"
VR19,audit-without-full-event-sourcing,"intent matters but replay complexity should be bounded","immutable revisions as editorial truth plus append-only operations","preserve reasons without making all reads depend on replay"
VR20,economic-provider-selection,"free-tier limits must not dictate semantics","workload cost restore and operational benchmarks before ADR","document deployment effects on research feasibility"
