screen_id,name,actors,purpose,primary_actions,required_states,accessibility
S01,Welcome/profile,all,Choose personal/connected entry,"continue offline; sign in; import",loading|offline|auth-error,accessible authentication and language selection
S02,Library,learner|author,Manage course references/downloads,"resume; open; add/import; organize",empty|offline|syncing|storage-warning,list semantics and non-drag organization
S03,Folder/collection,learner|author,Organize references,"open; rename; move reference",empty|permission-error|offline,breadcrumb and keyboard move controls
S04,Course overview,learner,Understand and prepare course,"download; update; start/resume; view details",capability-missing|update-available|offline,size/version stated before action
S05,Materialization,learner,Atomically prepare offline course,"confirm; pause/cancel; retry",checking|downloading|verifying|failed|ready,progress text/live status and preserved previous version
S06,Study card,learner,Consume theory/practice content,"respond; reveal/retry; next; comment",theory|practice|feedback|offline|capability-fallback,semantic reading order and one primary action
S07,Course structure,learner|author,Navigate hierarchy/placements,"open placement; filter; list dependencies",collapsed|expanded|current|unavailable,tree/list keyboard model and list alternative
S08,Study review queue,learner,Manage personal review,"open; defer; remove mark",empty|due|deferred|offline,non-punitive language
S09,Resume/change summary,learner,Resume safely after interruption/version change,"continue; inspect changes; keep old package",same-version|updated|removed-placement,focus to summary and explicit consequences
S10,Personal data,learner,Control local/synced state,"export; remove download; request deletion",local-only|synced|pending|restricted,distinguish local removal and remote deletion
S11,Configuration context,author|researcher,Choose purpose/base profile,"select profile; compare",recommended|locked|unsupported,plain-language consequences
S12,Configuration overlays,all,Apply accessibility/offline/research overlays,"add/remove overlay",compatible|conflict|rights-required,rights overlay cannot be removed
S13,Configuration parameters,advanced-author,Edit grouped sparse overrides,"change; reset; view source",inherited|overridden|locked|invalid,labels/help/keyboard and no giant flat form
S14,Effective configuration diff,all,Review resolved values/effects,"apply; create variant; revise",runtime-only|content-change|composition-change|conflict,semantic summary before technical diff
S15,Workspace list,author|reviewer,Open authoring contexts,"create; open; filter",personal|team|confidential|offline,role/status text
S16,Authoring workspace,author,Inspect/create course in real time,"select; comment; request operation; preview",draft|agent-running|needs-review|offline|conflict,ordered mobile mode and desktop panes
S17,Brief/planning,author,Edit versioned authoring context,"edit brief; approve plan; request change",draft|approved|changed,visible labels/source anchors
S18,Composition editor,author,Manage placements/dependencies,"insert; move; fork; edge; remove",selected|invalid-edge|missing-dependency|offline,non-drag actions and graph list alternative
S19,Reusable search,author,Find authorized microsequences,"preview; reference; copy; fork",no-results|restricted|stale|licence-warning,origin/context/revision visible
S20,Artifact preview,author|reviewer,Render selected revision/placement,"switch mode; inspect accessibility",unsupported-resource|fallback|error,accessible resource preview
S21,Version history/diff,author|reviewer,Compare versions and provenance,"select versions; restore/fork",identical|semantic-change|metadata-only,unified/side-by-side/summary modes
S22,Comments/findings,all-authoring,Discuss situated targets,"create; reply; triage; link repair",open|triaged|resolved|withdrawn,target and status announced
S23,Audit workspace,reviewer,Review frozen scope/rubric,"add finding; conclude review",in-progress|findings|no-blocker|inconclusive,audit cannot edit content
S24,Repair workspace,repairer,Apply authorized findings,"edit target; validate; submit",authorized|out-of-scope|validation-error|completed,scope always visible
S25,Re-audit,reviewer,Verify fixes/regressions,"confirm; reopen; new finding",fixed|regression|unresolved|new-finding,comparison linked to prior finding
S26,Approval/publication,approver|publisher,Approve/publish immutable snapshot,"approve; preview; publish; withdraw",blocked|ready|published|withdrawn,audience/version/licence consequences
S27,Operations/sync,all,Inspect queued/completed operations,"retry; inspect; export",offline|syncing|up-to-date|failed|conflict,live status without focus theft
S28,Conflict resolution,author|learner,Resolve competing revisions/state,"reapply; fork; keep remote; export local",structural|semantic|permission-change,plain-language intent comparison
S29,Protocol list,researcher,Manage research protocols,"create; open; duplicate",draft|approved|registered|completed,rights/status clear
S30,Protocol builder,researcher,Define question-to-governance chain,"next; validate; freeze",incomplete|invalid|rights-conflict|ready,step summary and error summary
S31,Participant rights,participant,Review/act on consent and withdrawal,"consent; refuse; withdraw; export request",pending|active|refused|withdrawn,accessible plain-language documents
S32,Instrument schedule,researcher|participant,Administer authorized instruments,"start; save; resume; submit",scheduled|in-progress|missed|complete,language/version/accommodation visible
S33,Question analytics,learner|teacher|researcher,Answer an authorized question,"change question; inspect definition; export",empty|partial|missingness|restricted,definition/denominator/window always accessible
S34,Workspace members/policies,admin,Manage local roles and locks,"invite; change role; revoke; inspect",pending|active|revoked|policy-conflict,no global-role implication
S35,Deployment operations,admin,Manage packages/backups/updates,"backup; restore; update; rollback",healthy|warning|failed|maintenance,technical detail behind disclosure
S36,Capability inspector,all,Explain available/unavailable functions,"view requirement; configure provider",available|unavailable|policy-disabled|fallback,absence and fallback described
