review_id_1,review_id_2,review_1,review_2,comparison_status,reason,recovered_n1,recovered_n2,exact_intersection_recovered,exact_union_recovered,definitive_jaccard,observed_recovered_jaccard,intersection_min,intersection_max,jaccard_min,jaccard_max
RA01,RA02,Xu et al. 2024,Özdemir & Seçkin 2024,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,22,0,22,,0.0,,,,
RA01,RA03,Xu et al. 2024,Trumble et al. 2024,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,56,0,56,,0.0,,,,
RA01,RA04,Xu et al. 2024,Van Hoof et al. 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA01,RA05,Xu et al. 2024,Frappa et al. 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,11,0,11,,0.0,,,,
RA01,RA06,Xu et al. 2024,Thompson & Hughes 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,8,0,8,,0.0,,,,
RA01,RA07,Xu et al. 2024,Maye & Hurley 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,13,0,13,,0.0,,,,
RA01,RA08,Xu et al. 2024,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA01,RA09,Xu et al. 2024,Öcel & Su-Bergil 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,25,0,25,,0.0,,,,
RA01,RA10,Xu et al. 2024,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA01,RA11,Xu et al. 2024,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA01,RA12,Xu et al. 2024,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,38,0,38,,0.0,,,,
RA02,RA03,Özdemir & Seçkin 2024,Trumble et al. 2024,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,56,0,78,,0.0,,,,
RA02,RA04,Özdemir & Seçkin 2024,Van Hoof et al. 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,0,0,22,,0.0,,,,
RA02,RA05,Özdemir & Seçkin 2024,Frappa et al. 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,11,0,33,,0.0,,,,
RA02,RA06,Özdemir & Seçkin 2024,Thompson & Hughes 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,8,0,30,,0.0,,,,
RA02,RA07,Özdemir & Seçkin 2024,Maye & Hurley 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,13,0,35,,0.0,,,,
RA02,RA08,Özdemir & Seçkin 2024,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,0,0,22,,0.0,,,,
RA02,RA09,Özdemir & Seçkin 2024,Öcel & Su-Bergil 2025,partial-bounded-overlap,RA02 declares 23 studies but exposes 22 identifiable asterisk-marked references; exact overlap is a lower bound.,22,25,3,44,,0.06818181818181818,3.0,4.0,0.06666666666666667,0.09090909090909091
RA02,RA10,Özdemir & Seçkin 2024,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,0,0,22,,0.0,,,,
RA02,RA11,Özdemir & Seçkin 2024,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,0,0,22,,0.0,,,,
RA02,RA12,Özdemir & Seçkin 2024,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",22,38,0,60,,0.0,,,,
RA03,RA04,Trumble et al. 2024,Van Hoof et al. 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,0,0,56,,0.0,,,,
RA03,RA05,Trumble et al. 2024,Frappa et al. 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,11,0,67,,0.0,,,,
RA03,RA06,Trumble et al. 2024,Thompson & Hughes 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,8,0,64,,0.0,,,,
RA03,RA07,Trumble et al. 2024,Maye & Hurley 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,13,0,69,,0.0,,,,
RA03,RA08,Trumble et al. 2024,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,0,0,56,,0.0,,,,
RA03,RA09,Trumble et al. 2024,Öcel & Su-Bergil 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,25,0,81,,0.0,,,,
RA03,RA10,Trumble et al. 2024,Agarwal et al. 2021,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,0,0,56,,0.0,,,,
RA03,RA11,Trumble et al. 2024,Murray et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,0,0,56,,0.0,,,,
RA03,RA12,Trumble et al. 2024,Cadavid et al. 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",56,38,0,94,,0.0,,,,
RA04,RA05,Van Hoof et al. 2023,Frappa et al. 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,11,0,11,,0.0,,,,
RA04,RA06,Van Hoof et al. 2023,Thompson & Hughes 2023,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,8,0,8,,0.0,,,,
RA04,RA07,Van Hoof et al. 2023,Maye & Hurley 2026,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,13,0,13,,0.0,,,,
RA04,RA08,Van Hoof et al. 2023,Pan & Rickard 2018,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,0,0,0,,,,,,
RA04,RA09,Van Hoof et al. 2023,Öcel & Su-Bergil 2025,not-eligible-definitive,"At least one review list is unavailable, partial, author-year-only, or mechanism-subset-only.",0,25,0,25,,0.0,,,,
