system_or_family,domain,content_unit,theory,activity,execution,scoring,feedback,retry,progression,consequence,measured_outcomes,evidence_status,critical_limit
Anki,general,"card/deck","external or card-contained","recognition or self-rated recall","no","self-rating","answer reveal and self-rating","scheduled reviews","learner/deck/algorithm","personal progress","use; recall; exam performance in some domains","official documentation plus reviews concentrated in medicine","product and mechanism cannot be generalized across domains"
Duolingo,languages,"short lesson/path","integrated explanations vary","recognition; production; listening; speaking","domain-specific interaction","platform rules","immediate corrective and adaptive feedback","repetition within path","curricular/adaptive","progress; gamified consequences","language measures; engagement; continuity","vendor and independent studies","domain-specific and vendor research must be separated"
LingoDeer,languages,"short lesson/review","explicit grammar explanations","quiz; flashcard review; listening; writing","domain-specific interaction","platform rules","corrective feedback","review activities","structured curriculum","progress/subscription","usability and language outcomes in limited studies","vendor description plus candidate empirical study","current product may differ from historical use"
SoloLearn,programming,"micro-lesson/course","brief explanations","quiz; tracing; code practice","integrated code environment","platform rules/tests","automatic result; explanation varies","multiple activities","sequential/gamified","progress/subscription/ads","self-direction; confidence; grades; experience","direct studies and review inclusion","cross-sectional evidence and introductory focus"
Mimo,programming,"micro-lesson/path","brief explanations","quiz; code completion; code practice","integrated or simulated","platform rules/tests","immediate automated feedback","multiple activities","sequential/gamified","progress/subscription","UX and perceptions","comparative UX study and review inclusion","learning and transfer evidence not established in current corpus"
Encode,programming,"short lesson/course","brief explanations","quiz; challenge; code writing","integrated editor according to current store description","platform rules/tests","automatic feedback not independently characterized","multiple exercises","course progression","ads/purchases/progress","not established independently","vendor documentation and personal antecedent","independent evidence sparse"
Enki,technical skills,"short lesson/path","brief structured content","questions; code practice; review","practice environment according to current description","platform/automated evaluation","hints; explanations; code feedback; spaced review claimed","review and practice","personalized/sequential","progress/subscription","not established independently","vendor documentation and personal antecedent","current AI-enabled version may differ from historical use"
Moodle quiz,LMS/multiple domains,"activity within course","course-dependent","MCQ; true/false; short answer; other item types","plugin/course-dependent","configured rules","configured correctness/correct answer/elaboration/timing","configured attempts","course/institutional","grade; completion; access; certificate","course-dependent","official platform documentation plus course studies","Moodle is not a single pedagogy; configuration must be recorded"
IFRS MOOCs,multiple domains,"module/course","often extended text/video","quiz and course activities","course-dependent","course rules","course-dependent automated feedback","course-dependent","self-paced institutional course","certificate/completion","completion; quiz; experience","institutional documentation and personal experience","must inspect individual courses rather than generalize"
Automated programming graders,programming,"exercise/assignment","external or integrated","write; execute; debug; resubmit","sandbox/compiler/interpreter","tests; static analysis; reference; ML/LLM; human hybrid","pass/fail; expected/actual; diagnostics; generated explanation","often multiple resubmissions","course/tool-dependent","grade/progress","correctness; grades; satisfaction; tool accuracy","systematic reviews","feedback often narrow; datasets and pedagogical validation limited"
ARA candidate profile,multiple domains,"course/module/lesson/microsequence/card","structured theory resources","recognize; recall; explain; solve; execute","resource-specific and optional","deterministic; rubric; human; probabilistic identified","configurable result/correct answer/elaboration/hint/example/error feedback","configurable","learner/course/institution/protocol/adaptive authority","configurable and recorded","learning; retention; transfer; experience kept separate","design hypothesis informed by evidence","not an effectiveness claim or approved universal default"
