field_group,field,required,purpose
identity,analysis_run_id,yes,"Stable identity"
identity,protocol_version_id,yes,"Bind analysis to approved question design and conditions"
identity,dataset_snapshot_id,yes,"Freeze exact analyzed evidence"
identity,analysis_plan_version_id,yes,"Separate planned from exploratory analysis"
agent,agent_configuration_snapshot_id,yes,"Record full effective agent configuration"
agent,model_provider_version,yes,"Record model and provider state"
agent,prompt_template_versions,yes,"Record instructions used"
agent,knowledge_collection_snapshots,conditional,"Record external knowledge available"
agent,tools_and_contract_versions,yes,"Record execution and schema environment"
agent,context_policy_version,yes,"Record retrieval and context selection"
execution,code_artifact,conditional,"Preserve executable statistical or transformation code"
execution,environment_and_dependencies,conditional,"Support reproduction"
execution,random_seed_and_sampling_parameters,conditional,"Characterize stochastic behavior"
execution,start_end_time,yes,"Operational provenance"
execution,actor_and_role,yes,"Authority and responsibility"
quantitative,variables_and_units,conditional,"Prevent ambiguous calculations"
quantitative,missingness_handling,conditional,"Make exclusions and imputation explicit"
quantitative,assumption_checks,conditional,"Validate method requirements"
quantitative,effect_estimates_and_uncertainty,conditional,"Avoid p-value-only reporting"
quantitative,sensitivity_analyses,conditional,"Test robustness"
qualitative,method_and_codebook_version,conditional,"Bind coding to methodology"
qualitative,codes_themes_and_evidence_links,conditional,"Preserve traceability"
qualitative,analyst_memos_and_reflexivity,conditional,"Preserve interpretive context"
qualitative,agreement_or_comparison_method,conditional,"Describe human/LLM or repeated-run validation"
mixed,explicit_integration_method,conditional,"Show how strands are combined"
mixed,joint_display_or_linkage,conditional,"Preserve integration evidence"
output,raw_outputs,yes,"Retain unedited model/tool output"
output,validated_results,yes,"Separate checked result from raw output"
output,interpretations_and_alternatives,yes,"Preserve competing explanations"
output,admissible_and_prohibited_conclusions,yes,"Bound inference"
output,human_review_decision,yes,"Record final authority"
output,limitations_and_deviations,yes,"Report threats and departures"
