id,area,possibility,source_strata,aralearn_relationship,provisional_classification,recommendation,rationale,main_risk,next_phase
EXT01,practice,matching or association response,"assessment systems; language platforms; cross-domain benchmark",absent,"core-capability-candidate","carry to #4 and #6","Broad cross-domain use; deterministic; mobile-compatible","Poor accessibility or ambiguous many-to-many matching","#4 practice parameters; #6 capability"
EXT02,practice,ordering response,"Perseus; H5P; programming/mobile evidence",absent,"core-capability-candidate","carry to #4 and #6","Useful for procedures, chronology, algorithms and language","Drag-only interaction and scoring ambiguity","#4; #6; #8 accessibility"
EXT03,practice,classification or categorization,"Perseus; H5P; formative assessment",absent,"core-capability-candidate","carry to #4 and #6","Reusable deterministic response with multiple domains","Category overlap and partial credit","#4; #6"
EXT04,practice,error identification,"programming evidence; language analysis; formative feedback",partial,"core-capability-candidate","carry to #4 and #6","Supports discrimination and diagnosis without heavy runtime","Can reward superficial spotting without explanation","#4 response/feedback; #6"
EXT05,practice,bounded short answer,"response-format literature; Numbas; assessment systems",partial,"core-capability-candidate","carry to #4 and #6","Reduces guessing and supports constructed retrieval","Normalization, variants and false negatives","#4 validation policy; #6"
EXT06,practice,numeric answer with tolerance and units,"Numbas; STACK; mathematics assessment",absent,"core-capability-candidate","carry as high-priority domain-general candidate","Deterministic and useful across STEM and professional calculations","Tolerance and unit semantics can be domain-specific","#4; #6"
EXT07,practice,multipart response and dependent steps,"Numbas; STACK; Perseus",absent,"parameter-candidate|extension-candidate","model conceptually; defer implementation scope","Represents complex reasoning and follow-through marking","Schema and MCP complexity; credit policy","#4; #6"
EXT08,assessment,partial credit,"STACK; Numbas; H5P; assessment literature",absent,"parameter-candidate","include in taxonomy; no default","Important for multipart and structured responses","Can obscure criteria and complicate low-consequence practice","#4; #5"
EXT09,feedback,immediate versus delayed timing,"feedback meta-analysis; LMS configuration",implicit-value,"parameter-candidate","include in first taxonomy","No universal winner; moderators matter","Confounded with task and retry design","#4; #5"
EXT10,feedback,correctness/correct-answer/elaborated/error-specific/hint/worked-example,"feedback synthesis; structured systems",partial,"parameter-candidate","include as separate dimensions","Evidence supports distinguishing content from timing","More text is not automatically better","#4"
EXT11,progression,free/course-assigned/protocol-locked/adaptive progression,"LMS; ITS/adaptive literature; institutional scenarios",partial,"parameter-candidate","include authority and locking","Needed for personal, teaching and research conditions","Learner autonomy conflicts with experimental validity","#4; #5"
EXT12,review,spacing schedule and retention horizon,"spacing reviews; Anki precedent",absent,"parameter-candidate","include mechanism and authority separately","Spacing effects depend on retention interval and implementation","Algorithm opacity and workload accumulation","#4; #5"
EXT13,learner_control,preference versus course policy versus accommodation versus condition,"self-regulation; research governance; institutional contexts",partial,"structural-candidate|parameter-candidate","make central to taxonomy","Prevents silent override and supports reproducibility","Precedence conflicts can become incomprehensible","#4"
EXT14,assessment,diagnostic/formative/summative purpose,"assessment literature; LMS; institutions",absent,"parameter-candidate","include in first taxonomy","Purpose changes stakes, feedback and evidence use","Labels can hide mixed purposes","#4; #5"
EXT15,assessment,confidence judgement or certainty rating,"assessment and self-regulation practices",absent,"parameter-candidate","retain as candidate, not first default","Can support calibration research and metacognition","Adds friction and may be misinterpreted as mastery","#4; #5"
