capability,benchmark_evidence,ARA_current_state,first_principles_direction,evidence_class,next_validation
Typed composable components,"Perseus; H5P; XBlock; ipywidgets",AraLearn has 18 closed resource schemas but conflates representation and task,"Define deployment-approved component manifests with schema, capabilities, renderer adapter and version; no arbitrary course-supplied code",technical precedent,Prototype a minimal manifest with two built-in and one external adapter
Representation separate from response,"Perseus scorer registry; STACK input/assessment separation; Numbas custom parts",Most AraLearn resources contain their own gap/choice mechanics,"Model representation, learner action, response document and validator as separate typed objects",technical precedent plus assessment literature,Express one graph task with selection construction and explanation responses
Validity before correctness,"STACK; MathLive interpretation; Numbas marking pipeline",Literal matching or exact option sets dominate,"Add parse/normalization/validity phase before assessment; show interpreted answer when syntax can distort construct",strong domain precedent,Prototype mathematical and code validity states without assigning correctness
Student-provided semantic answers,"STACK; Numbas; MathLive",Text gaps require enumerated literal variants and do not evaluate equivalence,"Support typed expression, numeric-with-unit, structured data and code responses with deterministic validators",technical precedent and domain evidence,Define canonical answer documents for algebra units and code
Multipart and follow-through tasks,"STACK response trees; Numbas gaps/steps; Perseus graded groups",Composite visually groups blocks but dependencies among answers are weak,"Represent task parts, dependencies, carried-forward values and scoring provenance explicitly",technical precedent,Model a worked example fading task and a multistep calculation
Partial credit and diagnostic branches,"STACK potential response trees; H5P score policies; Numbas marking scripts",AraLearn exact-set and gap scoring is mainly binary,"Make scoring policy optional and separate from formative feedback; allow property-level outcomes without forcing grades",technical precedent plus feedback literature,Create a diagnostic outcome schema with no grade and with weighted criteria
Interactive construction,"Blockly; JSXGraph; Cytoscape.js; H5P Drag Question; Perseus interactive graph",Learners mostly select or fill labels; cannot build structures,"Add construction-response documents with operation logs or final semantic state; renderer geometry remains noncanonical",technical precedent,Prototype block ordering graph editing and point placement with keyboard alternatives
Executable programming,"Pyodide; Papyros; Perseus program widgets; OpenDSA",Code is displayed or locally completed but not executed,"Treat execution as optional governed runtime capability with worker isolation, resource limits, tests and reproducible runtime version",technical precedent plus programming-assessment reviews,Threat-model a Python worker and create deterministic hidden/public test contract
Simulation and parameter manipulation,"ipywidgets; JSXGraph; Pyodide scientific stack; Perseus PhET widget",No canonical simulation model,"Separate model parameters, state variables, controls, observations and assessment probes; do not call animation a simulation",technical precedent plus simulation meta-analysis,Prototype a small deterministic model with logged parameter changes
Declarative domain grammars,"Mermaid; MathJSON/MathLive; H5P semantics; Numbas JSON schema",AraLearn uses separate ad hoc schemas per resource,"Use shared primitives but allow domain grammars where epistemic structure differs; version grammar independently from renderer",technical precedent plus multiple-representation literature,Compare graph flow reaction and timeline grammars for false unification
Integrated narrative representation and practice,"OpenDSA; Khan Perseus; Numbas multipart items",Microsequences provide order but representations are card-centred,"Keep microsequence orchestration while allowing one activity to coordinate multiple representations and responses",system precedent plus instructional-design evidence,Build six microsequence exemplars across domains
Accessibility as capability contract,"Perseus widget a11y docs; Blockly VPAT/WCAG; MathLive speech/ARIA; H5P assistive labels",AraLearn has text metadata and mobile limits but not per-action conformance contracts,"Require keyboard, screen-reader, reflow, alternative description and focus behavior in each component manifest",technical and standards requirement,Create accessibility acceptance matrix for construction interactions
Security and trust boundary,"Mermaid sandbox; Pyodide workers; XBlock deployable code; H5P libraries",Unknown JSON fields rejected and HTML escaped; no extension boundary yet,"Courses reference only installed signed/approved capabilities; runtime code is not embedded in course JSON; isolate execution and sanitize render output",security inference,Threat-model trusted built-ins third-party adapters and learner code
Localization and international scripts,"Perseus traversal/translation; H5P localized fields; Papyros i18n; MathLive input; AraLearn BCP 47",AraLearn supports Unicode RTL and linguistic examples,"Keep language metadata canonical; separate translatable interface strings from authored content; test bidirectional structured interactions",technical precedent,Extend fixtures to vertical writing mixed-direction math and graph labels
Offline profiles,"Numbas browser exams; Pyodide local runtime after load; AraLearn IndexedDB baseline",AraLearn content works offline after download but future engines may be heavy,"Declare capability package size cacheability network needs and offline grade; allow courses to require or avoid heavy runtimes",operational inference,Measure prototype bundles and define offline capability grades
Open-ended human or probabilistic assessment,"Perseus free response; STACK free text; literature on automated text assessment",No semantic open-response assessment during study,"Separate submission capture, rubric, human review and probabilistic assistance; never present model judgment as deterministic equivalence",emerging evidence and governance requirement,Design rubric/human-review workflow before any automated scorer
