profile_id,purpose,authoring_mode,roles,review_policy,publication_policy,reuse_policy,provenance_policy,confidentiality,annotation_policy,controlling_authority,notes
aralearn-reference,Personal GPT-assisted course authoring with explicit human control,human-AI-collaborative,owner plus GPT roles by round,AI audit in separate frozen round; human acceptance,private partial or complete; explicit owner publish,copy/import with origin; no automatic propagation,revision/source/action records,private by default,situated personal/workspace observations,owner,Preserves current planning→build→audit→repair→reaudit→publish separation.
personal-manual-author,Individual author working without live AI,manual,owner/author,self-review optional; external review on request,private/public by explicit owner gate,copy/fork/reference as allowed,minimal version/source lineage,private or public,personal observations,owner,All deterministic operations remain usable without AI.
personal-ai-assisted-author,Individual uses GPT+MCP while inspecting in ARA,AI-draft-human-edit,"owner, planner, builder, auditor, repairer",AI triage/audit plus human approval,preview-only until human-approved,search personal/public authorized libraries; preview reuse,agent/model/context/source provenance,private by default,card/microsequence comments and repair requests,owner,Recommended general personal profile.
collaborative-course-team,"Teacher, tutor and instructional-design team",mixed,"owner, contributor, reviewer, approver, publisher",peer/SME/ID reviews by criterion; separation of duties configurable,team approval and explicit publisher,reference/copy/fork with context-fit check,"contribution roles, version lineage, review findings",workspace internal,team-visible annotations with resolution links,workspace policy,Role-oriented queues and no universal quality score.
research-locked-authoring,Creation of comparable course conditions,human-AI-collaborative,"protocol owner, author, independent reviewer, data steward",protocol-fixed rubric and independent review; variant diff required,condition snapshot locked before use,reuse allowed only when source/version/invariants fixed,complete context/configuration/content/instrument provenance,restricted research,protocol-visible findings; participant data separated,research protocol,No silent repair after condition lock; changes create a new condition version.
institutional-controlled-publication,Formal institutional course production,mixed,"author, contributor, SME, ID reviewer, accessibility reviewer, approver, publisher, admin",multi-role gates and exception logging,institutional approval; audience-scoped publication,library reuse with manual sync/preview,full editorial and permission audit trail,internal/confidential/public as classified,role-scoped annotations,institution,High-risk changes may require different humans and dual approval.
open-oer-publication,Openly licensed reusable educational resources,mixed,"author, reviewer, rights reviewer, publisher","quality, accessibility and license review",public only after attribution/license clearance,reference/copy/fork/adapt/translate according to license,"source chain, changes, contributor roles and license metadata",public/open,public or team review as selected,rights holder/publisher,Supports OER reuse without treating openness as automatic quality.
confidential-institutional,Public-sector or enterprise confidential content,mixed or manual,"restricted author team, reviewer, security/privacy approver, publisher",SME plus confidentiality/security review,private/institutional only unless declassified,reuse limited to authorized workspace; export restricted,minimal necessary audit with protected provenance,confidential/restricted,"workspace-only, potentially sensitive",institution,No external provider context unless explicitly approved; manual fallback required.
external-expert-review-overlay,Additional independent subject-matter review,any,external SME or qualified peer,criterion-scoped external review,does not publish; provides outcome/findings,no reuse rights implied,"reviewer identity, rubric, version and findings",inherits artifact class,review-team visibility,qualified reviewer,Overlay for factual or domain-critical content.
accessibility-quality-overlay,Barrier and accommodation review across profiles,any,accessibility specialist or qualified reviewer,accessibility review plus assistive-technology checks,blocks publication when required by policy,reuse requires accessible alternatives/context-fit,accessibility findings and remediation lineage,sensitive accommodation data protected,restricted findings where necessary,accessibility rule,Cannot be disabled by ordinary author preference.
offline-authoring-overlay,Interrupted or disconnected authoring/review,manual or queued-AI,local author/reviewer with later sync,local structural validation; queued review when online,local preview; publish only after sync/conflict resolution,cached authorized units and snapshots,local manifest and later reconciliation,inherits class; device protection required,local observations queued,owner/deployment,No silent conflict merge or missing-capability degradation.
