parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,precedence,evidence_status,recommendation,dependencies,incompatibilities,analytics_implication,accessibility_implication,downstream_handoff
practice.purpose,practice,Finalidade da prática,"Função principal da atividade no percurso e na interpretação de seus resultados.",accepted,implicit-value,"formative-learning","formative-learning|diagnostic|formative-assessment|summative-assessment|research-probe",card|microsequence|course|condition,author|institution|research-protocol,"accessibility/legal > consent > research protocol > institution > author > learner preference > default",supported,"Exigir valor explícito; usar formative-learning no perfil AraLearn.","consequence.level|evaluation.authority","summative-assessment with unrestricted reveal or unlimited retry","Purpose is required to interpret events and scores; purpose does not authorize collection.","Accommodations must preserve or explicitly qualify the construct.",#5|#6
response.cognitive_demand,response,Demanda cognitiva da resposta,"Operação exigida do estudante, independentemente do controle visual usado.",accepted,implicit-value,"recognition|cued-recall","recognition|cued-recall|free-recall|short-construction|explanation|problem-solving|structured-construction|execution|performance",card|practice,author|research-protocol,"research protocol or institutional assessment may lock; accessibility may supply equivalent expression",supported,"Representar separadamente do formato e da pontuação.","response.form|evaluation.authority","none intrinsically","Required for comparing practice and outcome measures.","Alternative expression is allowed when it preserves the target construct; otherwise record accommodation effect.",#4|#5|#6
response.form,response,Forma da resposta,"Estrutura canônica pela qual a resposta é registrada.",accepted,explicit-value,"single-choice|multiple-choice|literal-gap","single-choice|multiple-choice|short-text|numeric|symbolic|ordered-set|classification|structured-object|long-text|artifact|performance-reference",practice|capability,author|deployment-capability,"accessibility accommodation can override UI but not silently rewrite canonical meaning",supported,"Aceitar catálogo extensível; não inferir demanda cognitiva apenas pelo formato.","response.cognitive_demand|response.validity_policy","unsupported capability","Events should record canonical form only when authorized.","Every form requires keyboard, screen-reader, reflow and non-drag alternatives where applicable.",#6|#7|#8
response.validity_policy,evaluation,Política de validade,"Determina se e como a entrada é distinguida como ausente, inválida, válida ou não avaliável antes da correção.",accepted,absent,"not-formalized","none|syntax|structure|domain-validity|human-validity",practice|validator,author|capability|institution,"capability contract applies; research protocol may lock interpretation",supported,"Separar validade de correção; exigir estados explícitos para respostas estruturadas e abertas.","evaluation.authority|response.form","binary-only systems may not expose validity detail","Validity events are not evidence of learning.","Invalid-state messages must identify and explain correction accessibly.",#5|#6|#7|#8
evaluation.authority,evaluation,Autoridade de avaliação,"Agente ou mecanismo com autoridade para emitir o estado de avaliação.",accepted,explicit-value,"deterministic-app","deterministic-app|trusted-service|rubric-human|peer|hybrid|probabilistic-assistance",practice|condition|deployment,author|institution|research-protocol,"legal/ethics and protocol constraints precede author; probabilistic assistance never silently becomes final",mixed,"Deterministic where suitable; human or hybrid for open work; probabilistic output nonfinal by default.","response.form|response.validity_policy","probabilistic-assistance as sole high-stakes authority","Record evaluator identity/version and review status when collection is authorized.","Human contestation and accessible explanation are required for consequential decisions.",#5|#6|#7
evaluation.credit_policy,evaluation,Política de crédito,"Como correção, parcialidade, tentativas e rubrica se convertem em crédito.",accepted,implementation-fixed,"binary exact","none|binary|partial-by-property|partial-by-step|attempt-weighted|rubric|mastery-evidence",practice|course|condition,author|institution|research-protocol,"summative institution or protocol may lock; learner preference cannot alter awarded grade",mixed,"Preservar none/binary no perfil AraLearn; permitir crédito parcial apenas com semântica explícita.","attempts.limit|consequence.level|evaluation.authority","unexplained partial credit; cross-format score comparison","Credit formula, units and limitations must be versioned.","Credit must not penalize use of an approved accommodation unless construct impact is explicit.",#5|#6
attempts.limit,attempts,Limite de tentativas,"Número de submissões permitidas antes da conclusão, revelação, bloqueio ou handoff.",accepted,implementation-fixed,"not-recorded; no punitive limit established","one|fixed-n|unlimited|adaptive|until-correct",practice|course|condition,author|institution|research-protocol,"accessibility accommodation may extend; protocol or summative policy may lock",mixed,"Default AraLearn: nonpunitive and not used as mastery measure; make limit explicit in other profiles.","attempts.sequence|reveal.trigger|consequence.level","unlimited with high-stakes best-score unless justified","Attempt count is collected only under an approved question and retention rule.","Extra attempts may be an accommodation; interface must not expose attempt pressure unnecessarily.",#4|#5|#6
attempts.sequence,attempts,Sequência entre tentativas,"Informação recebida e ação permitida between one response and the next.",accepted,implicit-value,"check or reveal followed by learner-controlled retry","no-feedback-retry|result-retry|hint-retry|correct-answer-retry|elaboration-retry|answer-until-correct|locked-after-submit",practice|condition,author|research-protocol|institution,"purpose and consequence constrain available sequences",supported,"Representar explicitamente; recommend hint or elaborated retry for formative profiles and lock-after-submit only for measurement needs.","attempts.limit|feedback.content|reveal.trigger","correct-answer-retry when independent measurement is still intended","Sequence events require protocol-specific capture; do not infer effort from count.","Focus, announcements and retained input must support error recovery.",#4|#5|#6|#8
attempts.retry_target,attempts,Alvo da nova tentativa,"Se a nova tentativa usa o mesmo item, variante equivalente, etapa específica ou revisão posterior.",accepted,absent,"same card after clear","same-item|equivalent-item|failed-step|new-sample|later-review",practice|microsequence|condition,author|research-protocol,"protocol may lock equivalence criteria",insufficient,"Aceitar como parâmetro; não selecionar padrão universal até P2 e estudos de domínio.","item-equivalence|feedback.content","same-item after full reveal when independent retrieval is claimed","Equivalent-item identity and reuse must be recorded if used in research.","Alternative target must remain navigable and understandable.",#4|#5|#6
hints.access,feedback,Acesso a pistas,"Quem inicia a pista, quando ela aparece e se escala por tentativa.",accepted,absent,"no first-class hint policy","none|learner-request|after-error|after-n-attempts|adaptive|protocol-triggered",practice|course|condition,learner|author|research-protocol,"accessibility support may override; protocol may lock within consent",mixed,"Recommend learner-request or staged hints for formative profiles; no universal automatic hint.","attempts.sequence|feedback.content|scaffolding P2","hint that reveals answer while counted as independent response","Hint use is not a deficit marker; collect only for a defined question.","Hints must be perceivable in equivalent modalities and not depend on color, hover or drag.",#4|#5|#8
