stratum_id,dimension,coverage_requirement,sample_used,inclusion_logic,coverage_status,saturation_status,decision_relevant_findings,remaining_gap,can_gap_change_current_recommendation
S01,literature_retrieval_spacing,"retrieval; spacing; low-stakes practice","8 central reviews plus overlap map","reviews/meta-analyses central to mechanisms already used by AraLearn",covered,approximated,"mechanisms are heterogeneous; timing, stakes, feedback and authority need separate parameters","some full texts and non-WEIRD evidence remain limited",no
S02,literature_response_feedback,"selected/constructed responses; feedback content and timing","10 focused evidence records","reviews, meta-analyses and contrasting studies with explicit response or feedback design",covered,approximated,"response format, scoring, feedback content and timing must be independent dimensions","domain concentration and recent restricted full texts",no
S03,literature_self_regulation_control,"learner control; autonomy; adaptation","central review corpus; successor vision; related-system matrix","sources and scenarios that expose learner/course/protocol authority tensions",covered,partial,"preference, course policy, accommodation and research condition require precedence","focused systematic extraction on learner control and adaptation is incomplete",possibly for defaults; not for layered direction
S04,literature_mobile_offline,"mobile; fragmented study; continuity; offline","mobile programming review/update; successor vision; AraLearn operational evidence","evidence and real-use constraints directly relevant to worker-student use",covered,partial,"mobile context requires continuity and bounded interaction, not only responsive layout","broader adult-worker and offline-learning evidence remains incomplete",no
S05,literature_multiple_representations,"multiple representations; multimedia; domain grammars","16-source structured-learning map including Ainsworth and domain reviews","frameworks and syntheses that distinguish representation function from quantity",covered,approximated,"more resource types are not intrinsically better; coordination and task matter","deeper domain-specific reviews are uneven",no
S06,literature_assessment_domains,"assessment; programming; mathematics; open response; simulation","structured-learning map; mobile programming synthesis; response review","contrasting assessment mechanisms and validity boundaries",covered,approximated,"deterministic, human and probabilistic authority must be separated","validity evidence for some automated open responses remains immature",no
S07,literature_authoring_ai,"non-programmer authoring; AI-assisted content; bounded agents","ITS authoring review; AraLearn MCP evidence; UNESCO guidance in evidence programme","sources relevant to authoring quality and human authority",covered,partial,"MCP authorability and localized repair are quality attributes","direct controlled studies of LLM course authoring remain limited",possibly for later implementation; not for current route
S08,literature_accessibility,"accessibility across mobile and interactive tasks","AraLearn audit; platform accessibility documentation; WCAG framing","cross-cutting requirements and known advanced-interaction risks",covered,partial,"accessibility must influence parameters, capabilities and precedence","no direct user testing of advanced interactions",possibly for accepting specific extensions
S09,literature_analytics_governance,"learning analytics; privacy; research governance","successor vision; initial evidence framework; analytics issue model","sources and requirements separating event, measure and construct",covered,partial,"collection must be protocol-declared; minimal telemetry remains valid profile","focused legal/institutional review pending",possibly for profile details; not for direction
S10,platform_retrieval,"flashcard/retrieval systems","Anki and related product/evidence records","situated predecessor family and evidence concentration",covered,reached,"product is not mechanism; configuration must be recorded","additional flashcard products unlikely to add a new decision category",no
S11,platform_structured_assessment,"typed exercise and assessment systems","Perseus; Numbas; STACK","systems with distinct response, validation and feedback models",covered,reached,"multipart responses, semantic validity and scoring can be separated","runtime details need later candidate-specific evaluation",no
S12,platform_lms_institutional,"LMS and institutional learning environments","Moodle; IFRS MOOCs; Open edX XBlock","systems exposing cohort, role and governance requirements",covered,approximated,"institutional profiles need capabilities beyond personal study","direct institutional stakeholder evidence pending",no for route; yes for profile requirements
S13,platform_extensible_authoring,"extensible content and authoring ecosystems","H5P; XBlock; Jupyter Widgets; ITS authoring evidence","contrasting extension mechanisms and non-programmer authoring",covered,reached,"extensibility needs governance; arbitrary code is high-risk","exact ARA mechanism remains #7 hypothesis",no
S14,platform_mobile_language_programming,"mobile domain learning systems","Duolingo; LingoDeer; SoloLearn; Mimo; Encode; Enki","systems relevant to short mobile progression and domain practice",covered,approximated,"micro-lessons vary in practice, feedback, execution and consequences","independent evidence sparse for some products",no
S15,platform_domain_math_science,"mathematical and scientific systems","MathLive; JSXGraph; Mol*; PhET; CircuitVerse","systems with domain grammars absent from AraLearn",covered,reached,"domain-specific representations are legitimate but not automatic core requirements","actual mobile/accessibility/runtime tests deferred",no
S16,platform_simulation_exploration,"simulation and exploratory systems","PhET; Jupyter Widgets; OpenDSA; virtual-lab literature","systems with model state and learner manipulation",covered,approximated,"simulation is model+state+task, not animation","broader professional simulations not sampled deeply",no
S17,platform_annotation_open_response,"source annotation and open-response systems","Recogito; LanguageTool; open-text assessment review","systems exposing evidence selection and probabilistic/human authority",covered,approximated,"annotation and open response require separate selector/rubric authority","direct humanities user studies limited",no
S18,domain_languages,"language, writing, phonology and multilingual use","linguistic_example audit; language platforms; LanguageTool",covered by multiple internal and external cases,covered,approximated,"text structure, audio/TTS and production are distinct capabilities","speech assessment evidence insufficient",no for taxonomy; yes for speech implementation
S19,domain_math_statistics,"symbolic, numeric, tabular, graphical and spatial practices","formula/table/chart/matrix/plane audit; STACK/Numbas/MathLive/JSXGraph",maximum-variation across representation and response,covered,reached,"numeric and semantic responses differ from rendering; construction may be extension","candidate runtime performance pending",no
S20,domain_computing,"reading, tracing, debugging, writing and executing code","code audit; mobile programming evidence; Pyodide/Papyros/OpenDSA/Blockly",contrast declarative and executable tasks,covered,reached,"programming is multiple task families; execution alone is insufficient","security and course-specific need remain",no
S21,domain_natural_sciences,"symbolic, macroscopic, submicroscopic and experimental practices","reaction/formula audit; chemistry representation review; Mol*; PhET",contrast representations and simulations,covered,approximated,"one formula does not cover scientific models and investigation","physics/biology laboratory literature could be expanded",no
S22,domain_humanities_sources,"chronology, source evidence, annotation and argument","sequence/annotated_text audit; Recogito; open-text assessment",contrast content display with learner evidence production,covered,approximated,"source selection, annotation and argument need different response/authority models","direct discipline-specific evaluation limited",no
S23,domain_social_legal_admin,"rules, cases, relations, institutions and confidentiality","AraLearn scenarios; successor institutional contexts",real course and public-sector scenarios,covered,partial,"course policy, provenance and confidentiality are first-class needs","stakeholder validation at institutions pending",no for route; yes for governance detail
S24,domain_professional_procedural,"procedures, diagnosis and real-world performance","flow/sequence/table audit; professional scenario","contrast procedural representation with performance evidence",covered,partial,"ordering and cases are feasible; real-world performance may require external evidence","workplace performance capture not researched deeply",no
S25,domain_spatial_visual_systems,"maps, networks, systems, circuits and geometry","graph/plane/system_map audit; Cytoscape/Leaflet/JSXGraph/CircuitVerse",contrast generic and domain-specific structures,covered,reached,"shared engines do not erase domain grammar; accessibility is decisive","actual interaction testing deferred",no
S26,stakeholder_self_directed,"worker-student and author-student","private vision and intensive AraLearn use","implemented experience and explicit preferences",covered,reached for reference,"AraLearn is coherent reference profile","single-person evidence cannot establish generality",no because external strata compensate conceptually
S27,stakeholder_formal_learner,"learner under teacher/course policy","LMS scenarios; evidence literature","scenario-based, no claimed interview",covered,partial,"course policy and learner preference must be distinct","direct learner research pending",no for taxonomy discovery
S28,stakeholder_author_reviewer,"teacher, course author, domain reviewer","authoring systems; AraLearn audit/repair workflow","scenario-based roles with different authority",covered,partial,"authoring, audit and approval need separate capabilities","expert walkthroughs pending",no
S29,stakeholder_researcher_participant,"researcher and participant rights","research framework; analytics/governance evidence","scenario-based protocol and consent requirements",covered,partial,"condition locking, consent, withdrawal and evidence provenance are required","ethics-board and participant testing pending",no
S30,stakeholder_accessibility,"learner accommodation and accessibility actor","WCAG framing; platform docs; scenario matrix","cross-cutting requirements, no claimed user study",covered,partial,"accommodation may override course/protocol settings","direct assistive-technology user testing pending",yes for specific interactions; no for route
S31,stakeholder_institutional,"administrator, security, privacy and governance","CETESB/IFSP/ULisboa scenarios; deployment vision","contrasting public-sector and academic contexts",covered,partial,"profiles need different data and integration policies","formal institutional requirements not yet collected",yes for deployment details; no for layered route
S32,deployment_personal,"personal mobile and offline use","AraLearn operational evidence; successor vision","reference deployment",covered,reached,"simple baseline and export are required","device benchmarks pending",no
S33,deployment_research,"managed academic research","successor vision; #5 model","protocol, participants and analytics scenario",covered,partial,"stable conditions and governed data are required","specific dissertation design open",no
S34,deployment_teaching,"formal teaching and cohorts","LMS/platform evidence; institutional scenarios","course assignment and assessment authority",covered,partial,"teaching adds roles, support and consequences","direct school/college workflows pending",no
S35,deployment_self_hosted,"institutional self-hosting","successor vision; provider-independence requirements","operational and confidentiality scenario",covered,partial,"installation, backup and policy are product concerns","stack and operator validation pending",no
S36,deployment_confidential,"public-sector confidential content","CETESB scenario; governance requirements","high-consequence contrasting case",covered,partial,"AI services, export and publication need policy controls","formal CETESB security review pending",yes for integrations; no for route
S37,deployment_public,"open/public course publication","catalogue, licensing and provenance vision","contrasts private/confidential state",covered,approximated,"publication needs versioning, rights and provenance","commercial marketplace policy open",no
