parameter_id,family,label,definition,maturity,aralearn_relationship,aralearn_value,allowed_values,scope,controlling_authority,evidence_status,recommendation,downstream_handoff
autonomy.control_scope,autonomy,Escopo do controle,"Dimensões em que a pessoa pode escolher ou modificar o percurso sem confundir ritmo, ordem, representação, prática, revisão e uso de IA.",accepted,implicit-value,pace|navigation|review-marking,none|pace|navigation|sequence-options|practice-choice|review-choice|representation-choice|AI-choice|authoring-choice|composite,platform|course|condition|learner,learner|author|institution|research-protocol,supported,Representar controles separadamente e usar shared control como direção geral; não oferecer liberdade total indiferenciada.,#5|#6|#8
autonomy.choice_mode,autonomy,Modo de escolha,Forma como alternativas são apresentadas ao usuário.,accepted,absent,,none|direct-choice|recommended-choice|guided-wizard|profile-selection|request-and-approve|protocol-fixed,platform|course|condition|learner,learner|author|institution|research-protocol,mixed,Usar perfis recomendados e progressive disclosure; permitir inspeção e alteração dentro do espaço autorizado.,#5|#6|#8
autonomy.recommendation_policy,autonomy,Política de recomendação,"Como o sistema, autor ou IA sugere uma opção sem transformá-la automaticamente em decisão.",accepted,absent,,none|author-recommended|system-rule-recommended|AI-recommended|evidence-profile-recommended|protocol-assigned,platform|course|condition|learner,author|product|research-protocol|AI-assistant,mixed,"Distinguir recomendação de aplicação; mostrar motivo, escopo, efeitos e alternativa manual.",#5|#6|#8
autonomy.control_policy,autonomy,Política de bloqueio e override,"Quem pode bloquear, destravar, recusar, adiar ou reverter uma escolha e como isso é explicado.",accepted,implicit-value,learner-control-with-explicit-publish,learner-free|learner-with-advisement|author-locked|institution-locked|protocol-locked|accessibility-override|human-approval-required,course|condition|workspace|learner,learner|author|reviewer|institution|research-protocol|accessibility-rule,operational-choice,"Todo bloqueio deve ter motivo visível, escopo, duração, responsável e caminho de contestação quando aplicável.",#5|#6|#8
srl.goal_support,self-regulation,Apoio a objetivos,"Como metas de estudo, autoria ou revisão são formuladas, exibidas e revisadas.",accepted,implicit-value,microsequence-objective,none|author-goal|learner-goal|shared-goal|protocol-goal|goal-template|goal-and-criteria,microsequence|lesson|course|session|learner,learner|author|research-protocol,supported,Preservar objetivos autorais e permitir metas pessoais opcionais sem transformar sua ausência em déficit.,#5|#6|#8
srl.plan_support,self-regulation,Apoio ao planejamento,"Recursos para planejar ordem, carga, tempo disponível, retomada e estratégia.",accepted,absent,,none|learner-plan|author-plan|recommended-plan|shared-plan|protocol-plan,course|week|session|learner,learner|author|institution|research-protocol|AI-assistant,mixed,Oferecer planejamento simples e editável; não converter plano em controle punitivo.,#5|#6|#8
srl.monitoring_support,self-regulation,Apoio ao monitoramento,"Como a pessoa acompanha posição, cobertura, revisão e decisões sem receber inferências opacas.",accepted,implicit-value,cursor|structural-completion|review-mark,none|structural-status|goal-check|self-rating|evidence-summary|authorized-analytics|research-locked,card|microsequence|course|learner,learner|author|research-protocol,mixed,Usar estado funcional e evidência autorizada; separar monitoramento pessoal de analytics institucionais.,#5|#6|#8
srl.reflection_support,self-regulation,Apoio à reflexão,"Momento e forma de prompts para explicar decisões, revisar estratégia ou registrar observações.",accepted,implicit-value,situated-comments|optional-review,none|optional-note|prompt-after-unit|prompt-after-error|prompt-before-AI|periodic-review|protocol-fixed,card|microsequence|lesson|course|condition|learner,learner|author|research-protocol,supported,Manter reflexão opcional no perfil pessoal e parametrizar prompts em cursos/experimentos; não usar como fricção universal.,#5|#6|#8
srl.strategy_support,self-regulation,Apoio a estratégias,"Como estratégias cognitivas, metacognitivas e motivacionais são ensinadas ou sugeridas.",accepted,absent,,none|author-explanation|strategy-menu|contextual-suggestion|worked-example|metacognitive-feedback|human-coaching|AI-candidate,microsequence|course|condition|learner,author|learner|research-protocol|AI-assistant,mixed,"Tratar estratégia como conteúdo/apoio explícito, não como atributo inferido do aluno.",#5|#6|#8
srl.help_seeking_policy,self-regulation,Política de busca de ajuda,"Como pistas, exemplos, pessoas e IA podem ser solicitados e como abuso ou recusa são tratados.",accepted,implicit-value,learner-requested-reveal|comments,none|learner-request|graduated-help|human-help|peer-help|AI-help|author-offer|protocol-fixed,card|microsequence|course|condition|learner,learner|author|tutor|research-protocol|AI-assistant,mixed,"Preservar ajuda sob demanda; separar oferta, solicitação, conteúdo e consequência; adiar detecção automática de struggle.",#5|#6|#8
